iter,r_norm,s_norm,eps_pri,eps_dual,data_loss,u_mean,u_max,u_min
1,2.8104384946625838,inf,0.2688646179990228,0.0128,406.7602158080502,0.33632415239161095,0.9558578549775318,0.0
2,2.6525885072500412,0.0,0.2550561600463383,0.0128,362.6434269149788,0.31690017343677473,0.9202769767134402,0.0
3,2.503628445229505,0.0,0.2420451475850989,0.0128,323.3426101577218,0.2985881140550858,0.8865857732730275,0.0
4,2.3630745573219,0.0,0.22978731740847155,0.0128,288.33036259589437,0.2813241900358826,0.8546807703135012,0.0
5,2.2304236336802923,0.0,0.21824092526031438,0.0128,257.1380881521528,0.2650499756911407,0.8244642656744885,0.0
6,2.105249667131997,0.0,0.20736656664305542,0.0128,229.34866726250277,0.24971066027545707,0.7958441025448577,0.0
7,1.9871575937104204,0.0,0.19712702844709948,0.0128,204.58939775626675,0.23525204694538795,0.7687330860349606,0.0
8,1.8757614032993277,0.0,0.18748722638969853,0.0128,182.52861854450126,0.22162420232251426,0.7430487661210311,0.0
9,1.7704999760531168,0.0,0.17841406194600165,0.0128,162.87341022710766,0.20878399566497963,0.7187133094080547,0.0
10,1.6713048693385308,0.0,0.16987624437674526,0.0128,145.35972465541826,0.1966846179180223,0.6956532625239891,0.0
11,1.577683775836088,0.0,0.1618441848503091,0.0128,129.75234885924243,0.1852820929873559,0.6737991433316547,0.0
12,1.4892122968139685,0.0,0.1542900668481746,0.0128,115.84661299038996,0.17454414976784807,0.6530852304955659,0.0
13,1.4057877806087642,0.0,0.14718747099926485,0.0128,103.45492835852458,0.16443062162863614,0.633449387603111,0.0
14,1.32702734142892,0.0,0.14051142548023868,0.0128,92.41271483509797,0.15490829084898336,0.6148331444643592,0.0
15,1.25271348118814,0.0,0.13423831426913688,0.0128,82.5717040062776,0.1459423205430833,0.5971810260696012,0.0
16,1.182497636582373,0.0,0.12834576938936523,0.0128,73.80338518350297,0.13750705359517643,0.5804405101343387,0.0
17,1.1163753469253779,0.0,0.12281256959958241,0.0128,65.98740843009642,0.12956693674218436,0.5645622615383283,0.0
18,1.0537770262442514,0.0,0.11761865947644384,0.0128,59.02246634084287,0.12209951375787798,0.5494991145230582,0.0
19,0.9947987906436233,0.0,0.11274498190931226,0.0128,52.81589939804104,0.11507952081886781,0.5352066751682738,0.0
20,0.9392078452943973,0.0,0.10817336050084168,0.0128,47.28238006768146,0.10847654397303753,0.52164296571017,0.0
21,0.8865904639082164,0.0,0.10388667859031606,0.0128,42.35191543068253,0.1022750106349926,0.5087681419979587,0.0
22,0.8372150229193435,0.0,0.09986857097182893,0.0128,37.95568956412532,0.09644689022855805,0.49654484501056684,0.0
23,0.7903776565433691,0.0,0.0961035177143351,0.0128,34.036262192192304,0.09097221580177035,0.4849375032329073,0.0
24,0.7464861308769463,0.0,0.09257686576413356,0.0128,30.54065189883291,0.0858302335141316,0.4739125075964783,0.0
25,0.7049674156585279,0.0,0.08927459799268359,0.0128,27.422956619752355,0.08100289506840788,0.4634382991232251,0.0
