iter,r_norm,s_norm,eps_pri,eps_dual,data_loss,transport_action,bb_continuity_residual_max,bb_iterations_max,u_mean,u_max,u_min
21,0.10767537945583243,3.1672572097165097e-05,0.07186381278585693,0.025728942274757246,1.0949338061403848,2.024634661751567e-07,1.1933811445802125e-05,10,0.007040784437422103,0.2936795097237159,0.0
22,0.10542800190745545,3.2783010411019975e-05,0.07186387739929559,0.025734167319573426,1.095007460973219,2.190946496608771e-07,1.0073870894735125e-05,10,0.007041346482368915,0.2936647575257438,0.0
23,0.10309664110540985,3.390227862771905e-05,0.07186396492742755,0.025739280291968876,1.0950862042480167,2.395975024254788e-07,9.661147247155796e-06,10,0.0070419513116703305,0.29364877615194446,0.0
24,0.10073438447750308,3.501143832084492e-05,0.07186407602197105,0.025744276476429708,1.0951687697870889,2.641364469369908e-07,1.0740561214092279e-05,10,0.007042591019273855,0.29363219159634674,0.0
25,0.09839491720376,3.610788630587183e-05,0.07186421110775751,0.02574915376618881,1.0952541902579185,2.9403743493528564e-07,1.04212212018501e-05,10,0.007043259374589122,0.29361549931892444,0.0
26,0.0960607190253988,3.7191399828751254e-05,0.07186437080287734,0.0257539101140969,1.0953421469710338,3.2938070599805555e-07,1.0064078259956162e-05,10,0.007043953854843406,0.29359966146137023,0.0
27,0.09370789448602723,3.8252569802501236e-05,0.07186455579101711,0.02575854388846339,1.0954339554968036,3.657040977913041e-07,1.152407852570071e-05,10,0.007044683127734382,0.2935858575604794,0.0
28,0.09132508515454232,3.9281820806666916e-05,0.07186476669110493,0.02576305403604819,1.095530304997744,3.971690375682223e-07,1.1463217763385823e-05,10,0.007045449363082313,0.2935750321903773,0.0
29,0.08889616257701534,4.0287374356572186e-05,0.07186500367273245,0.025767439005355296,1.0956308256235623,4.22519047901094e-07,1.3686318275042749e-05,10,0.007046250886430544,0.2935659738190813,0.0
30,0.08642856038702164,4.126035942677669e-05,0.07186526582539164,0.02577169732574448,1.095735270696799,4.453362748954529e-07,9.842788280565768e-06,10,0.00704708309275449,0.29355811594033887,0.0
31,0.08393310066758758,4.2191715470336165e-05,0.07186555269072048,0.02577582754287197,1.0958429464358095,4.687987878563965e-07,9.989216529490974e-06,10,0.007047940929685582,0.2935508562723363,0.0
32,0.08140535910809164,4.307879539892771e-05,0.07186586404051844,0.02577982765485228,1.095954651910916,4.930969589752017e-07,1.0085700916471455e-05,10,0.0070488293148492755,0.29354356654334324,0.0
33,0.07885849240278743,4.3921526441999424e-05,0.07186619897569403,0.025783695734514882,1.0960712033294615,5.181106200434601e-07,7.822078876256972e-06,10,0.007049748182877908,0.29353567297459976,0.0
34,0.07630321845849111,4.471668152741336e-05,0.07186655651539502,0.025787429862028064,1.0961928758114579,5.440915704430924e-07,7.447997640616109e-06,10,0.007050695274265777,0.29352676312011666,0.0
35,0.07374189519649003,4.546013970268146e-05,0.07186693606768281,0.02579102792985441,1.096320317450968,5.707244389433126e-07,7.255494578488465e-06,10,0.007051670612618834,0.29351661453478045,0.0
36,0.07116459817906115,4.615896558308283e-05,0.07186733704785564,0.025794487678177293,1.0964543438495373,5.976179730049758e-07,7.26444170001033e-06,10,0.007052684650738797,0.29350501638508464,0.0
37,0.06857654526357297,4.6814502018535496e-05,0.07186775815736783,0.025797806991179905,1.0965938372788646,6.244142985104713e-07,7.533829599489105e-06,10,0.007053735719683714,0.29349174678120776,0.0
38,0.06599581962530261,4.7425826681558055e-05,0.07186819788880981,0.025800984084065153,1.096737025535548,6.500851569775968e-07,7.120025838102095e-06,10,0.007054814251248621,0.2934772092198319,0.0
