candidate,frames,azimuthal_annulus_peak_radius_mean,azimuthal_annulus_peak_radius_min,azimuthal_annulus_peak_radius_max,azimuthal_best_roll_mean,azimuthal_best_roll_min,azimuthal_best_roll_max,azimuthal_inner_radius_mean,azimuthal_inner_radius_min,azimuthal_inner_radius_max,azimuthal_outer_radius_mean,azimuthal_outer_radius_min,azimuthal_outer_radius_max,azimuthal_profile_error_mean,azimuthal_profile_error_min,azimuthal_profile_error_max,fourier_chi2_mean,fourier_chi2_min,fourier_chi2_max,frc_auc_mean,frc_auc_min,frc_auc_max,frc_cutoff_mean,frc_cutoff_min,frc_cutoff_max,frc_sample_count_total_mean,frc_sample_count_total_min,frc_sample_count_total_max,frc_valid_bins_mean,frc_valid_bins_min,frc_valid_bins_max,nrmse_mean,nrmse_min,nrmse_max,radial_profile_error_mean,radial_profile_error_min,radial_profile_error_max,ssim_mean,ssim_min,ssim_max,temporal_variance_map_error,temporal_variance_true_sum,temporal_variance_recon_sum,temporal_variance_absdiff_sum,spatiotemporal_gradient_error,spatial_gradient_error,spatial_gradient_x_error,spatial_gradient_y_error,temporal_gradient_error,spatiotemporal_gradient_norm,spatiotemporal_gradient_spatial_weight,spatiotemporal_gradient_temporal_weight,spatiotemporal_gradient_abs_gradients
background_video,15,16.437239583333334,13.39453125,20.33984375,0.0,0.0,0.0,12.3279296875,10.0458984375,15.2548828125,20.546549479166668,16.7431640625,25.4248046875,0.9985631744676732,0.9981324484289081,0.9992074107680895,1.1288816745949455,0.8401530504216196,1.6554236407364338,0.054846773345759055,-0.05985290328277414,0.13327080929079504,0.5317708333333333,0.4453125,0.6171875,12851.0,12851.0,12851.0,64.0,64.0,64.0,0.9684702175017983,0.8395532344773718,1.15480579092245,0.9987051207572745,0.9986325622751154,0.9987816866961049,0.46271642100505533,0.3992600561061668,0.49207383637388336,1.0,6.880306265971662e-05,2.9841682713986103e-35,6.880306265971662e-05,1.05425089593089,1.1571997067525444,1.133752188439839,1.1876512630908267,0.9999999999606266,l2,1.0,1.0,False
static,15,16.437239583333334,13.39453125,20.33984375,0.0,0.0,0.0,12.3279296875,10.0458984375,15.2548828125,20.546549479166668,16.7431640625,25.4248046875,0.9984771392352311,0.9978303119624528,0.9991522482676245,1.243630904389738,0.9403977368580153,1.49521630538643,0.022555118445629616,-0.07534130674183162,0.10298015306986225,0.5901041666666667,0.2890625,0.8359375,12851.0,12851.0,12851.0,64.0,64.0,64.0,1.0187832097769867,0.8882287423996394,1.134092209013171,0.9987055223525168,0.9985555065537551,0.9988308896200934,0.4642623088060117,0.385624521627486,0.49937562121293144,1.145650189905007,6.880306265971662e-05,7.50500478398193e-05,8.65119257076088e-05,1.2717691873319046,1.358638110378793,1.2822258283176569,1.4540068765152323,1.2270058873179905,l2,1.0,1.0,False
joint,15,16.437239583333334,13.39453125,20.33984375,0.0,0.0,0.0,12.3279296875,10.0458984375,15.2548828125,20.546549479166668,16.7431640625,25.4248046875,0.9984932691410875,0.9978986373503853,0.9991632760913224,1.2089928507427143,0.9247262516655979,1.4225249199083676,0.022768684485072195,-0.08512583104863568,0.10580141162707192,0.5494791666666666,0.1796875,0.8359375,12851.0,12851.0,12851.0,64.0,64.0,64.0,1.0046290859071811,0.8807965974265383,1.1019368835125314,0.9987090934686976,0.9985885631466657,0.9988262106327795,0.492634738084727,0.4105856028741751,0.5220524934746117,1.0397669848473892,6.880306265971662e-05,6.22512280749057e-05,7.892233779240269e-05,1.1838499563838052,1.308825110136017,1.2423595819895306,1.3922719801653196,1.1175899406777747,l2,1.0,1.0,False
