candidate,frames,azimuthal_annulus_peak_radius_mean,azimuthal_annulus_peak_radius_min,azimuthal_annulus_peak_radius_max,azimuthal_best_roll_mean,azimuthal_best_roll_min,azimuthal_best_roll_max,azimuthal_inner_radius_mean,azimuthal_inner_radius_min,azimuthal_inner_radius_max,azimuthal_outer_radius_mean,azimuthal_outer_radius_min,azimuthal_outer_radius_max,azimuthal_profile_error_mean,azimuthal_profile_error_min,azimuthal_profile_error_max,fourier_chi2_mean,fourier_chi2_min,fourier_chi2_max,frc_auc_mean,frc_auc_min,frc_auc_max,frc_cutoff_mean,frc_cutoff_min,frc_cutoff_max,frc_sample_count_total_mean,frc_sample_count_total_min,frc_sample_count_total_max,frc_valid_bins_mean,frc_valid_bins_min,frc_valid_bins_max,nrmse_mean,nrmse_min,nrmse_max,radial_profile_error_mean,radial_profile_error_min,radial_profile_error_max,ssim_mean,ssim_min,ssim_max,temporal_variance_map_error,temporal_variance_true_sum,temporal_variance_recon_sum,temporal_variance_absdiff_sum,spatiotemporal_gradient_error,spatial_gradient_error,spatial_gradient_x_error,spatial_gradient_y_error,temporal_gradient_error,spatiotemporal_gradient_norm,spatiotemporal_gradient_spatial_weight,spatiotemporal_gradient_temporal_weight,spatiotemporal_gradient_abs_gradients
background_video,15,16.437239583333334,13.39453125,20.33984375,0.0,0.0,0.0,12.3279296875,10.0458984375,15.2548828125,20.546549479166668,16.7431640625,25.4248046875,0.9937251892645075,0.9916939153962809,0.9969236793833112,1.527087517675435,1.0987629366539877,2.150712306170614,0.07734467451887735,-0.019643973519605864,0.12721649805040514,0.8463541666666666,0.6640625,0.9609375,12851.0,12851.0,12851.0,64.0,64.0,64.0,1.1267567069586553,0.9601100938888034,1.3162716775532857,0.9942782646538547,0.9939421951703279,0.9946458948175951,0.5722307543153481,0.4742149501204871,0.6443668920433678,1.0,6.880306265971662e-05,4.0024799618934644e-35,6.880306265971662e-05,1.120394789397249,1.3329645276702047,1.282009825232361,1.3978243076403787,0.9999999999606266,l2,1.0,1.0,False
static,15,16.437239583333334,13.39453125,20.33984375,0.0,0.0,0.0,12.3279296875,10.0458984375,15.2548828125,20.546549479166668,16.7431640625,25.4248046875,0.9934338497626035,0.9908250199388794,0.9966527072615409,1.837194236126184,1.3082416713707767,2.3445237898458626,0.02474311832968148,-0.055611049495230526,0.09496298031173082,0.7682291666666666,0.4609375,0.9609375,12851.0,12851.0,12851.0,64.0,64.0,64.0,1.2368147392780118,1.0396341741588904,1.4244470332743373,0.9942843238908565,0.9939154201503667,0.9947616792164831,0.5606701983125829,0.471270240688461,0.6167279579667664,2.119208528191731,6.880306265971662e-05,0.00012648833051811387,0.00013183413255958803,1.689648226020204,1.8747804732731308,1.7138647040072348,2.069399069650597,1.5911907001141492,l2,1.0,1.0,False
joint,15,16.437239583333334,13.39453125,20.33984375,0.0,0.0,0.0,12.3279296875,10.0458984375,15.2548828125,20.546549479166668,16.7431640625,25.4248046875,0.9935208825785131,0.9910697430632197,0.9966473339327085,1.6868041528447961,1.2199773588395362,2.010084749939996,0.02860390598940121,-0.07883890731412804,0.08600305394676593,0.7984375,0.4140625,0.9765625,12851.0,12851.0,12851.0,64.0,64.0,64.0,1.1853107356483639,1.0092019399327543,1.3189434256428876,0.9942874740355051,0.9938703667291803,0.9947364130942283,0.5813370892290559,0.49677323237586174,0.6414203308229299,1.469297173873976,6.880306265971662e-05,8.298337325045167e-05,9.750350761990122e-05,1.3442272464404748,1.6072804228652546,1.4910717106295954,1.7498456777805005,1.1945247615404246,l2,1.0,1.0,False
