block,updates,relative_iterate_change,relative_objective_change,mean_pairwise_frame_distance,cross_minus_own_data_loss_mean,data,prior,tv,wavelet,spatial_total
1,25,0.6709303678044539,inf,0.0015162139989558846,5.213086121091948e-05,10.390080613908829,5.07559263820653,0.005249313531575897,0.03392994252564787,15.504852508172583
2,50,0.36977189198688676,0.30801889292026186,0.0025237378856993622,3.174232422797907e-05,3.5667923718304695,7.137803418247992,0.0033689485469067873,0.021100265087642504,10.72906500371301
3,75,0.21247578111579038,0.06304089062155441,0.003177045924762657,2.1449164963271983e-05,2.067985478607767,7.965928393409443,0.0027385804659307207,0.016042737859189478,10.052695190342329
4,100,0.12208015852378169,0.014244532401171708,0.0035197142218632333,1.691227942945961e-05,1.5409589391388836,8.352473251804165,0.002456675004298335,0.013610382037032154,9.90949924798438
5,125,0.06942359321578466,0.003663251974107926,0.0036194482088951524,1.4295145457365876e-05,1.3150908705307938,8.543486350107619,0.0023182088988535398,0.01230282576451182,9.873198255301777
6,150,0.040051907766721094,0.001065266434701798,0.003656716644304109,1.2871217796139867e-05,1.2077118162820761,8.641196940995936,0.0022497871547538986,0.011522124164479723,9.862680668597246
7,175,0.024030288286548865,0.0003538433723748467,0.0037250196542308483,1.2400779234256198e-05,1.153524869771935,8.692441908174805,0.0022161536287342186,0.01100789283333884,9.859190824408813
8,200,0.015275107719393577,0.0001367373904116587,0.0037759214882498757,1.227113688939685e-05,1.1253194449157786,8.719668741415543,0.002201623288862291,0.010652894763729772,9.857842704383913
9,225,0.010509751639323604,6.282119821623177e-05,0.0038243849082326285,1.2267729701809227e-05,1.1102724367445624,8.734359590167237,0.0021957310240780735,0.0103956649575194,9.857223422893396
10,250,0.007667897144238718,3.2808621833852e-05,0.003839617914716644,1.2192307469460761e-05,1.1020374132796855,8.742464511944902,0.0021943354357272468,0.010203760317467789,9.856900020977783
11,275,0.005922933891161651,1.9450838308988367e-05,0.003849444356878768,1.213636396241169e-05,1.0974317943160323,8.747026855359472,0.002195131737371576,0.010054514596371942,9.856708296009247
12,300,0.004737370283851972,1.2310601736364596e-05,0.0038667573059388513,1.2096246407966582e-05,1.094780601394541,8.7496746995424,0.0021969847254328496,0.009934668336609179,9.856586953998983
13,325,0.003865012979773094,8.163117652961993e-06,0.003887599271104063,1.2055835117763536e-05,1.0932090212069616,8.751262341966987,0.0021992173041772093,0.009835913041895733,9.85650649352002
14,350,0.0031801955503103253,5.512694530774189e-06,0.003911128283877893,1.2024053585468764e-05,1.092231353847398,8.75226487736968,0.002201499757103846,0.009754426636399728,9.856452157610581
15,375,0.002643018012004701,3.7998993687565707e-06,0.003932436721520019,1.1994161623785082e-05,1.0916086981472217,8.752915901927468,0.0022036368167273226,0.009686467192833734,9.85641470408425
16,400,0.0022135953508647254,2.66942866683363e-06,0.003940536776748638,1.1961854085418278e-05,1.0912014562441916,8.753352706099733,0.0022055928109368564,0.00962863793342377,9.856388393088286
17,425,0.0018625782081328585,1.8801146804074306e-06,0.003949905225398232,1.193455185327652e-05,1.0909252245629792,8.753658226523589,0.0022073521532296005,0.0095790587079754,9.856369861947773
18,450,0.0015763239720689133,1.3476291385235515e-06,0.003962518690830282,1.1915028228837166e-05,1.0907329189567698,8.753878716209897,0.002208920697825954,0.009536023352054815,9.856356579216547
