block,updates,relative_iterate_change,relative_objective_change,mean_pairwise_frame_distance,cross_minus_own_data_loss_mean,data,prior,tv,wavelet,spatial_total
1,25,0.9317586309382483,inf,0.004734225496064184,3.8145982547144186e-06,0.34127797747896726,1.9578017133014534,0.0,0.006652166196928434,2.3057318569773493
2,50,0.43325907286754567,0.05081568109195725,0.0056498536479055415,1.660215459151071e-06,0.09929402987461736,2.0865385829739314,0.0,0.002731909401022381,2.188564522249571
3,75,0.16148531206711508,0.0024087628966285245,0.005891669479874631,1.4144354095052547e-06,0.07111538498022046,2.1102765762395657,0.0,0.0019008280117101984,2.1832927892314964
4,100,0.06409074838570242,0.00026840227222704136,0.006035893857113347,1.4311721562784707e-06,0.06563888291934944,2.1154830161980414,0.0,0.0015848893685386507,2.1827067884859295
5,125,0.03556370180216306,7.564261314024999e-05,0.006091921044890841,1.3993623309040137e-06,0.06447173312030399,2.11664550887423,0.0,0.0014244408461952564,2.1825416828407294
6,150,0.026240722450710616,3.8918476254096235e-05,0.006106817866830692,1.3701918217881581e-06,0.06414326942683078,2.1169965773274306,0.0,0.0013168948898107885,2.182456741644072
7,175,0.020165439254843855,2.2646379225379936e-05,0.006136745515174,1.3486462932497945e-06,0.06405163020607982,2.1171103441847343,0.0,0.0012453425102438753,2.182407316901058
8,200,0.01525133437228182,1.3023001391117331e-05,0.006258273010060197,1.3625658079503833e-06,0.06405600631485153,2.117120081120861,0.0,0.0012028079718213193,2.182378895407534
9,225,0.012716254184319483,8.632520896997964e-06,0.006391338397009822,1.3833523614843746e-06,0.06404164658330253,2.11714754557687,0.0,0.0011708638159415327,2.182360055976114
10,250,0.010846680174881032,6.272406555239749e-06,0.006512718602257266,1.4050315059015162e-06,0.06402637425842472,2.117175601987143,0.0,0.0011443910810252065,2.182346367326593
11,275,0.00931936675829345,4.651392883581484e-06,0.006598275576295294,1.4148669480427978e-06,0.06401402051064596,2.117200337727946,0.0,0.001121858137638735,2.1823362163762305
12,300,0.00801018672302471,3.3838983760296355e-06,0.006657847168405322,1.4191547177515307e-06,0.06400501026213617,2.117220650426444,0.0,0.001103170883671877,2.182328831572252
13,325,0.0068243883370645445,2.460481500953458e-06,0.006720331891353247,1.4237332037064787e-06,0.06399836666948977,2.117237280714423,0.0,0.0010878146086202285,2.182323461992533
14,350,0.005037723210643952,1.4241669644481377e-06,0.0067663159358488136,1.4245189440958983e-06,0.06399419146343314,2.117248081174193,0.0,0.001078081361926231,2.1823203539995526
15,375,0.00440247338616302,1.0152050593196942e-06,0.006814892496980335,1.4283930309041959e-06,0.06398995766551901,2.1172579368505144,0.0,0.0010702439808546209,2.182318138496888
16,400,0.003919958324378742,8.038157710629407e-07,0.006855291012692004,1.4309609238163934e-06,0.06398671516193134,2.117266535069235,0.0,0.001063134083984753,2.182316384315151
17,425,0.003496536645311086,6.391184787173926e-07,0.006889351872202483,1.4327201882345653e-06,0.06398433586635702,2.1172739660367563,0.0,0.001056687653309953,2.1823149895564233
18,450,0.003123064329824987,5.09617650360779e-07,0.006918384651934717,1.4339569015357767e-06,0.06398256215086895,2.1172804678227473,0.0,0.0010508474365701838,2.182313877410186
19,475,0.0027924184029376503,4.072699743441901e-07,0.006943356880450073,1.4348432619062934e-06,0.06398121320666905,2.117286214320443,0.0,0.001045561092156862,2.182312988619269
20,500,0.0024987641463636214,3.2605777299776507e-07,0.006962556094958615,1.434737213455023e-06,0.06398017188958938,2.1172913212512547,0.0,0.0010407839183115548,2.182312277059156
21,525,0.002237506662314837,2.6133405912824834e-07,0.006977862613497407,1.4340840794289933e-06,0.06397936801730199,2.117295869435684,0.0,0.0010364692936443195,2.1823117067466304
22,550,0.002004595077767454,2.0971699626703408e-07,0.006992079735222878,1.4336731277708736e-06,0.06397873926232078,2.117299937566833,0.0,0.0010325722496206471,2.1823112490787744
23,575,0.0017966353655938104,1.684430898434043e-07,0.0070052109183133355,1.4334422793471635e-06,0.06397824462632237,2.1173035818531005,0.0,0.001029055004101575,2.1823108814835246
24,600,0.0016107469349004966,1.3537620883760663e-07,0.007017266016276474,1.4333375572272988e-06,0.06397785501513678,2.1173068484116837,0.0,0.0010258826237303763,2.182310586050551
25,625,0.0014444419792435904,1.0885598168120931e-07,0.007028274176570849,1.4333174236623447e-06,0.06397754809854928,2.1173097774783565,0.0,0.0010230229160839183,2.1823103484929898
26,650,0.0012955553829975788,8.756605362483057e-08,0.007038281830023721,1.4333516389179735e-06,0.0639773063934869,2.117312404672581,0.0,0.0010204463306170996,2.1823101573966848
27,675,0.0011621911155985116,7.046197182853829e-08,0.007047347211133505,1.4334187808558163e-06,0.06397711613751866,2.1173147616615533,0.0,0.0010181258277360175,2.182310003626808
28,700,0.0010426804160464306,5.67138738389103e-08,0.007055535513707789,1.4335040553897782e-06,0.063976966477372,2.1173168766540167,0.0,0.0010160367281650438,2.1823098798595537
29,725,0.0009355486021919171,4.565762915539836e-08,0.007062914464223508,1.4335974114626504e-06,0.06397684884941833,2.11731877480871,0.0,0.0010141565623303333,2.1823097802204585
30,750,0.0008394882870341177,3.6762462076449525e-08,0.0070695517527659376,1.4336921963786775e-06,0.06397675649410145,2.117320478588414,0.0,0.0010124649108623348,2.182309699993378
31,775,0.000753337424209009,2.9603905996789167e-08,0.0070755130115285995,1.4337841573210108e-06,0.0639766840752091,2.1173220080670907,0.0,0.001010943246187022,2.1823096353884868
32,800,0.0006760610518283441,2.3842033237056917e-08,0.007080860718668162,1.4338707268191087e-06,0.06397662737810861,2.1173233812000207,0.0,0.0010095747796585507,2.182309583357788
33,825,0.0006067359169834365,1.9203175781758252e-08,0.00708565342971348,1.4339504845577167e-06,0.06397658307496698,2.1173246140573054,0.0,0.001008344318241203,2.1823095414505134
34,850,0.0005445373759772862,1.5468044277049264e-08,0.007089945480375028,1.4340228050996329e-06,0.06397654853705044,2.117325721031728,0.0,0.0010072381256746759,2.1823095076944528
35,875,0.0004887281280500764,1.2460069021518658e-08,0.007093786825583708,1.4340875764684569e-06,0.06397652168805562,2.1173267150201673,0.0,0.0010062437945025093,2.1823094805027257
