iter,r_norm,s_norm,eps_pri,eps_dual,data_loss,u_mean,u_max,u_min
1,2.822206461229221,inf,0.2688646179990228,0.0128,406.56483666523195,0.33632254729421135,0.9549981726430494,0.0
2,2.663156194984973,0.0,0.25498967611269874,0.0128,362.2928414157631,0.31689656061533206,0.9186265266883166,0.0
3,2.513080894929984,0.0,0.24191787897112832,0.0128,322.87088280183434,0.29858241436054245,0.8842079710723747,0.0
4,2.371502747570445,0.0,0.22960448174003315,0.0128,287.7661266510443,0.28131629914675305,0.8516339414947395,0.0
5,2.2379245415871165,0.0,0.2180072756474106,0.0128,256.50503607431807,0.2650393222630763,0.8208019383918261,0.0
6,2.111870156209092,0.0,0.20708642985293402,0.0128,228.66683213685053,0.24969738516688975,0.79161535387855,0.0
7,1.9929946244289125,0.0,0.19680433440211614,0.0128,203.87522750367765,0.2352355690016934,0.76398294411829,0.0
8,1.88086498500131,0.0,0.18712550743967754,0.0128,181.79576904204413,0.22160478697081842,0.7378184418083904,0.0
9,1.7749491276659801,0.0,0.17801650057183319,0.0128,162.1323833260991,0.2087602887530755,0.7130404182965384,0.0
10,1.6751222955142453,0.0,0.16944571285675927,0.0128,144.61997782387826,0.19665744673888472,0.6895721176057301,0.0
11,1.5809777434417305,0.0,0.1613832448470182,0.0128,129.0208381132415,0.1852509002601581,0.6673410664302638,0.0
12,1.4919993049272933,0.0,0.1538009670301633,0.0128,115.12814875043033,0.174507261907019,0.6462786753487995,0.0
13,1.4081592090685913,0.0,0.1466722500512199,0.0128,102.75401094345473,0.16438788023017653,0.6263202363625342,0.0
14,1.3289694691862985,0.0,0.13997186628240516,0.0128,91.7326087229956,0.15485878223598296,0.6074047271615484,0.0
15,1.2542409204336062,0.0,0.13367601258987197,0.0128,81.91522754518245,0.1458873864277502,0.5894744964000963,0.0
16,1.1837154324289014,0.0,0.12776210203614538,0.0128,73.17143227952992,0.13744429788949866,0.5724750207064703,0.0
17,1.1173255977394525,0.0,0.12220873538087959,0.0128,65.38135225369314,0.12949657386051375,0.5563549289056502,0.0
18,1.0543976102621528,0.0,0.11699567646949381,0.0128,58.44297038693044,0.12202190218849522,0.5410654383287005,0.0
19,0.9951604807450828,0.0,0.1121037376442778,0.0128,52.26352164098063,0.11499477683993563,0.5265605216309003,0.0
20,0.9393524732619969,0.0,0.10751455963254196,0.0128,46.75651998128907,0.10838364460515504,0.5127965710903436,0.0
21,0.8865456467402708,0.0,0.1032109102673695,0.0128,41.852428780456684,0.1021743971423474,0.49973242930122924,0.0
22,0.8369828182056676,0.0,0.09917629580600848,0.0128,37.48202892212137,0.09633840468087006,0.487389777633379,0.0
23,0.7900491543955518,0.0,0.09539510102736701,0.0128,33.5872729512968,0.09085545581502129,0.47585092817466135,0.0
24,0.7459764573053873,0.0,0.0918526084689008,0.0128,30.11516543074929,0.0857037006998503,0.4648907948824969,0.0
25,0.7043247836078552,0.0,0.08853477738258675,0.0128,27.02029456140832,0.08086729367960255,0.45447760193544345,0.0
