model,frame,dirty_nrmse,rec_nrmse,dirty_ssim,rec_ssim
A_data_only,frame_000.png,0.4600673033833779,0.1735335248261037,0.023679255764403745,0.27759236085175576
A_data_only,frame_001.png,0.4468152097857667,0.17828458826195467,0.009363751912417619,0.2364773289482873
A_data_only,frame_002.png,0.43956966092745725,0.18394828982517164,-0.0047106453520366605,0.20718311526395913
B_data_TV_scaled,frame_000.png,0.4600673033833779,0.17527953983285963,0.023679255764403745,0.28324283389342675
B_data_TV_scaled,frame_001.png,0.4468152097857667,0.18001563349451952,0.009363751912417619,0.24049306772450016
B_data_TV_scaled,frame_002.png,0.43956966092745725,0.184987619335457,-0.0047106453520366605,0.21268612210099036
C_data_prior_scaled,frame_000.png,0.4600673033833779,0.11370493885387344,0.023679255764403745,0.39659178535685347
C_data_prior_scaled,frame_001.png,0.4468152097857667,0.12914089077403582,0.009363751912417619,0.33840774888832503
C_data_prior_scaled,frame_002.png,0.43956966092745725,0.1400678995415308,-0.0047106453520366605,0.31017375882801484
D_data_TV_prior_scaled,frame_000.png,0.4600673033833779,0.13306071680578216,0.023679255764403745,0.3531997612703111
D_data_TV_prior_scaled,frame_001.png,0.4468152097857667,0.14465152736029935,0.009363751912417619,0.29954239813768535
D_data_TV_prior_scaled,frame_002.png,0.43956966092745725,0.15341045570049558,-0.0047106453520366605,0.271843533352651
