iter,r_norm,s_norm,eps_pri,eps_dual,data_loss,u_mean,u_max,u_min
1,1.7755483819849553,inf,0.2688646179990228,0.0128,424.6635766288607,0.34390780941128024,0.9697076955830428,0.0
2,1.7125234038282093,0.0,0.26013835925046624,0.0128,395.2481244123793,0.3313605501920584,0.9467749885313558,0.0
3,1.65177315450847,0.0,0.2517302983074293,0.0128,367.88260840471884,0.3192659583276216,0.9246121621869876,0.0
4,1.5931574850663035,0.0,0.24362927208976348,0.0128,342.42489523076733,0.3076094111393541,0.9031925889671134,0.0
5,1.5366664249767463,0.0,0.23582451675670485,0.0128,318.7407831270256,0.29637379456153246,0.8824905794265451,0.0
6,1.4821586096706052,0.0,0.22830565051144633,0.0128,296.70700255773806,0.28554508318550637,0.8624813025669856,0.0
7,1.429601875206484,0.0,0.22106267506638755,0.0128,276.2080101990425,0.27510825427936,0.8431408192921153,0.0
8,1.3788998439704578,0.0,0.21408593398249579,0.0128,257.1370113591785,0.2650499157808535,0.8244460686739397,0.0
9,1.3300034961253897,0.0,0.2073661170660975,0.0128,239.39450733135075,0.25535704465188047,0.8063748014805253,0.0
10,1.2828842114824468,0.0,0.20089423523867808,0.0128,222.8870298981068,0.24601511465413753,0.7889055083789187,0.0
11,1.2374139144620284,0.0,0.19466162807242743,0.0128,207.52890325561327,0.2370126363129418,0.7720174175958411,0.0
12,1.193606328891117,0.0,0.18865995583205103,0.0128,193.23964051151074,0.22833724989416174,0.7556904712936455,0.0
