frame_index,azimuthal_bin,theta_radians,theta_degrees,ground_truth_azimuthal_profile,reconstruction_azimuthal_profile,pixel_count,annulus_inner_pixels,annulus_outer_pixels
0,0,0.04363323129985824,2.5,0.10283687943262412,0.08529411764705883,4,5.62890625,9.62890625
0,1,0.1308996938995747,7.499999999999999,0.10638297872340426,0.11372549019607843,1,5.62890625,9.62890625
0,2,0.21816615649929116,12.499999999999998,0.10874704491725769,0.06797385620915032,3,5.62890625,9.62890625
0,3,0.30543261909900765,17.5,0.08274231678486998,0.06013071895424837,3,5.62890625,9.62890625
0,4,0.39269908169872414,22.5,0.07092198581560284,0.05359477124183006,3,5.62890625,9.62890625
0,5,0.4799655442984406,27.5,0.13238770685579196,0.06928104575163398,3,5.62890625,9.62890625
0,6,0.5672320068981571,32.5,0.07565011820330969,0.05098039215686275,3,5.62890625,9.62890625
0,7,0.6544984694978735,37.49999999999999,0.08510638297872342,0.04836601307189542,3,5.62890625,9.62890625
0,8,0.7417649320975901,42.5,0.12056737588652482,0.06666666666666667,1,5.62890625,9.62890625
0,9,0.8290313946973065,47.5,0.11702127659574468,0.06274509803921569,4,5.62890625,9.62890625
0,10,0.9162978572970231,52.50000000000001,0.09692671394799053,0.06013071895424837,3,5.62890625,9.62890625
0,11,1.0035643198967394,57.5,0.10401891252955082,0.06797385620915032,3,5.62890625,9.62890625
0,12,1.090830782496456,62.50000000000001,0.13238770685579196,0.10065359477124182,3,5.62890625,9.62890625
0,13,1.1780972450961724,67.5,0.08747044917257683,0.08104575163398693,3,5.62890625,9.62890625
0,14,1.2653637076958888,72.5,0.0945626477541371,0.1019607843137255,3,5.62890625,9.62890625
0,15,1.3526301702956054,77.5,0.13711583924349882,0.12026143790849673,3,5.62890625,9.62890625
0,16,1.4398966328953218,82.5,0.15602836879432624,0.19607843137254902,1,5.62890625,9.62890625
0,17,1.5271630954950384,87.5,0.15602836879432624,0.16078431372549018,4,5.62890625,9.62890625
0,18,1.6144295580947547,92.5,0.1826241134751773,0.18823529411764706,4,5.62890625,9.62890625
0,19,1.7016960206944711,97.49999999999999,0.23404255319148937,0.3058823529411765,1,5.62890625,9.62890625
0,20,1.7889624832941877,102.5,0.21040189125295505,0.1895424836601307,3,5.62890625,9.62890625
0,21,1.8762289458939043,107.5,0.19858156028368792,0.20261437908496735,3,5.62890625,9.62890625
0,22,1.9634954084936207,112.5,0.21513002364066194,0.20915032679738563,3,5.62890625,9.62890625
0,23,2.050761871093337,117.5,0.326241134751773,0.28496732026143795,3,5.62890625,9.62890625
0,24,2.1380283336930535,122.49999999999999,0.3238770685579196,0.23790849673202616,3,5.62890625,9.62890625
0,25,2.2252947962927703,127.50000000000001,0.23167848699763594,0.23267973856209148,3,5.62890625,9.62890625
0,26,2.3125612588924866,132.5,0.40425531914893614,0.3137254901960784,1,5.62890625,9.62890625
0,27,2.399827721492203,137.5,0.38652482269503546,0.2823529411764706,4,5.62890625,9.62890625
