Run,Frame,Dirty_NRMSE,Recon_NRMSE,Dirty_SSIM,Recon_SSIM,init_dependence_rel_rmse
dirty_heavy_init,frame_000.png,0.4596124682605083,0.06700854563927247,0.03924718988273638,0.5964416305694951,0.6100060474576954
dirty_heavy_init,frame_001.png,0.44660005180261836,0.08729845617383926,0.02605959606696929,0.629651789998872,0.6100060474576954
dirty_heavy_init,frame_002.png,0.4386055363048699,0.10444540977082906,0.016241352745066502,0.6486801949296144,0.6100060474576954
dirty_heavy_init,frame_003.png,0.4361489085381815,0.1112460941564473,0.012562422049585926,0.6348479880812861,0.6100060474576954
dirty_heavy_init,frame_004.png,0.468456084984903,0.11556221185827421,0.016247389818795283,0.6039950953003792,0.6100060474576954
dirty_heavy_init,frame_005.png,0.5137038358135821,0.12022089632693136,0.03452869873953599,0.516566297566315,0.6100060474576954
dirty_heavy_init,frame_006.png,0.5676093243248391,0.11721779998448648,0.03369976722012542,0.6152277543500468,0.6100060474576954
dirty_heavy_init,frame_007.png,0.5355255587789998,0.11945005296209613,0.0393813036470788,0.6586353061511222,0.6100060474576954
dirty_heavy_init,frame_008.png,0.520432399992947,0.10515957306380562,0.0436500427816088,0.6373415430061888,0.6100060474576954
dirty_heavy_init,frame_009.png,0.511530094992324,0.10726874980570186,0.04232834732604941,0.6481332822762552,0.6100060474576954
dirty_heavy_init,frame_010.png,0.4905610815459316,0.07891678070749325,0.04185118270384795,0.5649126687919971,0.6100060474576954
dirty_heavy_init,frame_011.png,0.519903958637985,0.0944703397767566,0.04042419257304586,0.6072031377998377,0.6100060474576954
dirty_heavy_init,frame_012.png,0.49832021149060407,0.08436784737384538,0.036968636257808864,0.6137050626374769,0.6100060474576954
dirty_heavy_init,frame_013.png,0.46978897528802505,0.07443950754830314,0.035535770168513545,0.6097546510890259,0.6100060474576954
dirty_heavy_init,frame_014.png,0.45764648130296876,0.06763525490827912,0.03439788229366697,0.5965231679960831,0.6100060474576954
prior_heavy_init,frame_000.png,0.4596124682605083,0.06895588418014471,0.03924718988273638,0.5750223332905992,0.6100060474576954
prior_heavy_init,frame_001.png,0.44660005180261836,0.08608578096374167,0.02605959606696929,0.6136670107488561,0.6100060474576954
prior_heavy_init,frame_002.png,0.4386055363048699,0.10278806611973663,0.016241352745066502,0.633975075168229,0.6100060474576954
prior_heavy_init,frame_003.png,0.4361489085381815,0.1118591381744094,0.012562422049585926,0.6124604675859993,0.6100060474576954
prior_heavy_init,frame_004.png,0.468456084984903,0.11916585689506341,0.016247389818795283,0.5711074931032415,0.6100060474576954
prior_heavy_init,frame_005.png,0.5137038358135821,0.1308086643265556,0.03452869873953599,0.4786132309329347,0.6100060474576954
prior_heavy_init,frame_006.png,0.5676093243248391,0.11407764191842977,0.03369976722012542,0.5885946266403647,0.6100060474576954
prior_heavy_init,frame_007.png,0.5355255587789998,0.1138408924369704,0.0393813036470788,0.6405861300682054,0.6100060474576954
prior_heavy_init,frame_008.png,0.520432399992947,0.10035285782957233,0.0436500427816088,0.6183309961543904,0.6100060474576954
prior_heavy_init,frame_009.png,0.511530094992324,0.10105179312292548,0.04232834732604941,0.6389813101228078,0.6100060474576954
prior_heavy_init,frame_010.png,0.4905610815459316,0.08119263535686877,0.04185118270384795,0.539883680948566,0.6100060474576954
prior_heavy_init,frame_011.png,0.519903958637985,0.09020912214072548,0.04042419257304586,0.5906341286384047,0.6100060474576954
prior_heavy_init,frame_012.png,0.49832021149060407,0.07974790445780422,0.036968636257808864,0.5990501571007784,0.6100060474576954
prior_heavy_init,frame_013.png,0.46978897528802505,0.07242487160597338,0.035535770168513545,0.5898386076142634,0.6100060474576954
prior_heavy_init,frame_014.png,0.45764648130296876,0.06943724268431845,0.03439788229366697,0.5766588689065061,0.6100060474576954
