iter,r_norm,s_norm,eps_pri,eps_dual,data_loss,u_mean,u_max,u_min
1,37.930031885209594,inf,1.7535036725798856,0.06792088372267957,11436.113028141617,0.40145958316734615,0.9139375738909752,0.0
2,33.511030610872105,0.03793382445779842,1.565745084979761,0.06808843165652313,9001.015999625908,0.35494353668122447,0.8432221269640922,0.0
3,29.60838534134008,0.033518173254444894,1.4002475240121046,0.06823645538853433,7093.020809877637,0.3139078472003244,0.7811011725822783,0.0
4,26.161962619069044,0.029618486777043745,1.2544527642990173,0.0683672319070301,5597.191560261079,0.2777137519666637,0.7264739506959969,0.0
5,23.118583715654093,0.026174676581560533,1.1261053441113063,0.06848277216387151,4423.745002891781,0.2457962031012781,0.6784906800870684,0.0
6,20.431225382310668,0.023133603274162154,1.0132174365595399,0.06858485143798779,3502.543060027381,0.21765623959970312,0.6363979949553253,0.0
7,18.058310028740475,0.020448278490748144,0.9140374552106303,0.06867503614279927,2778.7913518195214,0.19285419694417083,0.599527948814637,0.0
8,15.963088214743754,0.018077154970960598,0.82702190380317,0.0687547083037579,2209.6679901276493,0.1710021685330866,0.567288408680649,0.0
9,14.113175212851278,0.015983507685827576,0.7508101819073593,0.06882508670585016,1761.7029927465214,0.1517584311170229,0.5392039541311429,0.0
10,12.479566853472827,0.014134974016849886,0.6842017459501109,0.06888724309336575,1408.7410191213291,0.13482319348090446,0.5149161254819915,0.0
11,11.0369849039643,0.012502569151559883,0.6261354537577754,0.06894211981013781,1130.3292754968893,0.11993290746755167,0.4938281380994192,0.0
12,9.763435971900229,0.011061026787589454,0.5756702221486257,0.06899054940422517,910.448613101568,0.10685361977626201,0.47557529298458057,0.0
13,8.639309152872237,0.009788364310883013,0.5319683912979833,0.06903326652534546,736.5533937610473,0.09537755275046764,0.45983406676692445,0.0
14,7.647567553268574,0.008664981697869684,0.49428117297621754,0.06907092188156246,598.8095380216605,0.08531971921218232,0.44631746259876287,0.0
15,6.773046340387361,0.007673848882830593,0.46193580217540253,0.06910409188203678,489.50751606529616,0.07651581904593044,0.43477106958807865,0.0
16,6.00164614426065,0.0067998073849975,0.43432465196898185,0.0691332859174773,402.6096691521096,0.06882064556268333,0.42496936737952323,0.0
17,5.320248539378933,0.006028751612216903,0.41089658795493933,0.06915894062850088,333.412466151996,0.06210936742264275,0.41671225531730427,0.0
18,4.718020123165957,0.005347565416293869,0.3911480814781826,0.06918143876640279,278.22544375903044,0.05627166653711025,0.4098213391353892,0.0
19,4.184810680049261,0.004745392438154311,0.3746172793276107,0.06920110986375835,234.16292757473488,0.05121239658902394,0.40413416552600095,0.0
20,3.7157276353338475,0.004212074620658827,0.36088037632756087,0.0692182674226113,198.91246437495454,0.046841697300519576,0.3995033417193371,0.0
21,3.305908743410397,0.0037427677607796517,0.34955059041998915,0.06923322390603759,170.60587691574855,0.04307074644560507,0.39580453882782357,0.0
22,2.946165369473719,0.003332624089505449,0.3402821899526799,0.06924624952088554,147.79660019071787,0.03982158213211835,0.39292713147363434,0.0
23,2.6301168936016195,0.002972430990774252,0.332770357810497,0.06925757480010386,129.36630924084474,0.0370278352901159,0.3907695704871942,0.0
24,2.351396025068766,0.002655839351426494,0.326746545710182,0.06926740161927054,114.44018734180172,0.034631507835526744,0.38924147041516943,0.0
25,2.1058596365478675,0.002376443702390001,0.32197627880421176,0.06927591219246874,102.32704095353436,0.03258142987634596,0.3882625257135839,0.0
26,1.8841422506455627,0.0021301380264253825,0.3182560677548619,0.06928323683960924,92.51480441850866,0.030838945560448736,0.3877605338735354,0.0
27,1.6848221852220984,0.00190745196648224,0.31540995098402874,0.06928948904641492,84.597128265351,0.02937100579830172,0.3876709847647931,0.0
28,1.5059651686810713,0.0017070737435366406,0.3132840405048845,0.06929479137403119,78.22720605499157,0.02814360771228107,0.3879350536161665,0.0
29,1.3411578631403966,0.0015269698162611051,0.31174700894984053,0.06929922801742283,73.14989335380393,0.027131442629074506,0.3885259899861711,0.0
30,1.1904399378419201,0.001360768134021715,0.3106868040670572,0.0693028918938283,69.13943723126312,0.026307894800662764,0.3893871278916462,0.0
31,1.051245379840523,0.0012086116488645223,0.31000739880358996,0.06930587567006655,65.99834063492446,0.02564612693854194,0.39045723313828595,0.0
32,0.9213901779371213,0.0010678220755794188,0.30962837053975345,0.06930825316034926,63.5776398487782,0.025124875683749045,0.391705236667082,0.0
33,0.8089769228687653,0.0009363622216031585,0.309481960773462,0.0693101340046124,61.720518025835496,0.02471619823006579,0.3931048243754333,0.0
34,0.7039530706164263,0.0008224093229765664,0.3095129059895075,0.06931159038378787,60.32418627772398,0.024401755723827672,0.3946314356643101,0.0
35,0.607709759175056,0.0007158113554551151,0.30967763218568783,0.06931269317192607,59.29782105809092,0.024165582423223492,0.396260601480472,0.0
36,0.5148600014259771,0.0006178237600206591,0.3099407633169198,0.06931348389593933,58.5810057278799,0.02399683100978943,0.397966655899698,0.0
37,0.4483466301097249,0.0005233631946270913,0.31027340974510126,0.06931406062591448,58.072435206368304,0.023873932838565072,0.39971990946146524,0.0
38,0.41354343884287187,0.0004558843696455865,0.31065345966585123,0.0693145294115756,57.66992327694927,0.02377426834906333,0.40148990883476154,0.0
39,0.39257454425132665,0.0004206041655577326,0.3110680299510148,0.06931494065389894,57.3271763580487,0.023687573105118383,0.40326371978041053,0.0
40,0.3749882286648118,0.00039915922522094856,0.3115105477023623,0.06931530537238156,57.032803878004586,0.023611467220857694,0.4050383176986916,0.0
