frame_index,radial_bin,radius_pixels,ground_truth_radial_profile,reconstruction_radial_profile,pixel_count
3,45,11.01953125,0.020365168539325844,0.03431372549019608,16
3,46,11.26171875,0.01896067415730337,0.018137254901960782,8
3,47,11.50390625,0.01720505617977528,0.023284313725490193,32
3,48,11.74609375,0.016151685393258425,0.018872549019607842,16
3,49,11.98828125,0.015168539325842695,0.013333333333333332,20
3,50,12.23046875,0.012991573033707866,0.016176470588235292,16
3,51,12.47265625,0.009831460674157303,0.0196078431372549,16
3,52,12.71484375,0.010533707865168537,0.012908496732026145,24
3,53,12.95703125,0.009480337078651684,0.011764705882352941,16
3,54,13.19921875,0.007022471910112359,0.011519607843137256,16
3,55,13.44140625,0.007584269662921349,0.007647058823529412,20
3,56,13.68359375,0.0056179775280898875,0.009558823529411765,32
3,57,13.92578125,0.004213483146067416,0.010784313725490196,8
3,58,14.16796875,0.005149812734082397,0.00849673202614379,24
3,59,14.41015625,0.0035112359550561797,0.005147058823529412,16
3,60,14.65234375,0.0036867977528089887,0.006004901960784313,32
3,61,14.89453125,0.0030096308186195824,0.0051820728291316525,28
3,62,15.13671875,0.0024578651685393258,0.005147058823529412,16
3,63,15.37890625,0.0028089887640449437,0.005392156862745098,8
4,0,0.12109375,,,0
4,1,0.36328125,,,0
4,2,0.60546875,0.0032258064516129032,0.0029411764705882353,4
4,3,0.84765625,,,0
4,4,1.08984375,,,0
4,5,1.33203125,,,0
4,6,1.57421875,0.0016129032258064516,0.010294117647058823,8
4,7,1.81640625,,,0
4,8,2.05859375,0.00967741935483871,0.0392156862745098,4
4,9,2.30078125,,,0
4,10,2.54296875,0.06451612903225806,0.12794117647058822,8
4,11,2.78515625,,,0
4,12,3.02734375,0.18064516129032257,0.21666666666666667,8
4,13,3.26953125,,,0
4,14,3.51171875,0.3483870967741936,0.3470588235294118,12
4,15,3.75390625,0.4080645161290323,0.39264705882352946,8
4,16,3.99609375,,,0
4,17,4.23828125,0.4266129032258065,0.453921568627451,8
4,18,4.48046875,0.43790322580645163,0.4553921568627451,8
4,19,4.72265625,0.41935483870967744,0.4705882352941177,8
4,20,4.96484375,0.4080645161290323,0.4852941176470588,4
4,21,5.20703125,0.37419354838709673,0.47254901960784307,8
4,22,5.44921875,0.2879032258064516,0.4024509803921569,8
4,23,5.69140625,0.2907258064516129,0.39607843137254906,16
4,24,5.93359375,0.2314516129032258,0.31813725490196076,8
4,25,6.17578125,,,0
4,26,6.41796875,0.17774193548387096,0.2480392156862746,20
4,27,6.66015625,0.14516129032258063,0.20980392156862748,8
4,28,6.90234375,0.13225806451612904,0.15784313725490196,8
4,29,7.14453125,0.13064516129032255,0.1602941176470588,8
4,30,7.38671875,0.11129032258064517,0.11911764705882352,8
4,31,7.62890625,0.11975806451612903,0.13431372549019607,16
4,32,7.87109375,0.09193548387096775,0.09196078431372551,20
4,33,8.11328125,,,0
4,34,8.35546875,0.07741935483870968,0.06813725490196079,8
4,35,8.59765625,0.07768817204301075,0.0826797385620915,24
4,36,8.83984375,0.07137096774193548,0.060294117647058824,16
