,nrmse,ssim,frc_auc,frc_cutoff_frequency,fourier_chi2,radial_profile_error,azimuthal_profile_error
count,15.0,15.0,15.0,15.0,15.0,15.0,15.0
mean,0.4266564017762134,0.8211698453667092,0.42539169730893805,0.90625,0.22344523374183442,0.25936778992534637,0.3804576416207387
std,0.13256234566931913,0.05021137020338958,0.18383693467857207,0.168700389532957,0.13489711476660426,0.12471019999814538,0.15204072293300405
min,0.25305925530992895,0.7451330367708476,0.18230639655752345,0.34375,0.07531583017764344,0.11662566071574625,0.17097950770022582
25%,0.32365766396018236,0.7780311685583178,0.2599512695564385,0.96875,0.12231682687829332,0.155254110292993,0.25586650019304197
50%,0.41600786941867524,0.8304770654341088,0.45997926045781923,0.96875,0.2013539020138777,0.2107583260062293,0.3778920833634489
75%,0.5260811290821168,0.8533587629654492,0.5628912144328051,0.96875,0.2878943284748826,0.38087644927737074,0.4668173679703349
max,0.6710677032534741,0.9121265034151924,0.7136609229941996,0.96875,0.517538526966022,0.46157114494154877,0.6583357476922888
