label,i,j,relative_distance,stage,prior_weight
reconstruction,6,12,0.009140378929973473,01_spatial_tv_prior_init,0.05
reconstruction,6,13,0.010617056932904354,01_spatial_tv_prior_init,0.05
reconstruction,6,14,0.012086271146326504,01_spatial_tv_prior_init,0.05
reconstruction,7,8,0.0015500069151821768,01_spatial_tv_prior_init,0.05
reconstruction,7,9,0.003087671546497585,01_spatial_tv_prior_init,0.05
reconstruction,7,10,0.004630445908409692,01_spatial_tv_prior_init,0.05
reconstruction,7,11,0.006215681304188083,01_spatial_tv_prior_init,0.05
reconstruction,7,12,0.007662445816092136,01_spatial_tv_prior_init,0.05
reconstruction,7,13,0.00915520558848971,01_spatial_tv_prior_init,0.05
reconstruction,7,14,0.01064089923264582,01_spatial_tv_prior_init,0.05
reconstruction,8,9,0.0015520178312089853,01_spatial_tv_prior_init,0.05
reconstruction,8,10,0.0031090397132979876,01_spatial_tv_prior_init,0.05
reconstruction,8,11,0.004709440709744993,01_spatial_tv_prior_init,0.05
reconstruction,8,12,0.0061706995515885855,01_spatial_tv_prior_init,0.05
reconstruction,8,13,0.007679211183359211,01_spatial_tv_prior_init,0.05
reconstruction,8,14,0.009181097086701517,01_spatial_tv_prior_init,0.05
reconstruction,9,10,0.0015691202764958447,01_spatial_tv_prior_init,0.05
reconstruction,9,11,0.003183673661086955,01_spatial_tv_prior_init,0.05
reconstruction,9,12,0.004658977200819082,01_spatial_tv_prior_init,0.05
reconstruction,9,13,0.006182889238353568,01_spatial_tv_prior_init,0.05
reconstruction,9,14,0.007700632027601666,01_spatial_tv_prior_init,0.05
reconstruction,10,11,0.0016299838931817842,01_spatial_tv_prior_init,0.05
reconstruction,10,12,0.0031199364040798826,01_spatial_tv_prior_init,0.05
reconstruction,10,13,0.004659254295309425,01_spatial_tv_prior_init,0.05
reconstruction,10,14,0.006192720171606807,01_spatial_tv_prior_init,0.05
reconstruction,11,12,0.0015042959179082708,01_spatial_tv_prior_init,0.05
reconstruction,11,13,0.003058498653931624,01_spatial_tv_prior_init,0.05
reconstruction,11,14,0.004607365531797064,01_spatial_tv_prior_init,0.05
reconstruction,12,13,0.001567259673035689,01_spatial_tv_prior_init,0.05
reconstruction,12,14,0.0031300859017037203,01_spatial_tv_prior_init,0.05
reconstruction,13,14,0.0015774272769417924,01_spatial_tv_prior_init,0.05
delta,0,1,0.0009286341315794814,01_spatial_tv_prior_init,0.05
delta,0,2,0.0018939609594580578,01_spatial_tv_prior_init,0.05
delta,0,3,0.0027875517988949876,01_spatial_tv_prior_init,0.05
delta,0,4,0.003720440347422386,01_spatial_tv_prior_init,0.05
delta,0,5,0.004691568853186344,01_spatial_tv_prior_init,0.05
delta,0,6,0.005574789294346574,01_spatial_tv_prior_init,0.05
delta,0,7,0.006482477892579177,01_spatial_tv_prior_init,0.05
delta,0,8,0.007382428624357556,01_spatial_tv_prior_init,0.05
delta,0,9,0.008272570246505186,01_spatial_tv_prior_init,0.05
delta,0,10,0.009161685871276932,01_spatial_tv_prior_init,0.05
delta,0,11,0.010072261207047805,01_spatial_tv_prior_init,0.05
delta,0,12,0.01090184978481708,01_spatial_tv_prior_init,0.05
delta,0,13,0.011754580823536925,01_spatial_tv_prior_init,0.05
delta,0,14,0.012601416525327423,01_spatial_tv_prior_init,0.05
delta,1,2,0.0009745355420728499,01_spatial_tv_prior_init,0.05
delta,1,3,0.0018759067055344586,01_spatial_tv_prior_init,0.05
delta,1,4,0.0028175701795273957,01_spatial_tv_prior_init,0.05
delta,1,5,0.0037989998587851575,01_spatial_tv_prior_init,0.05
delta,1,6,0.0046917209106118705,01_spatial_tv_prior_init,0.05
delta,1,7,0.005609604275165894,01_spatial_tv_prior_init,0.05
delta,1,8,0.006519931374803552,01_spatial_tv_prior_init,0.05
delta,1,9,0.007420231123160597,01_spatial_tv_prior_init,0.05
delta,1,10,0.008319853880801623,01_spatial_tv_prior_init,0.05
delta,1,11,0.0092414189254218,01_spatial_tv_prior_init,0.05
delta,1,12,0.010080944261470002,01_spatial_tv_prior_init,0.05
delta,1,13,0.010944131302765035,01_spatial_tv_prior_init,0.05
delta,1,14,0.011801427278519336,01_spatial_tv_prior_init,0.05
delta,2,3,0.0009094150367504751,01_spatial_tv_prior_init,0.05
delta,2,4,0.0018605878842825148,01_spatial_tv_prior_init,0.05
