block,updates,relative_iterate_change,relative_objective_change,mean_pairwise_frame_distance,cross_minus_own_data_loss_mean,data,prior,tv,wavelet,spatial_total
1,25,0.5829957784916228,inf,0.00126231961700851,7.150597954819204e-05,17.836956772596153,19.16164033840236,0.00667311631613205,0.04310698560653157,37.04837721292118
2,50,0.14903075426534965,0.03359919656931766,0.0017445995565608023,6.917666458239324e-05,12.170134548342606,23.591827938223208,0.005690219577641636,0.03592879822652417,35.80358150436998
3,75,0.033352579633215564,0.0012537679352359577,0.001892053746375395,6.814345529893018e-05,11.281151433925093,24.437634395521627,0.005528879800246684,0.03437741266623241,35.75869212191319
4,100,0.008347842262450571,7.12043104678483e-05,0.001959455470660009,6.888360055512521e-05,11.108587380133955,24.608109235859033,0.005505908042724173,0.03394342486171158,35.75614594889742
5,125,0.0027432167251762027,7.262501949333219e-06,0.0019898469119571075,6.95738980764915e-05,11.072371996929014,24.644225864404447,0.005504606990779911,0.033783801493521934,35.755886269817765
6,150,0.0011274132272358194,1.1978748007665786e-06,0.0020056742710843644,7.002003440215177e-05,11.064089592262697,24.6525365051821,0.0055058086738738205,0.03371153262395189,35.75584343874262
7,175,0.0005111155506103899,2.4550957064863873e-07,0.0020134658270647473,7.02426935288436e-05,11.061947841122711,24.654704879584404,0.005506741658210839,0.03367519797552453,35.75583466034085
8,200,0.00024142332948677879,5.518076714696264e-08,0.0020170482278232056,7.033950410928469e-05,11.061309347671756,24.65536000973272,0.0055072727111983135,0.033656057190786896,35.755832687306466
9,225,0.00011686359806921395,1.312451802560332e-08,0.002018488079880209,7.037018320854571e-05,11.06108934466305,24.655589541638122,0.005507550136757042,0.03364578159047484,35.755832218028395
10,250,5.761264451399643e-05,3.248228490296515e-09,0.002019159261058982,7.038217274013547e-05,11.061003911742514,24.65568026917971,0.0055076934799493165,0.03364022748310489,35.75583210188528
11,275,2.881723420299612e-05,8.415921026311656e-10,0.002019471195046819,7.038657511238e-05,11.060968175664453,24.65571890545183,0.005507766501391273,0.03363722417578115,35.755832071793456
12,300,1.4601482680625573e-05,2.015601172199127e-10,0.0020196188763691096,7.038793626090722e-05,11.060952409755098,24.655736253765436,0.0055078040643626106,0.03363559700160473,35.75583206458651
