sweep_index,warm_start_l1_weight,warm_start_tv_weight,warm_start_hessian_weight,warm_start_initialization,warm_start_initial_image,warm_start_initial_scale_mode,output_dir,warm_start_mean_frame_nrmse,warm_start_mean_ssim,warm_start_stge,warm_start_stge_temporal,warm_start_fourier_reduced_chi2,warm_start_fourier_chi2,warm_start_final_objective,warm_start_final_data,warm_start_final_l1,warm_start_final_tv,warm_start_final_hessian,warm_start_final_relative_change,warm_start_final_step_size
10,1e-07,0.0,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-07_tv_0_hessian_1e-07,1.7473114101825356,0.488579210822781,1.1595679383424842,0.9761698292885853,3.0113721060701717e-10,1.4342563066791014e-05,1.6740127352774612e-06,1.4342563066791013e-06,2.27177067727853e-07,0.0,1.2579360870507007e-08,0.0002993152391253978,0.06181587566048356
11,1e-07,0.0,1e-05,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-07_tv_0_hessian_1e-05,1.739201544877389,0.48850635526771,1.071527472232171,0.9752687293263734,3.0244489987137104e-10,1.440484569107366e-05,2.1030570866519848e-06,1.440484569107366e-06,2.271002226973702e-07,0.0,4.354722948472485e-07,0.00031280747899357225,0.06181587566048356
12,1e-07,1e-07,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-07_tv_1e-07_hessian_0,1.4391908835802985,0.4192761210018777,1.132720087077288,1.0440180059364959,1.2652481902601598e-10,6.026124080571089e-06,8.796367476730715e-07,6.026124080571089e-07,2.4984794414670905e-07,2.7176395469253435e-08,0.0,0.0007679268356732533,0.49124118461278854
13,1e-07,1e-07,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-07_tv_1e-07_hessian_1e-07,1.7640336969432049,0.49333160534508363,1.1637564133327551,0.9772725769598046,3.0961332012462084e-10,1.4746263210895442e-05,1.7359398904121205e-06,1.4746263210895442e-06,2.2632439209919084e-07,2.2507621052901698e-08,1.2481556170483729e-08,0.00027372571817713826,0.05495327951202498
14,1e-07,1e-07,1e-05,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-07_tv_1e-07_hessian_1e-05,1.7543481991317642,0.4939599833794649,1.0767172337026294,0.976266300487985,3.105893475869244e-10,1.4792749446870035e-05,2.1660960696333315e-06,1.4792749446870036e-06,2.2626519978263642e-07,2.176869101512807e-08,4.3878723414856354e-07,0.0002871505778146607,0.05495327951202498
15,1e-07,1e-05,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-07_tv_1e-05_hessian_0,1.8653353163493318,0.29900402864765613,1.1305358074428207,1.0657371387309589,1.723753758567575e-10,8.209894401305646e-06,2.5823141476463234e-06,8.209894401305646e-07,2.3522222439250967e-07,1.5261024831232491e-06,0.0,0.0013606419092715809,0.49124118461278854
16,1e-07,1e-05,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-07_tv_1e-05_hessian_1e-07,1.8754783174758252,0.47290294554906465,1.147876222394932,0.9771068265969244,3.1698481664644973e-10,1.5097352847237107e-05,3.767699312910875e-06,1.5097352847237107e-06,2.236887193653628e-07,2.028126141991384e-06,6.149166830418673e-09,0.0002978271885105681,0.05495327951202498
17,1e-07,1e-05,1e-05,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-07_tv_1e-05_hessian_1e-05,1.8670374773670144,0.4721451953478347,1.0958514363381462,0.977284896621037,3.17258333670902e-10,1.511037991607772e-05,4.185383074199343e-06,1.5110379916077718e-06,2.2367546284399406e-07,2.0185003597080424e-06,4.321692600395351e-07,0.0003178883356823729,0.05495327951202498
18,1e-05,0.0,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-05_tv_0_hessian_0,1.0,0.5169104772867039,1.0,1.0,1.1388849565116671e-09,5.424281270873768e-05,5.424281270873769e-06,5.424281270873769e-06,0.0,0.0,0.0,0.0,10.0
19,1e-05,0.0,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-05_tv_0_hessian_1e-07,1.5969903961856808,0.5841607389058789,1.2215687610691985,0.9601490494629077,4.729940795520065e-10,2.2527762020902968e-05,1.6786593561339366e-05,2.252776202090297e-06,1.4521714351935005e-05,0.0,1.21030073140671e-08,0.0013500987304129817,0.06181587566048356
20,1e-05,0.0,1e-05,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-05_tv_0_hessian_1e-05,1.5840733533350357,0.5816444437628533,1.1088706204981957,0.9601160965388338,4.723086799251354e-10,2.2495117807474348e-05,1.7173813000210647e-05,2.2495117807474348e-06,1.4511589822027049e-05,0.0,4.127113974361624e-07,0.0013732660425268234,0.06181587566048356
21,1e-05,1e-07,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-05_tv_1e-07_hessian_0,0.894423440414921,0.5290255567759494,1.2581974610484148,1.1691051851197463,1.017778204614268e-09,4.847474032936836e-05,5.9637487461149515e-06,4.847474032936837e-06,1.1129260803216331e-06,3.348632856483433e-09,0.0,0.014811031384081661,0.49124118461278854
22,1e-05,1e-07,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-05_tv_1e-07_hessian_1e-07,1.6288862114529046,0.5851719992727206,1.221438005813992,0.9637347448168309,4.6361109337452897e-10,2.2080869155242067e-05,1.7328947236593336e-05,2.208086915524207e-06,1.509011852231468e-05,1.8643866532026637e-08,1.209793222241931e-08,0.0012126274443749504,0.05495327951202498
23,1e-05,1e-07,1e-05,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-05_tv_1e-07_hessian_1e-05,1.6152412688679951,0.582885894856797,1.1124803624558637,0.9633746511462533,4.630447734951047e-10,2.2053896472024846e-05,1.7722960977172648e-05,2.2053896472024844e-06,1.507989701487318e-05,1.7965214266773468e-08,4.1970910083020945e-07,0.0012316929280405987,0.05495327951202498
24,1e-05,1e-05,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-05_tv_1e-05_hessian_0,0.9373298145851802,0.5192018700693726,1.7304046266850193,1.7218050934990496,1.1237255073345776e-09,5.352079846333126e-05,5.498462802318302e-06,5.352079846333126e-06,1.1620839938178464e-07,3.017455660339073e-08,0.0,0.12525368909036755,0.49124118461278854
25,1e-05,1e-05,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-05_tv_1e-05_hessian_1e-07,1.7420405775198933,0.5800347913572176,1.2101687609139962,0.9643448669886358,4.715718375787083e-10,2.246002348019872e-05,1.872787320770487e-05,2.246002348019872e-06,1.4772332330106568e-05,1.703583060829925e-06,5.955468748503996e-09,0.0013216514287077864,0.05495327951202498
26,1e-05,1e-05,1e-05,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-05_tv_1e-05_hessian_1e-05,1.7294905579556936,0.5777057678974953,1.1445870871517374,0.965071319180351,4.706652626818334e-10,2.2416845131010357e-05,1.911948819298605e-05,2.241684513101036e-06,1.4765549412485601e-05,1.6947279595430825e-06,4.1752630785633554e-07,0.001340227394700915,0.05495327951202498
