stage,converged,seconds,relative_change_from_prior,data,tv,prior,spatial_total,prior_weight,tv_weight,delta_amplification,mean_pairwise_frame_distance,mean_pairwise_delta_distance,max_abs_delta,max_abs_pairwise_delta_difference,own_data_loss_mean,cross_data_loss_mean,cross_minus_own_data_loss_mean,cross_over_own_data_loss_ratio
01_spatial_tv_prior_init,True,141.39498845899652,0.8810879625065334,1.0939937659570949,0.0021058878356878274,8.753271430264665,9.849371084057447,0.01,3e-05,6.0,0.027909653250670647,0.005346053061765468,0.7468388524440297,0.03563924992243319,0.36466458865236495,0.36534168130969125,0.0006770926573262948,1.0018567546106594
02_ot_from_spatial_init,True,270.7982010370033,0.8809701185744585,1.096737025535548,0.0021042878151929325,8.750930118191896,9.849771431542637,0.01,3e-05,6.0,0.008744969776366698,0.0016748125564025839,0.7465462979184129,0.014142440276152435,0.3655790085118493,0.36580659029890555,0.00022758178705623022,1.0006225242170825
