image_index,data_index,loss,stage,prior_weight
5,14,3.734980868415412,02_residual_signed_ot_from_spatial_init,0.05
6,0,3.673731357118469,02_residual_signed_ot_from_spatial_init,0.05
6,1,3.67732310671279,02_residual_signed_ot_from_spatial_init,0.05
6,2,3.6812255274385848,02_residual_signed_ot_from_spatial_init,0.05
6,3,3.685031839680267,02_residual_signed_ot_from_spatial_init,0.05
6,4,3.6891756447926793,02_residual_signed_ot_from_spatial_init,0.05
6,5,3.693536881329772,02_residual_signed_ot_from_spatial_init,0.05
6,6,3.6973142886890487,02_residual_signed_ot_from_spatial_init,0.05
6,7,3.7013608783590417,02_residual_signed_ot_from_spatial_init,0.05
6,8,3.7053775851557518,02_residual_signed_ot_from_spatial_init,0.05
6,9,3.709401392820856,02_residual_signed_ot_from_spatial_init,0.05
6,10,3.7136228564715124,02_residual_signed_ot_from_spatial_init,0.05
6,11,3.718011097748878,02_residual_signed_ot_from_spatial_init,0.05
6,12,3.7218873123749923,02_residual_signed_ot_from_spatial_init,0.05
6,13,3.7259090042617182,02_residual_signed_ot_from_spatial_init,0.05
6,14,3.7300860301957752,02_residual_signed_ot_from_spatial_init,0.05
7,0,3.6699716741296253,02_residual_signed_ot_from_spatial_init,0.05
7,1,3.67350335058208,02_residual_signed_ot_from_spatial_init,0.05
7,2,3.6773413711803125,02_residual_signed_ot_from_spatial_init,0.05
7,3,3.681086123672343,02_residual_signed_ot_from_spatial_init,0.05
7,4,3.6851632521828583,02_residual_signed_ot_from_spatial_init,0.05
7,5,3.6894527289343158,02_residual_signed_ot_from_spatial_init,0.05
7,6,3.6931630698513214,02_residual_signed_ot_from_spatial_init,0.05
7,7,3.697138614429915,02_residual_signed_ot_from_spatial_init,0.05
7,8,3.7010827267212143,02_residual_signed_ot_from_spatial_init,0.05
7,9,3.7050323800079354,02_residual_signed_ot_from_spatial_init,0.05
7,10,3.7091779610551745,02_residual_signed_ot_from_spatial_init,0.05
7,11,3.713485992744961,02_residual_signed_ot_from_spatial_init,0.05
7,12,3.717287113232974,02_residual_signed_ot_from_spatial_init,0.05
7,13,3.721229973610574,02_residual_signed_ot_from_spatial_init,0.05
