iter,r_norm,s_norm,eps_pri,eps_dual,data_loss,u_mean,u_max,u_min
1,1.7764082230580707,inf,0.2688646179990228,0.0128,424.6485106875116,0.3439016149839373,0.969732116925917,0.0
2,1.7132868954495188,0.0,0.26013473370136464,0.0128,395.2206824485696,0.331348846598036,0.9468252718227802,0.0
3,1.652446183997601,0.0,0.2517235782296212,0.0128,367.8451536611818,0.3192493838631067,0.9246896699498321,0.0
4,1.593745404820472,0.0,0.24361996193578092,0.0128,342.37950185167153,0.30758856529409434,0.9032986093000588,0.0
5,1.5371743262115516,0.0,0.2358130960034422,0.0128,318.6892699560308,0.29634924861434425,0.8826263297667287,0.0
6,1.4825918873657034,0.0,0.22829257498148198,0.0128,296.6509420318091,0.2855173499055383,0.8626479330473764,0.0
7,1.429964777490287,0.0,0.22104837839447067,0.0128,276.14877747894207,0.27507783248377043,0.8433394156979375,0.0
8,1.3791971161261667,0.0,0.21407082891728685,0.0128,257.07578801336905,0.26501725848659907,0.8246776555090836,0.0
9,1.3302391715988453,0.0,0.2073505967487026,0.0128,239.33230829204663,0.2553225789114073,0.80664034516172,0.0
10,1.2830620215120996,0.0,0.20087867441975787,0.0128,222.82473227127645,0.2459792533460173,0.7892059203030362,0.0
11,1.2375386046937618,0.0,0.1946463840152926,0.0128,207.4672258392925,0.23697571962649633,0.7723535566760633,0.0
12,1.1936798948656633,0.0,0.18864536959812564,0.0128,193.17922700488728,0.2282996646183922,0.7560631466825203,0.0
