,nrmse,ssim,frc_auc,frc_cutoff_frequency,fourier_chi2,radial_profile_error,azimuthal_profile_error
count,15.0,15.0,15.0,15.0,15.0,15.0,15.0
mean,0.40327606469515787,0.8170546180005387,0.4426920153113409,0.9270833333333334,0.19551865728939913,0.20187357564864525,0.3461765801423086
std,0.0877479363908721,0.07216398675297857,0.17057199235264925,0.1613743060919757,0.08829613578773017,0.041920278152623495,0.10248279927832177
min,0.2787860098507092,0.597976533536047,0.22279308149862792,0.34375,0.09193015419968739,0.14013009798292006,0.16394139282608425
25%,0.3368565730197942,0.811747722321305,0.2864608147616231,0.96875,0.12376676271540743,0.17321730168442334,0.2801695581036357
50%,0.39923160439696265,0.8270547964573964,0.43475805772417575,0.96875,0.18400770613274242,0.20181096793760173,0.3467573781892807
75%,0.4596943570826256,0.8586793943660397,0.612946114483063,0.96875,0.22800421274216343,0.23160677927677004,0.3929384105932828
max,0.5580522318016521,0.908698690917855,0.6598747294575557,0.96875,0.38009073645791003,0.2834651197091141,0.5238525856908381
