frame_index,obs_name,gt_name,adjoint_relerr_mean,adjoint_relerr_max,gradient_relerr_mean,gradient_relerr_max,obs_norm,pred_norm,res_norm,gt_visibility_rel_residual,gt_visibility_complex_corr,best_flux_scale,scaled_gt_rel_residual,normal_rel_residual,conjugated_rel_residual,conjugate_better
0,frame_00.npz,frame_000.png,2.4101855252033297e-16,4.888663999462582e-16,2.7564038259016528e-08,1.470951265728927e-07,0.00906431541497594,3.3123260183322576,3.3040025670303566,364.50657500367,0.9205286275841942,0.002513459063695905,0.39546655279133147,364.50657500367,364.5850389601668,False
1,frame_01.npz,frame_001.png,7.88007621122829e-16,2.5906670209551122e-15,8.566537185577545e-09,2.6667176895459693e-08,0.009308370209456645,2.6639773951836676,2.655614382212091,285.2931632681392,0.8997309874812918,0.0031404727685181363,0.4384062242211501,285.2931632681392,285.384221757527,False
2,frame_02.npz,frame_002.png,6.225481808864649e-16,2.5788457035210716e-15,5.336811429084411e-09,1.109677232237965e-08,0.009435122559675766,2.4306966404451558,2.4227198625251507,256.77672409076047,0.8462522942299068,0.0032838327476314853,0.5332018069083929,256.77672409076047,256.8530770282293,False
