Frame,Dirty_NRMSE,ADMM_NRMSE,Dirty_SSIM,ADMM_SSIM
frame_000.png,0.4596124682605083,0.11429143389161384,0.03924718988273638,0.47801088925953517
frame_001.png,0.44660005180261836,0.10262912877172242,0.02605959606696929,0.5244032545216479
frame_002.png,0.4386055363048699,0.11215258171087793,0.016241352745066502,0.5419614851365709
frame_003.png,0.4361489085381815,0.12566631574853357,0.012562422049585926,0.5291506586670579
frame_004.png,0.468456084984903,0.13267551096070446,0.016247389818795283,0.5037637491235727
frame_005.png,0.5137038358135821,0.15944277719242436,0.03452869873953599,0.43033937530633265
frame_006.png,0.5676093243248391,0.09963787197494518,0.03369976722012542,0.5257182192096697
frame_007.png,0.5355255587789998,0.0879162829108636,0.0393813036470788,0.5685703705940063
frame_008.png,0.520432399992947,0.08790669260250325,0.0436500427816088,0.5473234354081581
frame_009.png,0.511530094992324,0.07936826855678604,0.04232834732604941,0.5663583166997532
frame_010.png,0.4905610815459316,0.10938314344480243,0.04185118270384795,0.470652425917199
frame_011.png,0.519903958637985,0.08260346845774981,0.04042419257304586,0.5239828648898083
frame_012.png,0.49832021149060407,0.07996175318776501,0.036968636257808864,0.5285186021931099
frame_013.png,0.46978897528802505,0.09694506830059155,0.035535770168513545,0.49758991606850006
frame_014.png,0.45764648130296876,0.11459111178842911,0.03439788229366697,0.48042515565058325
