label,i,j,relative_distance
ot_minus_spatial_delta,1,10,0.7024291392339336
ot_minus_spatial_delta,1,11,0.7832136278757998
ot_minus_spatial_delta,1,12,0.6917133098661106
ot_minus_spatial_delta,1,13,0.7362120208945738
ot_minus_spatial_delta,1,14,0.9411625740394095
ot_minus_spatial_delta,2,3,0.610689791533251
ot_minus_spatial_delta,2,4,0.6860197989395774
ot_minus_spatial_delta,2,5,0.6387807613050005
ot_minus_spatial_delta,2,6,0.6839846225118026
ot_minus_spatial_delta,2,7,0.6797973661715233
ot_minus_spatial_delta,2,8,0.6829034276163455
ot_minus_spatial_delta,2,9,0.6799029284588475
ot_minus_spatial_delta,2,10,0.6878129247645391
ot_minus_spatial_delta,2,11,0.6826025917013699
ot_minus_spatial_delta,2,12,0.69232164371513
ot_minus_spatial_delta,2,13,0.6885891139639921
ot_minus_spatial_delta,2,14,0.8989335342146563
ot_minus_spatial_delta,3,4,0.6142335160283366
ot_minus_spatial_delta,3,5,0.7535873272030785
ot_minus_spatial_delta,3,6,0.6678861887485958
ot_minus_spatial_delta,3,7,0.7099919696011119
ot_minus_spatial_delta,3,8,0.7134739547436895
ot_minus_spatial_delta,3,9,0.7056475301382977
ot_minus_spatial_delta,3,10,0.693770364546476
ot_minus_spatial_delta,3,11,0.7786060465584766
ot_minus_spatial_delta,3,12,0.6954577893724294
ot_minus_spatial_delta,3,13,0.7263480337844793
ot_minus_spatial_delta,3,14,0.9433790391550381
ot_minus_spatial_delta,4,5,0.7257332221979735
ot_minus_spatial_delta,4,6,0.6648457840383831
ot_minus_spatial_delta,4,7,0.6949655365260397
ot_minus_spatial_delta,4,8,0.7199171840562807
ot_minus_spatial_delta,4,9,0.7052321350815882
ot_minus_spatial_delta,4,10,0.6935323996723074
ot_minus_spatial_delta,4,11,0.7766450252015928
ot_minus_spatial_delta,4,12,0.6910733697480778
ot_minus_spatial_delta,4,13,0.7328581478475089
ot_minus_spatial_delta,4,14,0.9325535786715311
ot_minus_spatial_delta,5,6,0.6394512378629349
ot_minus_spatial_delta,5,7,0.6667805913132165
ot_minus_spatial_delta,5,8,0.6622122357519798
ot_minus_spatial_delta,5,9,0.6793284055578434
ot_minus_spatial_delta,5,10,0.6947962354947176
ot_minus_spatial_delta,5,11,0.6392537040563612
ot_minus_spatial_delta,5,12,0.6919955003077843
ot_minus_spatial_delta,5,13,0.6781982783347908
ot_minus_spatial_delta,5,14,0.88679760711852
ot_minus_spatial_delta,6,7,0.6443656369759065
ot_minus_spatial_delta,6,8,0.6938691671506263
ot_minus_spatial_delta,6,9,0.6862380900310358
ot_minus_spatial_delta,6,10,0.690055593629453
ot_minus_spatial_delta,6,11,0.7578393249867053
ot_minus_spatial_delta,6,12,0.6798204379999749
ot_minus_spatial_delta,6,13,0.7225100311644135
ot_minus_spatial_delta,6,14,0.9369489297140553
ot_minus_spatial_delta,7,8,0.6213654591932004
ot_minus_spatial_delta,7,9,0.6702271541084401
ot_minus_spatial_delta,7,10,0.674715010511949
ot_minus_spatial_delta,7,11,0.7284496995094463
ot_minus_spatial_delta,7,12,0.6797091776778782
ot_minus_spatial_delta,7,13,0.7052413527981621
ot_minus_spatial_delta,7,14,0.9294991039642004
ot_minus_spatial_delta,8,9,0.6218666377063715
ot_minus_spatial_delta,8,10,0.6686009745054671
ot_minus_spatial_delta,8,11,0.7087928437045153
ot_minus_spatial_delta,8,12,0.6777623737019076
ot_minus_spatial_delta,8,13,0.7015132804102087
ot_minus_spatial_delta,8,14,0.9250312257963005
ot_minus_spatial_delta,9,10,0.6260240915466094
ot_minus_spatial_delta,9,11,0.7208573304333852
ot_minus_spatial_delta,9,12,0.6623549443931532
ot_minus_spatial_delta,9,13,0.700659596472977
ot_minus_spatial_delta,9,14,0.934027744345631
ot_minus_spatial_delta,10,11,0.6752380566590007
ot_minus_spatial_delta,10,12,0.6606452537220942
ot_minus_spatial_delta,10,13,0.6981312738266886
ot_minus_spatial_delta,10,14,0.9318173445371382
ot_minus_spatial_delta,11,12,0.652483164862884
ot_minus_spatial_delta,11,13,0.6676501504560628
ot_minus_spatial_delta,11,14,0.8740570813644323
ot_minus_spatial_delta,12,13,0.660529373837115
ot_minus_spatial_delta,12,14,0.94508648514449
ot_minus_spatial_delta,13,14,0.911590903269566
