sparsity,sequence,lag,G_l,raw_E_l,reference_E_l,raw_minus_reference
8,static,2,0.22891438518128635,0.16443972920571584,0.39335411438700213,-0.2289143851812863
8,static,3,0.4172966320847508,0.2345787422460538,0.6518753743308047,-0.4172966320847509
8,static,4,0.5420758698189666,0.26921176142302833,0.8112876312419949,-0.5420758698189665
8,static,5,0.6195515806807436,0.28160256617574675,0.9011541468564903,-0.6195515806807436
8,static+UOT,2,0.1823856178894105,0.21096849649759164,0.39335411438700213,-0.1823856178894105
8,static+UOT,3,0.3054112473545678,0.34646412697623674,0.6518753743308047,-0.3054112473545679
8,static+UOT,4,0.3457672735241143,0.4655203577178806,0.8112876312419949,-0.3457672735241143
8,static+UOT,5,0.32932185117462137,0.5718322956818691,0.9011541468564903,-0.3293218511746212
8,StarWarps,2,0.2009613223087245,0.1923927920782777,0.39335411438700213,-0.20096132230872443
8,StarWarps,3,0.36872690421471743,0.28314847011608707,0.6518753743308047,-0.3687269042147176
8,StarWarps,4,0.47591847545995053,0.3353691557820444,0.8112876312419949,-0.4759184754599505
8,StarWarps,5,0.5333170725688151,0.36783707428767515,0.9011541468564903,-0.5333170725688152
8,StarWarps+UOT,2,0.14895005761376168,0.2444040567732405,0.39335411438700213,-0.14895005761376162
8,StarWarps+UOT,3,0.2529237736341046,0.39895160069669994,0.6518753743308047,-0.25292377363410473
8,StarWarps+UOT,4,0.2877797323629427,0.5235078988790521,0.8112876312419949,-0.28777973236294274
8,StarWarps+UOT,5,0.27253384263012204,0.6286203042263684,0.9011541468564903,-0.2725338426301219
12,static,2,0.25559892203528667,0.1377551923517155,0.39335411438700213,-0.25559892203528667
12,static,3,0.45726690071505777,0.19460847361574682,0.6518753743308047,-0.4572669007150578
12,static,4,0.5866895410274008,0.22459809021459406,0.8112876312419949,-0.5866895410274008
12,static,5,0.6655994646161194,0.23555468224037104,0.9011541468564903,-0.6655994646161193
12,static+UOT,2,0.20305436499242008,0.1902997493945821,0.39335411438700213,-0.20305436499242002
12,static+UOT,3,0.3224494904517634,0.32942588387904115,0.6518753743308047,-0.3224494904517635
12,static+UOT,4,0.35242266829423113,0.4588649629477637,0.8112876312419949,-0.3524226682942312
12,static+UOT,5,0.3274755300602764,0.573678616796214,0.9011541468564903,-0.3274755300602763
