sweep_index,warm_start_l1_weight,warm_start_tv_weight,warm_start_initialization,warm_start_initial_image,warm_start_initial_scale_mode,output_dir,warm_start_mean_frame_nrmse,warm_start_mean_ssim,warm_start_stge,warm_start_stge_temporal,warm_start_fourier_reduced_chi2,warm_start_fourier_chi2,warm_start_final_objective,warm_start_final_data,warm_start_final_l1,warm_start_final_tv
0,0.0,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1tv_template_sweep_5frame/l1_0_tv_0,1.006756123972756,0.46699113311071044,1.1487959178701923,1.0616028039071679,1.8049035963447636e-11,8.59639484867084e-07,8.59639484867084e-08,8.59639484867084e-08,0.0,0.0
1,0.0,1e-08,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1tv_template_sweep_5frame/l1_0_tv_1e-08,1.4350398767345272,0.4078264014330998,1.147138325679207,1.042578558163321,1.2494329526147808e-10,5.950799266713678e-06,5.979673649383615e-07,5.950799266713678e-07,0.0,2.887438266993728e-09
2,0.0,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1tv_template_sweep_5frame/l1_0_tv_1e-07,1.4528953434916327,0.40677146685874155,1.1316689812902385,1.0437122251830844,1.253259752211847e-10,5.9690255478345845e-06,6.243814970628973e-07,5.969025547834585e-07,0.0,2.747894227943875e-08
3,1e-08,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1tv_template_sweep_5frame/l1_1e-08_tv_0,1.0056543665341429,0.46830673771722264,1.1485466206920565,1.061311576940834,1.7975139101296755e-11,8.561199251165618e-07,1.1115274832547711e-07,8.561199251165618e-08,2.5540755813820942e-08,0.0
4,1e-08,1e-08,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1tv_template_sweep_5frame/l1_1e-08_tv_1e-08,1.4336775668585289,0.4090820453331034,1.1472493369764318,1.0426058559431601,1.250180756242636e-10,5.954360905832427e-06,6.238868322178776e-07,5.954360905832426e-07,2.5566420248267028e-08,2.8843213863678342e-09
5,1e-08,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1tv_template_sweep_5frame/l1_1e-08_tv_1e-07,1.451519248288801,0.40803935256821944,1.1317749587691381,1.043743352999924,1.254043499595447e-10,5.972758379873195e-06,6.502620861744674e-07,5.972758379873195e-07,2.5537389635562672e-08,2.74488585515853e-08
6,1e-07,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1tv_template_sweep_5frame/l1_1e-07_tv_0,0.9961900494793939,0.480140775779069,1.146145406852922,1.0585518344520204,1.8110600962944225e-11,8.625717026631075e-07,3.3371580811834865e-07,8.625717026631076e-08,2.474586378520379e-07,0.0
7,1e-07,1e-08,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1tv_template_sweep_5frame/l1_1e-07_tv_1e-08,1.4214708561685572,0.42019647729910564,1.148229245301169,1.0428363062427142,1.26105199802057e-10,6.006138456172371e-06,8.536155710213819e-07,6.006138456172371e-07,2.501456350456577e-07,2.8560903584871013e-09
8,1e-07,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1tv_template_sweep_5frame/l1_1e-07_tv_1e-07,1.4391908835802985,0.4192761210018777,1.132720087077288,1.0440180059364959,1.2652481902601598e-10,6.026124080571089e-06,8.796367476730715e-07,6.026124080571089e-07,2.4984794414670905e-07,2.7176395469253435e-08
