frame_index,ground_truth_file,reconstruction_file,height_pixels,width_pixels,alignment_shift_dy_pixels,alignment_shift_dx_pixels,alignment_ncc,ground_truth_uv_file,reconstruction_uv_file,ground_truth_uv_samples,reconstruction_uv_samples,matched_uv_samples,uv_match_mode,nrmse,ssim,frc_source,frc_auc,frc_cutoff_frequency,fourier_chi2_source,fourier_chi2_sigma_source,fourier_chi2,radial_profile_error,azimuthal_profile_error,azimuthal_annulus_inner_pixels,azimuthal_annulus_outer_pixels,azimuthal_annulus_peak_radius_pixels,azimuthal_roll_bins
0,frame_000.png,frame_34_00.png,64,64,0,0,,,,0,0,0,none,0.27645941046312233,0.8718666964697779,image,0.26368576828697693,0.515625,image,none,0.0899886504881092,0.1723476229577386,0.2431613627583019,5.62890625,9.62890625,7.62890625,0
1,frame_001.png,frame_34_01.png,64,64,0,0,,,,0,0,0,none,0.3632023327522748,0.8487688622135197,image,0.1969301714188737,0.640625,image,none,0.14801552857406533,0.1823495790568067,0.30630002249748206,5.62890625,9.62890625,7.62890625,0
2,frame_002.png,frame_34_02.png,64,64,0,0,,,,0,0,0,none,0.34935016171630756,0.8674263963713503,image,0.1367518024033548,0.328125,image,none,0.13569152916482655,0.22541738377111728,0.30150818478356056,7.5673828125,12.6123046875,10.08984375,0
3,frame_003.png,frame_34_03.png,64,64,0,0,,,,0,0,0,none,0.3729422715770676,0.8172508232672949,image,0.3484020988199294,0.953125,image,none,0.15155230361150132,0.24883783239475793,0.33409369486747514,7.1982421875,11.9970703125,9.59765625,0
4,frame_004.png,frame_34_04.png,64,64,0,0,,,,0,0,0,none,0.3419176021111622,0.7371240772360051,image,0.29474870147546955,0.703125,image,none,0.12498750079390135,0.21970556516006945,0.1869298759073575,6.8291015625,11.3818359375,9.10546875,0
5,frame_005.png,frame_34_05.png,64,64,0,0,,,,0,0,0,none,0.31805909237443175,0.8367723962402102,image,0.27660407642188056,0.859375,image,none,0.12439203393839766,0.12406355621335884,0.20146704267821383,6.4599609375,10.7666015625,8.61328125,0
6,frame_006.png,frame_34_06.png,64,64,0,0,,,,0,0,0,none,0.5728053306769164,0.7129668161616698,image,0.364429032244077,0.703125,image,none,0.32640872525375036,0.5134859830608846,0.5792724194423583,7.1982421875,11.9970703125,9.59765625,0
7,frame_007.png,frame_34_07.png,64,64,0,0,,,,0,0,0,none,0.626150768062913,0.8186495355945549,image,0.3339426210321081,0.671875,image,none,0.41270577890121124,0.5554118951123924,0.4867562933556278,4.64453125,8.64453125,6.64453125,0
8,frame_008.png,frame_34_08.png,64,64,0,0,,,,0,0,0,none,0.3446980378262078,0.859601790856483,image,0.4254587294057337,0.734375,image,none,0.13689349126165185,0.21236547464275288,0.246474840945889,5.13671875,9.13671875,7.13671875,0
9,frame_009.png,frame_34_09.png,64,64,0,0,,,,0,0,0,none,0.5515694773330573,0.8483254127176723,image,0.33346517914651336,0.703125,image,none,0.3315356460744145,0.4245938554118495,0.4441302144829417,5.62890625,9.62890625,7.62890625,0
10,frame_010.png,frame_34_10.png,64,64,0,0,,,,0,0,0,none,0.34035116841368956,0.8438989044352135,image,0.3916552782360913,0.703125,image,none,0.1324818001181203,0.2418660688223529,0.23221179885430362,7.5673828125,12.6123046875,10.08984375,0
11,frame_011.png,frame_34_11.png,64,64,0,0,,,,0,0,0,none,0.3798960005719241,0.8167392042767525,image,0.2307945067179366,0.703125,image,none,0.16738314318020278,0.15977943768512362,0.28363183332382724,5.62890625,9.62890625,7.62890625,0
12,frame_012.png,frame_34_12.png,64,64,0,0,,,,0,0,0,none,0.22547776495987767,0.884884870128886,image,0.38732354956101234,0.859375,image,none,0.05940784916085953,0.1041273877879869,0.13961592053131403,7.1982421875,11.9970703125,9.59765625,0
13,frame_013.png,frame_34_13.png,64,64,0,0,,,,0,0,0,none,0.23819296900900458,0.8983085421867536,image,0.22476292825823962,0.859375,image,none,0.06493842208201048,0.18584980637367418,0.1933579580546856,5.62890625,9.62890625,7.62890625,0
14,frame_014.png,frame_34_14.png,64,64,0,0,,,,0,0,0,none,0.38083535781078076,0.8251428936238417,image,0.12487748889080344,0.859375,image,none,0.16539916403349497,0.2673391485722106,0.3617991474456573,5.62890625,9.62890625,7.62890625,0
