candidate,frame_index,frame_name,nrmse,ssim,fourier_chi2,frc_auc,frc_cutoff,frc_valid_bins,frc_sample_count_total,radial_profile_error,azimuthal_annulus_peak_radius,azimuthal_inner_radius,azimuthal_outer_radius,azimuthal_profile_error,azimuthal_best_roll
background_video,0,frame_00.npz,1.1081226105734188,0.5673754041337801,1.448837389597182,0.029388646259074332,0.7578125,64,12851,0.9985042978152274,15.37890625,11.5341796875,19.2236328125,0.9979733369609936,0
background_video,1,frame_01.npz,1.1305722301372143,0.6110550026409266,1.4832365539929537,0.015046993903169574,0.6953125,64,12851,0.9985182460993498,15.37890625,11.5341796875,19.2236328125,0.9980423225558955,0
background_video,2,frame_02.npz,1.1729974948015218,0.6240092919176607,1.5898501894338861,-0.015211229768997074,0.7578125,64,12851,0.9986135379702967,18.35546875,13.7666015625,22.9443359375,0.9990838412758328,0
background_video,3,frame_03.npz,1.1997597134031277,0.608167722444906,1.6763796863325204,0.040621803799092485,0.7578125,64,12851,0.9986691595809751,18.35546875,13.7666015625,22.9443359375,0.9992050648923562,0
background_video,4,frame_04.npz,1.2335247684858235,0.584296067636398,1.8149122901539338,0.024127132427374236,0.7578125,64,12851,0.9986696446158058,18.35546875,13.7666015625,22.9443359375,0.9991635065319295,0
background_video,5,frame_05.npz,1.2835117985053983,0.4973707038723197,2.0449890049329955,0.03632909125594259,0.8671875,64,12851,0.9985490498177595,17.36328125,13.0224609375,21.7041015625,0.9987410274648783,0
background_video,6,frame_06.npz,1.117470579053982,0.6032358258484505,1.536572736287007,0.07913650438971702,0.7578125,64,12851,0.9985166712630732,18.35546875,13.7666015625,22.9443359375,0.9986358642502955,0
background_video,7,frame_07.npz,0.9743414792019307,0.6587561643878835,1.1490773597106723,0.0846566484479371,0.7265625,64,12851,0.9985763140092121,13.39453125,10.0458984375,16.7431640625,0.998046549838829,0
background_video,8,frame_08.npz,0.9578486893064063,0.6322135907526717,1.1044000210611042,0.09043506646900744,0.7265625,64,12851,0.9986645715909342,13.39453125,10.0458984375,16.7431640625,0.9980080591283992,0
background_video,9,frame_09.npz,0.9287569555198547,0.6482978710999118,1.0281727484224021,0.0693028515324735,0.7265625,64,12851,0.9986405551660987,14.38671875,10.7900390625,17.9833984375,0.9983322667395614,0
background_video,10,frame_10.npz,1.1286010750330577,0.5177319411690561,1.5704195380039783,0.08852781528329165,0.7109375,64,12851,0.9985452343287033,20.33984375,15.2548828125,25.4248046875,0.9988147067921264,0
background_video,11,frame_11.npz,1.0353592451546318,0.5931985755693884,1.2850656558564073,0.04121100111784916,0.6953125,64,12851,0.998599286441142,17.36328125,13.0224609375,21.7041015625,0.9984866146891304,0
background_video,12,frame_12.npz,0.9740322911447278,0.6014388875648639,1.1091113186406378,0.09793547321304381,0.8359375,64,12851,0.9986729633226085,15.37890625,11.5341796875,19.2236328125,0.9982091324774476,0
background_video,13,frame_13.npz,1.0759415767192309,0.5796934308590603,1.3682936703594522,0.09944127585872196,0.6484375,64,12851,0.9985496021766952,15.37890625,11.5341796875,19.2236328125,0.9980046772626268,0
background_video,14,frame_14.npz,1.1081226105734188,0.5673754041337801,1.448837389597182,0.029388646259074332,0.7578125,64,12851,0.9985042978152274,15.37890625,11.5341796875,19.2236328125,0.9979733369609936,0
static,0,frame_00.npz,1.2615268814860343,0.5530775420365094,1.8777468000538802,-0.007045285443952161,0.3984375,64,12851,0.9985020686845864,15.37890625,11.5341796875,19.2236328125,0.9978963533314327,0
static,1,frame_01.npz,1.3162963253256965,0.5881224613565814,2.0105789443962574,-0.013537783632628319,0.4609375,64,12851,0.9984964074524575,15.37890625,11.5341796875,19.2236328125,0.9977233621431579,0
static,2,frame_02.npz,1.3810392860201233,0.6035181847741057,2.2038097483492836,-0.07247317524926865,0.4453125,64,12851,0.9985949194562566,18.35546875,13.7666015625,22.9443359375,0.9989104465273243,0
static,3,frame_03.npz,1.3736499883693514,0.5818366032529618,2.197536077750463,-0.01631141640675837,0.5078125,64,12851,0.9986741126898458,18.35546875,13.7666015625,22.9443359375,0.9991313898234673,0
static,4,frame_04.npz,1.2716773852714836,0.5740481781553048,1.9289181041537824,-0.03423791842603341,0.7578125,64,12851,0.9986922531405887,18.35546875,13.7666015625,22.9443359375,0.9991121699123741,0
static,5,frame_05.npz,1.1512543226145688,0.49320359306926786,1.6452571793717403,-0.010596803014267336,0.8046875,64,12851,0.9985756995331189,17.36328125,13.0224609375,21.7041015625,0.9986926703631389,0
static,6,frame_06.npz,1.0025408991485374,0.58148780812716,1.2367591308958872,0.06314479700291452,0.9453125,64,12851,0.9985388869561292,18.35546875,13.7666015625,22.9443359375,0.9986644839794192,0
static,7,frame_07.npz,0.9888172339156385,0.6380645778225342,1.1834745930261552,0.05322216988299876,0.7265625,64,12851,0.9986171226675719,13.39453125,10.0458984375,16.7431640625,0.998171291804467,0
static,8,frame_08.npz,1.0258935508291571,0.608843638427955,1.266884979314596,0.06308096197539821,0.8828125,64,12851,0.9986761439868518,13.39453125,10.0458984375,16.7431640625,0.9980193821440488,0
