frame_index,ground_truth_file,reconstruction_file,height_pixels,width_pixels,alignment_shift_dy_pixels,alignment_shift_dx_pixels,alignment_ncc,ground_truth_uv_file,reconstruction_uv_file,ground_truth_uv_samples,reconstruction_uv_samples,matched_uv_samples,uv_match_mode,nrmse,ssim,frc_source,frc_auc,frc_cutoff_frequency,fourier_chi2_source,fourier_chi2_sigma_source,fourier_chi2,radial_profile_error,azimuthal_profile_error,azimuthal_annulus_inner_pixels,azimuthal_annulus_outer_pixels,azimuthal_annulus_peak_radius_pixels,azimuthal_roll_bins
0,frame_000.png,frame_8_32_00.png,32,32,0,0,,,,0,0,0,none,0.2787860098507092,0.8327874336847007,image,0.6580706959458363,0.96875,image,none,0.09193015419968739,0.16074998845555105,0.23675860054647246,1.75390625,5.75390625,3.75390625,0
1,frame_001.png,frame_8_32_01.png,32,32,0,0,,,,0,0,0,none,0.30052899048465126,0.8808698933963944,image,0.6378055439052275,0.96875,image,none,0.10441038514825679,0.14013009798292006,0.16394139282608425,3.20703125,7.20703125,5.20703125,0
2,frame_002.png,frame_8_32_02.png,32,32,0,0,,,,0,0,0,none,0.36175212977650845,0.8270547964573964,image,0.6598747294575557,0.96875,image,none,0.14043529697318544,0.239104003234431,0.284683254649005,2.96484375,6.96484375,4.96484375,0
3,frame_003.png,frame_8_32_03.png,32,32,0,0,,,,0,0,0,none,0.37243046665257684,0.8072722862050253,image,0.5880866850608985,0.96875,image,none,0.14468842660423736,0.2834651197091141,0.3467573781892807,2.48046875,6.48046875,4.48046875,0
4,frame_004.png,frame_8_32_04.png,32,32,0,0,,,,0,0,0,none,0.43174176789148055,0.8287540043132795,image,0.43475805772417575,0.96875,image,none,0.2173262939129839,0.2241095553191091,0.3639524569278102,2.48046875,6.48046875,4.48046875,0
5,frame_005.png,frame_8_32_05.png,32,32,0,0,,,,0,0,0,none,0.4876469462737707,0.597976533536047,image,0.29382720202611884,0.96875,image,none,0.23868213157134294,0.2082007802145246,0.39971044640118203,2.48046875,6.48046875,4.48046875,0
6,frame_006.png,frame_8_32_06.png,32,32,0,0,,,,0,0,0,none,0.5580522318016521,0.7526339507170932,image,0.22828929038852946,0.96875,image,none,0.38009073645791003,0.18277383593304536,0.5238525856908381,2.48046875,6.48046875,4.48046875,0
7,frame_007.png,frame_8_32_07.png,32,32,0,0,,,,0,0,0,none,0.5193351275056405,0.8162980622211037,image,0.23109908230451953,0.96875,image,none,0.3288085487149638,0.16902459278774104,0.5212608515383635,1.75390625,5.75390625,3.75390625,0
8,frame_008.png,frame_8_32_08.png,32,32,0,0,,,,0,0,0,none,0.42123566081586555,0.823888705566974,image,0.22279308149862792,0.34375,image,none,0.2128157911464943,0.17837641232357135,0.3861663747853836,2.48046875,6.48046875,4.48046875,0
9,frame_009.png,frame_8_32_09.png,32,32,0,0,,,,0,0,0,none,0.5067827875520973,0.8162231584375846,image,0.27909442749712743,0.96875,image,none,0.30379635080926454,0.20181096793760173,0.4643364154823772,2.48046875,6.48046875,4.48046875,0
10,frame_010.png,frame_8_32_10.png,32,32,0,0,,,,0,0,0,none,0.3941522769299768,0.7780775180390194,image,0.4047466870413723,0.96875,image,none,0.1772593749931582,0.26335420181586305,0.3156304744755203,2.96484375,6.96484375,4.96484375,0
11,frame_011.png,frame_8_32_11.png,32,32,0,0,,,,0,0,0,none,0.42032296546775133,0.8519579358594634,image,0.4411236014437922,0.96875,image,none,0.20550570077061114,0.20592514719587096,0.3557651480750876,2.48046875,6.48046875,4.48046875,0
12,frame_012.png,frame_8_32_12.png,32,32,0,0,,,,0,0,0,none,0.39923160439696265,0.8654008528726159,image,0.3527925017402505,0.96875,image,none,0.18400770613274242,0.17741001058110564,0.3050523048553164,2.48046875,6.48046875,4.48046875,0
13,frame_013.png,frame_8_32_13.png,32,32,0,0,,,,0,0,0,none,0.2851809887646439,0.908698690917855,image,0.5544725144593773,0.96875,image,none,0.09592473344851943,0.15166997136547927,0.249125156133643,2.48046875,6.48046875,4.48046875,0
14,frame_014.png,frame_8_32_14.png,32,32,0,0,,,,0,0,0,none,0.31196101626308004,0.8679254477835272,image,0.6535461291767053,0.96875,image,none,0.10709822845762944,0.24199894987375,0.2756558615582664,1.75390625,5.75390625,3.75390625,0
