iter,r_norm,s_norm,eps_pri,eps_dual,data_loss,u_mean,u_max,u_min
1,1.7763973626014802,inf,0.2688646179990228,0.0128,424.6487014558172,0.3439016210645807,0.9697344253964976,0.0
2,1.7132763624066614,0.0,0.2601347946849154,0.0128,395.2210454886375,0.33134885959465415,0.9468298771589775,0.0
3,1.6524359919100136,0.0,0.251723698696336,0.0128,367.84567129034167,0.3192494034253854,0.9246965611617203,0.0
4,1.5937355217768008,0.0,0.24362014044421723,0.0128,342.38015849470753,0.30758859271024425,0.9033077760356826,0.0
5,1.537164769299546,0.0,0.2358133311618094,0.0128,318.6900502234407,0.2963492828279704,0.8826377621770612,0.0
6,1.4825826383031646,0.0,0.22829286545914368,0.0128,296.6518331001576,0.28551739273650356,0.8626616217456521,0.0
7,1.4299558020116767,0.0,0.2210487229126362,0.0128,276.1497661084002,0.27507788309266185,0.8433553517828584,0.0
8,1.3791883978826933,0.0,0.21407122626022954,0.0128,257.07686319368213,0.2650173183343146,0.824695830522358,0.0
9,1.330230775936198,0.0,0.20735104574786567,0.0128,239.33345896634145,0.25532264766821217,0.806660751100755,0.0
10,1.283053883901492,0.0,0.2008791739391807,0.0128,222.82594918828534,0.24597933214576584,0.7892285494088993,0.0
11,1.2375307561463256,0.0,0.19464693298526195,0.0128,207.46849888236386,0.23697580742173563,0.7723784014453335,0.0
12,1.19367224153012,0.0,0.18864596701693717,0.0128,193.18054898084324,0.2282997622607672,0.7560901998580717,0.0
