candidate,frame_index,frame_name,nrmse,ssim,fourier_chi2,frc_auc,frc_cutoff,frc_valid_bins,frc_sample_count_total,radial_profile_error,azimuthal_annulus_peak_radius,azimuthal_inner_radius,azimuthal_outer_radius,azimuthal_profile_error,azimuthal_best_roll
background_video,0,frame_00.npz,0.9079991978466692,0.4092345242812992,0.9727806916301076,0.08767699401167318,0.6171875,64,12851,0.9988055291506481,15.37890625,11.5341796875,19.2236328125,0.9983956529165885,0
background_video,1,frame_01.npz,0.9282090432612019,0.43011262604948725,0.9997821599567459,0.008767688770248439,0.4609375,64,12851,0.9988128112724554,15.37890625,11.5341796875,19.2236328125,0.9984693470392099,0
background_video,2,frame_02.npz,0.9558035798498771,0.4280668858172335,1.055599897466301,-0.04870167092789331,0.4609375,64,12851,0.998890828653207,18.35546875,13.7666015625,22.9443359375,0.9991788564329641,0
background_video,3,frame_03.npz,0.9885146887473774,0.41715802528734386,1.1380205232567218,-0.010333574312443042,0.4453125,64,12851,0.9989383318033426,18.35546875,13.7666015625,22.9443359375,0.9993139107796403,0
background_video,4,frame_04.npz,1.0290882364187346,0.40552295484279194,1.263179650083459,0.013547425621636931,0.4453125,64,12851,0.9989404770479589,18.35546875,13.7666015625,22.9443359375,0.9993240583157896,0
background_video,5,frame_05.npz,1.0779159043157165,0.35424498979183755,1.4423179438450895,0.01812412481890319,0.5703125,64,12851,0.9988420490067882,17.36328125,13.0224609375,21.7041015625,0.9990382855473119,0
background_video,6,frame_06.npz,0.9517566757670111,0.41907065223935375,1.1146352952523246,0.04459300128092764,0.4453125,64,12851,0.9988164657780928,18.35546875,13.7666015625,22.9443359375,0.9989312404786977,0
background_video,7,frame_07.npz,0.8269239659485887,0.4591520477992621,0.8276715791038812,0.0776632990419963,0.4609375,64,12851,0.9988681754890116,13.39453125,10.0458984375,16.7431640625,0.9984877801589319,0
background_video,8,frame_08.npz,0.8030085174959797,0.4487286338640466,0.7761986648436926,0.08534675478982216,0.4453125,64,12851,0.9989391394026479,13.39453125,10.0458984375,16.7431640625,0.9984467635197731,0
background_video,9,frame_09.npz,0.8025143741505169,0.4594545094735355,0.7676576288464724,0.08865377045521027,0.4453125,64,12851,0.9989190136754643,14.38671875,10.7900390625,17.9833984375,0.9987121620722084,0
background_video,10,frame_10.npz,0.9145279247576008,0.4027948628525975,1.0311663033671157,0.09559996721822818,0.4453125,64,12851,0.99883216277235,20.33984375,15.2548828125,25.4248046875,0.9990066906726877,0
background_video,11,frame_11.npz,0.8736470154805897,0.4415976683083069,0.9149875410537219,0.128180362565528,0.4609375,64,12851,0.9988787383298499,17.36328125,13.0224609375,21.7041015625,0.998771418046922,0
background_video,12,frame_12.npz,0.852019989143669,0.44195324913142775,0.848648787909584,0.09664581070351254,0.5703125,64,12851,0.9989365802652901,15.37890625,11.5341796875,19.2236328125,0.9985993662590926,0
background_video,13,frame_13.npz,0.9016971534789644,0.4242202694247451,0.960999884466426,0.07207196147603105,0.4453125,64,12851,0.99883820256535,15.37890625,11.5341796875,19.2236328125,0.9984357261627328,0
background_video,14,frame_14.npz,0.9079991978466692,0.4092345242812992,0.9727806916301076,0.08767699401167318,0.6171875,64,12851,0.9988055291506481,15.37890625,11.5341796875,19.2236328125,0.9983956529165885,0
static,0,frame_00.npz,0.9838134605674064,0.4089415782952507,1.1420090163387353,0.06541279976032893,0.6953125,64,12851,0.9987937410018507,15.37890625,11.5341796875,19.2236328125,0.9983237642622572,0
static,1,frame_01.npz,1.0166317682661457,0.4487138325631509,1.1993367614602075,-0.0352551595656438,0.2890625,64,12851,0.9988149945627349,15.37890625,11.5341796875,19.2236328125,0.9982553405440064,0
static,2,frame_02.npz,1.0404101519363969,0.4560962354992843,1.250751971888122,-0.0704039169690806,0.9609375,64,12851,0.9988447646420454,18.35546875,13.7666015625,22.9443359375,0.9989736663754311,0
static,3,frame_03.npz,1.0465076004096296,0.45154874518081023,1.2754652000888898,-0.04827486177171702,0.5859375,64,12851,0.9989271979114592,18.35546875,13.7666015625,22.9443359375,0.9991955214602082,0
static,4,frame_04.npz,1.0916308047578829,0.4412150249882446,1.4213841165833552,-0.025593514259926394,0.4609375,64,12851,0.9988742531990995,18.35546875,13.7666015625,22.9443359375,0.9991911883666611,0
static,5,frame_05.npz,0.9894371389385442,0.3726119009140501,1.2152556878459806,-0.024415109055907425,0.5703125,64,12851,0.9988572058737196,17.36328125,13.0224609375,21.7041015625,0.9989638740304367,0
static,6,frame_06.npz,0.8959606008269168,0.4061230948420484,0.9877766421403706,0.028020903326369057,0.6171875,64,12851,0.9989078163822088,18.35546875,13.7666015625,22.9443359375,0.9990403945777755,0
static,7,frame_07.npz,0.8573735758652126,0.4498441583091281,0.8897481091790509,0.03582586635150099,0.3046875,64,12851,0.9988908628809942,13.39453125,10.0458984375,16.7431640625,0.9985806538273211,0
static,8,frame_08.npz,0.8609514562009043,0.45535921473710356,0.8922569048950367,0.0726150199117632,0.2890625,64,12851,0.9989223406438867,13.39453125,10.0458984375,16.7431640625,0.9984019506255902,0
static,9,frame_09.npz,0.8522347505479722,0.47158512065170965,0.8657258952245972,0.08299681279836313,0.5078125,64,12851,0.9989356410412404,14.38671875,10.7900390625,17.9833984375,0.9987145549392703,0
static,10,frame_10.npz,0.9040133772211607,0.4043884398564928,1.0075914756088042,0.06680942623562683,0.6328125,64,12851,0.9988469099730984,20.33984375,15.2548828125,25.4248046875,0.9989916507109813,0
static,11,frame_11.npz,0.9392980339686665,0.4521714624394329,1.0576695757916188,0.10819341586861786,0.4453125,64,12851,0.9988409096586,17.36328125,13.0224609375,21.7041015625,0.9986014585669533,0
static,12,frame_12.npz,0.9749737899635806,0.45001027247635217,1.1112564870923547,0.04038753957595893,0.2890625,64,12851,0.9988786474330384,15.37890625,11.5341796875,19.2236328125,0.9983684617207206,0
