frame,gt_name,initialization_nrmse,initialization_ssim,post_uot_nrmse,post_uot_ssim,delta_nrmse,delta_ssim
0,frame_000.png,0.27912616776490434,0.8488508192740893,0.27909177579199723,0.8489172410876515,-3.439197290711071e-05,6.642181356220078e-05
1,frame_001.png,0.37486500947933604,0.8293785598878517,0.3748899842071854,0.8294827272285599,2.497472784934729e-05,0.00010416734070817224
2,frame_002.png,0.3553442761915956,0.8612532307801847,0.3554019967430172,0.861279539465065,5.772055142161392e-05,2.630868488029403e-05
