cg_iter,relative_residual,delta_weight,frame_index,obs_name
4,0.018633430575482494,0.0001,2,frame_14.npz
5,0.009697689563080689,0.0001,2,frame_14.npz
6,0.011126050879502471,0.0001,2,frame_14.npz
7,0.00905418236009985,0.0001,2,frame_14.npz
8,0.012960472384701856,0.0001,2,frame_14.npz
9,0.005498918525294874,0.0001,2,frame_14.npz
10,0.0022382762267420366,0.0001,2,frame_14.npz
11,0.0019043524319662343,0.0001,2,frame_14.npz
12,0.0005196729397371631,0.0001,2,frame_14.npz
13,0.0003562525525360342,0.0001,2,frame_14.npz
14,0.0003418984611504822,0.0001,2,frame_14.npz
15,0.00023580436952278297,0.0001,2,frame_14.npz
16,0.0008200691237508364,0.0001,2,frame_14.npz
17,0.00047212608265576636,0.0001,2,frame_14.npz
18,0.0008889910570807019,0.0001,2,frame_14.npz
19,0.00036296092797018226,0.0001,2,frame_14.npz
20,0.00029730523088394704,0.0001,2,frame_14.npz
21,0.0001686891119684499,0.0001,2,frame_14.npz
22,5.710792839788753e-05,0.0001,2,frame_14.npz
23,0.00022280325123596193,0.0001,2,frame_14.npz
24,3.900316522976795e-05,0.0001,2,frame_14.npz
25,0.00022549249835313395,0.0001,2,frame_14.npz
26,5.537653358772942e-05,0.0001,2,frame_14.npz
27,0.0001508066014944709,0.0001,2,frame_14.npz
28,4.879857338858049e-05,0.0001,2,frame_14.npz
29,4.480490933432669e-05,0.0001,2,frame_14.npz
30,3.438670016854182e-06,0.0001,2,frame_14.npz
31,1.134970723350367e-05,0.0001,2,frame_14.npz
32,8.518653555279633e-06,0.0001,2,frame_14.npz
33,5.312645582355016e-06,0.0001,2,frame_14.npz
34,3.100101699183174e-06,0.0001,2,frame_14.npz
35,6.743654386080587e-06,0.0001,2,frame_14.npz
36,3.905283670567254e-07,0.0001,2,frame_14.npz
37,4.366850933702934e-07,0.0001,2,frame_14.npz
38,7.730683516698823e-07,0.0001,2,frame_14.npz
39,1.458735240779945e-06,0.0001,2,frame_14.npz
40,1.5551025459984818e-06,0.0001,2,frame_14.npz
41,6.315920896858259e-07,0.0001,2,frame_14.npz
