stage,framework,prior_weight,tv_weight,wavelet_weight,converged,seconds,relative_change_from_average,mean_pairwise_frame_distance,cross_minus_own_data_loss_mean,data,prior,tv,wavelet,spatial_total
tv_prior_2em03,tv,0.002,3e-05,0.0,False,133.9072834719991,0.9685233028434563,0.0059425617814539596,1.0709846359341357e-06,0.06518732094332672,2.11534887721569,0.0006677206182028692,0.0,2.1812039187772196
wavelet_prior_2em03,wavelet,0.002,0.0,0.0002,False,136.58932088300207,0.968975978633359,0.007093786825583708,1.4340875764684569e-06,0.06397652168805562,2.1173267150201673,0.0,0.0010062437945025093,2.1823094805027257
tv_wavelet_prior_2em03,tv_wavelet,0.002,3e-05,0.0002,False,135.0871282040025,0.969066524190919,0.0062190283653723475,1.3157490296872298e-06,0.0634857585923267,2.1177224389380296,0.0006949690150912807,0.0011715879766529909,2.1830747545221008
tv_prior_1em02,tv,0.01,3e-05,0.0,True,126.53905684199708,0.880664385221775,0.004222231987924499,1.3618063925302515e-05,1.097953539885455,8.744857297102536,0.0021145185810964836,0.0,9.844925355569087
wavelet_prior_1em02,wavelet,0.01,0.0,0.0002,True,56.32207454399759,0.8810942303175928,0.00414845594274286,1.219056105022931e-05,1.0915615308814695,8.75339596731194,0.0,0.009130006837689093,9.854087505031098
tv_wavelet_prior_1em02,tv_wavelet,0.01,3e-05,0.0002,False,138.06185453600483,0.8811595350435317,0.00408235292736066,1.186376946654688e-05,1.0901417888182365,8.754693579506588,0.0022181533099269075,0.009267303283573369,9.856320824918326
tv_prior_5em02,tv,0.05,3e-05,0.0,True,47.172801824999624,0.6610404643188609,0.0020205675911277765,7.033573120862613e-05,11.079709202047583,24.635305586806517,0.005493831686865536,0.0,35.72050862054096
wavelet_prior_5em02,wavelet,0.05,0.0,0.0002,True,23.510787740000524,0.6612745004696426,0.002025237568856775,7.049152595284269e-05,11.063983364870607,24.652752545134184,0.0,0.033582532335976786,35.75031844234077
tv_wavelet_prior_5em02,tv_wavelet,0.05,3e-05,0.0002,True,49.431160154999816,0.6613145160974184,0.0020196188763691096,7.038793626090722e-05,11.060952409755098,24.655736253765436,0.0055078040643626106,0.03363559700160473,35.75583206458651
