frame_index,azimuthal_bin,theta_radians,theta_degrees,ground_truth_azimuthal_profile,reconstruction_azimuthal_profile,pixel_count,annulus_inner_pixels,annulus_outer_pixels
0,0,0.04363323129985824,2.5,,,0,1.75390625,5.75390625
0,1,0.1308996938995747,7.499999999999999,0.11794871794871796,0.08235294117647059,3,1.75390625,5.75390625
0,2,0.21816615649929116,12.499999999999998,0.0,0.03137254901960784,1,1.75390625,5.75390625
0,3,0.30543261909900765,17.5,0.1,0.08235294117647059,2,1.75390625,5.75390625
0,4,0.39269908169872414,22.5,0.13076923076923078,0.08235294117647059,1,1.75390625,5.75390625
0,5,0.4799655442984406,27.5,0.12307692307692308,0.10196078431372549,1,1.75390625,5.75390625
0,6,0.5672320068981571,32.5,0.007692307692307693,0.043137254901960784,1,1.75390625,5.75390625
0,7,0.6544984694978735,37.49999999999999,0.11538461538461539,0.10980392156862745,2,1.75390625,5.75390625
0,8,0.7417649320975901,42.5,,,0,1.75390625,5.75390625
0,9,0.8290313946973065,47.5,0.08717948717948719,0.07320261437908497,3,1.75390625,5.75390625
0,10,0.9162978572970231,52.50000000000001,0.13846153846153847,0.12352941176470589,2,1.75390625,5.75390625
0,11,1.0035643198967394,57.5,0.015384615384615385,0.0392156862745098,1,1.75390625,5.75390625
0,12,1.090830782496456,62.50000000000001,0.13076923076923078,0.14901960784313725,1,1.75390625,5.75390625
0,13,1.1780972450961724,67.5,0.13076923076923078,0.08627450980392157,1,1.75390625,5.75390625
0,14,1.2653637076958888,72.5,0.13076923076923078,0.13137254901960785,2,1.75390625,5.75390625
0,15,1.3526301702956054,77.5,0.0,0.027450980392156862,1,1.75390625,5.75390625
0,16,1.4398966328953218,82.5,0.16666666666666666,0.13856209150326795,3,1.75390625,5.75390625
0,17,1.5271630954950384,87.5,,,0,1.75390625,5.75390625
0,18,1.6144295580947547,92.5,,,0,1.75390625,5.75390625
0,19,1.7016960206944711,97.49999999999999,0.21794871794871795,0.17908496732026147,3,1.75390625,5.75390625
0,20,1.7889624832941877,102.5,0.0,0.047058823529411764,1,1.75390625,5.75390625
0,21,1.8762289458939043,107.5,0.3,0.2784313725490196,2,1.75390625,5.75390625
0,22,1.9634954084936207,112.5,0.3076923076923077,0.12549019607843137,1,1.75390625,5.75390625
0,23,2.050761871093337,117.5,0.3769230769230769,0.3411764705882353,1,1.75390625,5.75390625
0,24,2.1380283336930535,122.49999999999999,0.08461538461538462,0.09019607843137255,1,1.75390625,5.75390625
0,25,2.2252947962927703,127.50000000000001,0.36923076923076925,0.3156862745098039,2,1.75390625,5.75390625
0,26,2.3125612588924866,132.5,,,0,1.75390625,5.75390625
0,27,2.399827721492203,137.5,0.26153846153846155,0.20130718954248364,3,1.75390625,5.75390625
0,28,2.4870941840919194,142.5,0.5038461538461538,0.4372549019607843,2,1.75390625,5.75390625
0,29,2.574360646691636,147.49999999999997,0.18461538461538463,0.1450980392156863,1,1.75390625,5.75390625
0,30,2.6616271092913526,152.5,0.6153846153846154,0.5843137254901961,1,1.75390625,5.75390625
0,31,2.748893571891069,157.5,0.5076923076923077,0.29411764705882354,1,1.75390625,5.75390625
0,32,2.8361600344907854,162.5,0.6576923076923077,0.7294117647058823,2,1.75390625,5.75390625
0,33,2.9234264970905017,167.5,0.1,0.13725490196078433,1,1.75390625,5.75390625
0,34,3.0106929596902186,172.5,0.6769230769230768,0.6235294117647059,3,1.75390625,5.75390625
0,35,3.097959422289935,177.5,,,0,1.75390625,5.75390625
0,36,3.1852258848896513,182.5,,,0,1.75390625,5.75390625
0,37,3.2724923474893677,187.5,0.7589743589743589,0.7647058823529411,3,1.75390625,5.75390625
0,38,3.359758810089084,192.49999999999997,0.2153846153846154,0.14901960784313725,1,1.75390625,5.75390625
0,39,3.447025272688801,197.5,0.8807692307692307,0.9235294117647059,2,1.75390625,5.75390625
0,40,3.5342917352885173,202.5,0.7076923076923077,0.6274509803921569,1,1.75390625,5.75390625
0,41,3.6215581978882336,207.5,0.9153846153846154,0.8941176470588236,1,1.75390625,5.75390625
0,42,3.70882466048795,212.5,0.5230769230769231,0.24313725490196078,1,1.75390625,5.75390625
0,43,3.796091123087667,217.5,0.676923076923077,0.7294117647058823,2,1.75390625,5.75390625
0,44,3.883357585687383,222.5,,,0,1.75390625,5.75390625
0,45,3.9706240482870996,227.5,0.4615384615384615,0.4326797385620915,3,1.75390625,5.75390625
0,46,4.057890510886816,232.5,0.5076923076923077,0.5588235294117647,2,1.75390625,5.75390625
0,47,4.145156973486532,237.49999999999997,0.3923076923076923,0.2196078431372549,1,1.75390625,5.75390625
0,48,4.232423436086249,242.49999999999997,0.38461538461538464,0.5764705882352941,1,1.75390625,5.75390625
0,49,4.319689898685965,247.49999999999997,0.7538461538461538,0.43137254901960786,1,1.75390625,5.75390625
0,50,4.4069563612856815,252.49999999999997,0.2692307692307692,0.3823529411764706,2,1.75390625,5.75390625
0,51,4.494222823885399,257.5,0.16923076923076924,0.11372549019607843,1,1.75390625,5.75390625
0,52,4.581489286485115,262.5,0.41794871794871796,0.342483660130719,3,1.75390625,5.75390625
0,53,4.6687557490848315,267.5,,,0,1.75390625,5.75390625
0,54,4.756022211684548,272.5,,,0,1.75390625,5.75390625
0,55,4.843288674284264,277.5,0.31794871794871793,0.27843137254901956,3,1.75390625,5.75390625
0,56,4.930555136883981,282.5,0.14615384615384616,0.10196078431372549,1,1.75390625,5.75390625
0,57,5.017821599483697,287.5,0.20769230769230768,0.14313725490196078,2,1.75390625,5.75390625
0,58,5.105088062083413,292.5,0.45384615384615384,0.4196078431372549,1,1.75390625,5.75390625
0,59,5.192354524683131,297.5,0.2,0.11764705882352941,1,1.75390625,5.75390625
0,60,5.279620987282847,302.5,0.2076923076923077,0.1843137254901961,1,1.75390625,5.75390625
0,61,5.366887449882563,307.5,0.25384615384615383,0.22941176470588237,2,1.75390625,5.75390625
0,62,5.45415391248228,312.5,,,0,1.75390625,5.75390625
0,63,5.541420375081996,317.5,0.1794871794871795,0.20653594771241832,3,1.75390625,5.75390625
0,64,5.6286868376817125,322.5,0.21153846153846154,0.27058823529411763,2,1.75390625,5.75390625
0,65,5.715953300281429,327.5,0.07692307692307693,0.09019607843137255,1,1.75390625,5.75390625
0,66,5.803219762881145,332.5,0.17692307692307693,0.22745098039215686,1,1.75390625,5.75390625
0,67,5.890486225480862,337.5,0.25384615384615383,0.23921568627450981,1,1.75390625,5.75390625
0,68,5.977752688080578,342.49999999999994,0.13846153846153847,0.16666666666666669,2,1.75390625,5.75390625
0,69,6.065019150680295,347.5,0.0,0.03529411764705882,1,1.75390625,5.75390625
0,70,6.152285613280012,352.5,0.14102564102564105,0.11111111111111112,3,1.75390625,5.75390625
0,71,6.239552075879728,357.5,,,0,1.75390625,5.75390625
1,0,0.04363323129985824,2.5,0.041666666666666664,0.047058823529411764,1,3.20703125,7.20703125
1,1,0.1308996938995747,7.499999999999999,0.1011904761904762,0.10326797385620916,3,3.20703125,7.20703125
1,2,0.21816615649929116,12.499999999999998,0.047619047619047616,0.050980392156862744,1,3.20703125,7.20703125
1,3,0.30543261909900765,17.5,0.07738095238095238,0.09411764705882353,2,3.20703125,7.20703125
1,4,0.39269908169872414,22.5,0.06746031746031746,0.07450980392156863,3,3.20703125,7.20703125
1,5,0.4799655442984406,27.5,0.06547619047619048,0.09803921568627451,1,3.20703125,7.20703125
1,6,0.5672320068981571,32.5,0.047619047619047616,0.08235294117647059,1,3.20703125,7.20703125
1,7,0.6544984694978735,37.49999999999999,0.06547619047619048,0.08235294117647059,3,3.20703125,7.20703125
1,8,0.7417649320975901,42.5,,,0,3.20703125,7.20703125
1,9,0.8290313946973065,47.5,0.05952380952380953,0.0784313725490196,3,3.20703125,7.20703125
1,10,0.9162978572970231,52.50000000000001,0.06547619047619048,0.0758169934640523,3,3.20703125,7.20703125
1,11,1.0035643198967394,57.5,0.05952380952380952,0.047058823529411764,1,3.20703125,7.20703125
1,12,1.090830782496456,62.50000000000001,0.08333333333333333,0.10588235294117647,1,3.20703125,7.20703125
1,13,1.1780972450961724,67.5,0.07142857142857142,0.04967320261437908,3,3.20703125,7.20703125
1,14,1.2653637076958888,72.5,0.09523809523809523,0.1,2,3.20703125,7.20703125
1,15,1.3526301702956054,77.5,0.07142857142857142,0.043137254901960784,1,3.20703125,7.20703125
1,16,1.4398966328953218,82.5,0.0992063492063492,0.10457516339869281,3,3.20703125,7.20703125
1,17,1.5271630954950384,87.5,0.07142857142857142,0.06666666666666667,1,3.20703125,7.20703125
1,18,1.6144295580947547,92.5,0.06547619047619048,0.09803921568627451,1,3.20703125,7.20703125
1,19,1.7016960206944711,97.49999999999999,0.10714285714285714,0.13071895424836602,3,3.20703125,7.20703125
1,20,1.7889624832941877,102.5,0.07142857142857142,0.11372549019607843,1,3.20703125,7.20703125
1,21,1.8762289458939043,107.5,0.13095238095238096,0.20392156862745098,2,3.20703125,7.20703125
1,22,1.9634954084936207,112.5,0.11309523809523808,0.12418300653594772,3,3.20703125,7.20703125
1,23,2.050761871093337,117.5,0.19047619047619047,0.23137254901960785,1,3.20703125,7.20703125
1,24,2.1380283336930535,122.49999999999999,0.13095238095238096,0.14901960784313725,1,3.20703125,7.20703125
1,25,2.2252947962927703,127.50000000000001,0.16071428571428573,0.1712418300653595,3,3.20703125,7.20703125
1,26,2.3125612588924866,132.5,,,0,3.20703125,7.20703125
1,27,2.399827721492203,137.5,0.18452380952380953,0.18823529411764706,3,3.20703125,7.20703125
1,28,2.4870941840919194,142.5,0.2420634920634921,0.24836601307189543,3,3.20703125,7.20703125
1,29,2.574360646691636,147.49999999999997,0.19642857142857142,0.3411764705882353,1,3.20703125,7.20703125
1,30,2.6616271092913526,152.5,0.47023809523809523,0.42745098039215684,1,3.20703125,7.20703125
1,31,2.748893571891069,157.5,0.3115079365079365,0.3908496732026144,3,3.20703125,7.20703125
1,32,2.8361600344907854,162.5,0.5,0.5980392156862745,2,3.20703125,7.20703125
1,33,2.9234264970905017,167.5,0.4166666666666667,0.592156862745098,1,3.20703125,7.20703125
1,34,3.0106929596902186,172.5,0.5238095238095238,0.5594771241830064,3,3.20703125,7.20703125
1,35,3.097959422289935,177.5,0.5833333333333334,0.6862745098039216,1,3.20703125,7.20703125
1,36,3.1852258848896513,182.5,0.8154761904761905,0.6980392156862745,1,3.20703125,7.20703125
1,37,3.2724923474893677,187.5,0.5813492063492064,0.7346405228758169,3,3.20703125,7.20703125
1,38,3.359758810089084,192.49999999999997,0.8630952380952381,0.6235294117647059,1,3.20703125,7.20703125
1,39,3.447025272688801,197.5,0.7351190476190477,0.9352941176470588,2,3.20703125,7.20703125
1,40,3.5342917352885173,202.5,0.7301587301587302,0.6026143790849673,3,3.20703125,7.20703125
1,41,3.6215581978882336,207.5,0.8154761904761905,0.9333333333333333,1,3.20703125,7.20703125
1,42,3.70882466048795,212.5,0.5119047619047619,0.4392156862745098,1,3.20703125,7.20703125
1,43,3.796091123087667,217.5,0.4861111111111111,0.5856209150326798,3,3.20703125,7.20703125
1,44,3.883357585687383,222.5,,,0,3.20703125,7.20703125
1,45,3.9706240482870996,227.5,0.5297619047619048,0.5803921568627451,3,3.20703125,7.20703125
1,46,4.057890510886816,232.5,0.3829365079365079,0.4470588235294118,3,3.20703125,7.20703125
1,47,4.145156973486532,237.49999999999997,0.16071428571428573,0.13333333333333333,1,3.20703125,7.20703125
1,48,4.232423436086249,242.49999999999997,0.6011904761904762,0.6274509803921569,1,3.20703125,7.20703125
