frame,gt_name,initialization_nrmse,initialization_ssim,post_uot_nrmse,post_uot_ssim,delta_nrmse,delta_ssim,initialization_stge_spatial,post_uot_stge_spatial,delta_stge_spatial_frame
0,frame_000.png,0.27912616776490434,0.848850819274088,0.2784178690972045,0.8502687391051488,-0.000708298667699836,0.0014179198310607655,0.9022913268321432,0.9014272274244115,-0.0008640994077316888
1,frame_001.png,0.37486500947933604,0.8293785598878473,0.3755201728177966,0.8311083033281625,0.0006551633384605515,0.00172974344031529,0.9550700379270339,0.9550660504695512,-3.987457482756973e-06
2,frame_002.png,0.3553442761915956,0.8612532307801788,0.35720082660747593,0.8618972787207821,0.0018565504158803425,0.0006440479406033539,0.8925788896983577,0.8925472796282957,-3.1610070062026985e-05
3,frame_003.png,0.4189439082385298,0.8076086681811456,0.4198522811977832,0.8086352847153263,0.0009083729592533896,0.0010266165341806799,0.8643456995274724,0.8641149376933243,-0.0002307618341481632
4,frame_004.png,0.3783161227269273,0.7067407566393764,0.3808645057898308,0.7120276283422037,0.002548383062903503,0.005286871702827267,0.8629013609603293,0.8631183837224156,0.0002170227620862386
5,frame_005.png,0.32546664283442084,0.8110400760838783,0.3257308205118865,0.8131026134194244,0.0002641776774656712,0.0020625373355460663,0.8971236894381427,0.8967868712914654,-0.0003368181466772979
6,frame_006.png,0.9500541422951849,0.6516502414230922,0.9518737185766202,0.6543251425651359,0.0018195762814352534,0.0026749011420436064,0.9878144237149874,0.9875262658384781,-0.00028815787650926517
7,frame_007.png,1.0491557375325105,0.780786159987501,1.0510321145255705,0.7805616460365733,0.0018763769930600915,-0.0002245139509277072,1.0363046224204382,1.0354186704437565,-0.0008859519766817314
8,frame_008.png,0.6564718541850246,0.8095907830134318,0.6553539432306569,0.8112027474179244,-0.0011179109543677512,0.0016119644044926273,0.9574183478639118,0.9572481954559094,-0.0001701524080023331
9,frame_009.png,0.6678220397945915,0.8344146520469345,0.6689293225987418,0.8353294295242827,0.0011072828041502891,0.0009147774773481387,0.987485819890065,0.9868832770632918,-0.0006025428267731892
10,frame_010.png,0.31197051531542763,0.8409675952866307,0.31165488012991005,0.8418035232054912,-0.0003156351855175821,0.0008359279188605573,0.9218935308186507,0.9215537175596684,-0.0003398132589822467
11,frame_011.png,0.3846101675400738,0.8017602867908447,0.38449420788875105,0.8042670886362177,-0.0001159596513227723,0.0025068018453729968,0.9712272363354756,0.9707228759230836,-0.0005043604123919909
12,frame_012.png,0.23055797304592923,0.8626376386932475,0.23023025311452633,0.8646336917968477,-0.00032771993140290334,0.0019960531036001816,0.7730697340655155,0.7727033294145299,-0.0003664046509855856
13,frame_013.png,0.23865506226244732,0.8820706566934858,0.2385958602976234,0.8828937094161272,-5.9201964823923925e-05,0.000823052722641382,0.8480420734585662,0.8478029404717389,-0.00023913298682731732
14,frame_014.png,0.3846843553697987,0.8039538753449517,0.38464064509603274,0.8056897425523303,-4.3710273765984464e-05,0.0017358672073786163,0.9938698224909673,0.9934092339513488,-0.00046058853961850055
