frame,name,dirty_nrmse,recon_nrmse,recon_minus_dirty_nrmse,dirty_ssim,recon_ssim
0,frame_000.png,0.4602863455012611,0.07725450943699225,-0.3830318360642688,0.03726193047737707,0.529097843520864
1,frame_001.png,0.44854868253707614,0.08565884092770974,-0.3628898416093664,0.025863846715086663,0.5721932399153233
2,frame_002.png,0.4373017606384807,0.10059971878753429,-0.33670204185094643,0.01725423349461007,0.5932759247145986
3,frame_003.png,0.43596954074091526,0.11193176217595568,-0.3240377785649596,0.013976007901188008,0.5663751670518943
4,frame_004.png,0.4679571998904168,0.12191444698964522,-0.3460427529007716,0.017742586150882134,0.5323645806166809
5,frame_005.png,0.5162321574844396,0.141784014668662,-0.37444814281577765,0.03696024441768565,0.4522236458338902
6,frame_006.png,0.5678479752901956,0.10974705714266558,-0.45810091814753,0.037158935888669385,0.5556667078267259
7,frame_007.png,0.5387913815539361,0.1048901054107403,-0.43390127614319585,0.038922380696650466,0.601770399557756
8,frame_008.png,0.5221672008988445,0.09362866622254856,-0.42853853467629593,0.0442578231617539,0.578051197101218
9,frame_009.png,0.5098447435624398,0.09144146634679269,-0.41840327721564713,0.041178646992032296,0.6012913839171273
10,frame_010.png,0.49438793456365415,0.08576694018258793,-0.40862099438106625,0.044459837073111345,0.5027411096924222
11,frame_011.png,0.5211960364519311,0.08370614229072743,-0.4374898941612037,0.04195569185002976,0.5590844650186656
12,frame_012.png,0.49967694640872806,0.0736568150491961,-0.426020131359532,0.038541063030986124,0.5683500846529981
13,frame_013.png,0.4717868985507525,0.07342524606280727,-0.39836165248794525,0.03698405693515625,0.5485200732806746
14,frame_014.png,0.45722413268845963,0.07765282184678808,-0.37957131084167156,0.03560977256249837,0.5343641621391649
