iter,objective,data,prior,tv,step,relative_u_change,relative_objective_change,frame
31,11.880531697321693,3.7530487179706293,8.127482979351063,0.0,1.5768944010601325e-08,1.2646303652358229e-10,1.7021162667538792e-12,0
32,11.88053169729998,3.753048717245875,8.127482980054106,0.0,1.6557391211131392e-08,1.3577265456891697e-10,1.827562116002115e-12,0
33,11.880531697276693,3.753048716468511,8.127482980808182,0.0,1.7385260771687964e-08,1.4562840513529968e-10,1.9601848433961808e-12,0
34,11.880531697251737,3.753048715635449,8.127482981616287,0.0,1.8254523810272363e-08,1.560624278152892e-10,2.1005825221149444e-12,0
35,11.880531697225011,3.753048714743425,8.127482982481586,0.0,1.9167250000785983e-08,1.6710835056195897e-10,2.249502743631983e-12,0
36,11.880531697196421,3.753048713788983,8.127482983407438,0.0,2.0125612500825283e-08,1.788014196924183e-10,2.406496953063357e-12,0
37,11.880531697165848,3.7530487127684715,8.127482984397377,0.0,2.1131893125866547e-08,1.911786070797515e-10,2.573359369945518e-12,0
38,11.880531697133181,3.753048711678032,8.12748298545515,0.0,2.2188487782159875e-08,2.0427874328837933e-10,2.749641439394565e-12,0
39,11.880531697098295,3.7530487105135864,8.12748298658471,0.0,2.3297912171267868e-08,2.1814262652964203e-10,2.9363897894735367e-12,0
40,11.880531697061066,3.7530487092708293,8.127482987790236,0.0,2.4462807779831262e-08,2.328131561552713e-10,3.1336044201826516e-12,0
41,11.880531697021352,3.753048707945215,8.127482989076137,0.0,2.5685948168822827e-08,2.4833543849588026e-10,3.3427805144690844e-12,0
42,11.880531696979016,3.753048706531943,8.127482990447072,0.0,2.697024557726397e-08,2.647569371960076e-10,3.5634695174490318e-12,0
43,11.880531696933899,3.7530487050259462,8.127482991907952,0.0,2.831875785612717e-08,2.821275941495633e-10,3.797615166953824e-12,0
44,11.880531696885845,3.7530487034218774,8.127482993463968,0.0,2.973469574893353e-08,3.0049998002651223e-10,4.044768908099728e-12,0
45,11.88053169683468,3.7530487017140937,8.127482995120587,0.0,3.122143053638021e-08,3.199294199399323e-10,4.306575442128777e-12,0
46,11.880531696780235,3.7530486998966435,8.127482996883591,0.0,3.278250206319922e-08,3.4047417063108073e-10,4.582735732452018e-12,0
47,11.880531696722315,3.7530486979632434,8.12748299875907,0.0,3.442162716635918e-08,3.621955501540719e-10,4.875193516900988e-12,0
48,11.880531696660722,3.7530486959072697,8.127483000753452,0.0,3.614270852467714e-08,3.8515813039357123e-10,5.184397350360331e-12,0
49,11.880531696595249,3.753048693721733,8.127483002873515,0.0,3.7949843950911e-08,4.0942988981954365e-10,5.510945306009453e-12,0
50,11.880531696525672,3.753048691399264,8.127483005126408,0.0,3.9847336148456554e-08,4.350824085767249e-10,5.8563325667960225e-12,0
51,11.88053169645176,3.7530486889320884,8.127483007519672,0.0,4.183970295587938e-08,4.621910530525917e-10,6.22130672419431e-12,0
52,11.880531696373268,3.7530486863120105,8.127483010061258,0.0,4.393168810367335e-08,4.908351808887622e-10,6.606764887973377e-12,0
53,11.880531696289937,3.7530486835303876,8.12748301275955,0.0,4.6128272508857024e-08,5.210983471569449e-10,7.014052722786492e-12,0
54,11.880531696201494,3.7530486805781083,8.127483015623385,0.0,4.8434686134299875e-08,5.530685278708789e-10,7.444366374992349e-12,0
55,11.880531696107647,3.753048677445566,8.127483018662081,0.0,5.0856420441014874e-08,5.868383521167575e-10,7.899201027539187e-12,0
56,11.8805316960081,3.753048674122633,8.127483021885467,0.0,5.339924146306562e-08,6.225053496724496e-10,8.379005235312465e-12,0
57,11.880531695902528,3.7530486705986346,8.127483025303894,0.0,5.6069203536218905e-08,6.601722009337744e-10,8.88617129102896e-12,0
1,18.79233997445166,1.0870298553709467e-05,18.792329104153108,0.0,10.0,0.999999999999965,0.7939778985768614,1
2,18.00917490924351,13.322273558073395,4.686901351170113,0.0,10.0,13724882697383.914,0.04167469651319792,1
3,14.572245798102768,0.47633333215906104,14.095912465943707,0.0,10.0,0.7548275908482988,0.19084323010136842,1
4,14.470394358688964,9.231087854053325,5.239306504635639,0.0,10.0,1.8419538377362084,0.006989412670149879,1
5,13.686475148431532,0.8295686671549232,12.856906481276608,0.0,10.0,0.6342061315249063,0.054174004579679046,1
6,12.657802377148123,2.799574925101534,9.85822745204659,0.0,5.0,0.4991492274381593,0.07515980266118552,1
7,12.158898689717757,3.161728056675862,8.997170633041895,0.0,5.25,0.2098112728863576,0.03941471612252584,1
8,11.958860192914287,3.624506051241656,8.33435414167263,0.0,5.5125,0.1578438888722854,0.016452024308140488,1
9,11.895770205663908,3.7630451917023438,8.132725013961563,0.0,5.788125000000001,0.10053768885946136,0.0052755853177173994,1
10,11.884513218797876,3.7518523613832713,8.132660857414605,0.0,6.077531250000001,0.058840608586239206,0.0009463016409539607,1
11,11.88451321879669,3.7518523613445667,8.132660857452123,0.0,5.94314915360883e-09,7.37432208969256e-12,9.984475988822142e-14,1
12,11.884513218794513,3.7518523612736434,8.13266085752087,0.0,6.240306611289272e-09,1.3512775243773687e-11,1.8309854919623272e-13,1
13,11.884513218791469,3.7518523611744,8.132660857617068,0.0,6.552321941853736e-09,1.890830645531231e-11,2.561885006713472e-13,1
14,11.884513218787626,3.751852361049126,8.1326608577385,0.0,6.879938038946423e-09,2.3867931240845664e-11,3.232997240094901e-13,1
15,11.884513218783024,3.751852360899058,8.132660857883966,0.0,7.223934940893745e-09,2.8591961612188315e-11,3.8727211507575574e-13,1
16,11.884513218777677,3.7518523607247145,8.132660858052963,0.0,7.585131687938432e-09,3.321692948845265e-11,4.4989929231126056e-13,1
17,11.884513218771586,3.751852360526108,8.132660858245478,0.0,7.964388272335354e-09,3.783992888075589e-11,5.125264695468461e-13,1
18,11.884513218764738,3.751852360302868,8.13266085846187,0.0,8.362607685952122e-09,4.253299045826177e-11,5.761999242065045e-13,1
19,11.884513218757116,3.751852360054336,8.13266085870278,0.0,8.780738070249728e-09,4.7351867093314014e-11,6.413680609005281e-13,1
20,11.88451321874869,3.7518523597796145,8.132660858969075,0.0,9.219774973762215e-09,5.2341596157657524e-11,7.089276888494886e-13,1
21,11.884513218739425,3.7518523594776085,8.132660859261817,0.0,9.680763722450327e-09,5.754006178189132e-11,7.796261490705363e-13,1
22,11.884513218729289,3.7518523591470485,8.13266085958224,0.0,1.0164801908572844e-08,6.298041721980093e-11,8.528655687499902e-13,1
23,11.88451321871823,3.7518523587865062,8.132660859931724,0.0,1.0673042004001487e-08,6.869270790212105e-11,9.305890345324163e-13,1
24,11.8845132187062,3.7518523583944074,8.132660860311793,0.0,1.1206694104201562e-08,7.470501587405915e-11,1.012198673604142e-12,1
25,11.884513218693156,3.7518523579690375,8.132660860724119,0.0,1.176702880941164e-08,8.104426297697511e-11,1.0975450177617747e-12,1
26,11.884513218679032,3.7518523575085396,8.132660861170493,0.0,1.2355380249882223e-08,8.7736818940563e-11,1.1884216854464725e-12,1
27,11.88451321866377,3.751852357010924,8.132660861652846,0.0,1.2973149262376334e-08,9.480894525905817e-11,1.2842308038445765e-12,1
28,11.884513218647301,3.751852356474057,8.132660862173244,0.0,1.3621806725495151e-08,1.0228714686687949e-10,1.3857197139732726e-12,1
29,11.88451321862956,3.751852355895667,8.132660862733895,0.0,1.430289706176991e-08,1.1019843957135469e-10,1.4927389476291933e-12,1
30,11.884513218610476,3.751852355273335,8.13266086333714,0.0,1.5018041914858405e-08,1.1857057833695957e-10,1.6058863776261131e-12,1
