sweep_index,transport_weight,output_dir,iterations,objective,data,reference,tv,transport,initialization_mean_frame_nrmse,post_uot_mean_frame_nrmse,delta_mean_frame_nrmse,initialization_mean_ssim,post_uot_mean_ssim,delta_mean_ssim,initialization_stge,post_uot_stge,delta_stge,initialization_stge_temporal,post_uot_stge_temporal,delta_stge_temporal,initialization_fourier_reduced_chi2,post_uot_fourier_reduced_chi2,delta_fourier_reduced_chi2,initialization_fourier_chi2,post_uot_fourier_chi2,delta_fourier_chi2
0,1e-08,ot_uot_starwarps_first5_beta_sweep/transport_weight_1e-08,27,2.5628336999748717e-08,0.0,2.544795506161986e-08,0.0,1.8038193812885638e-10,0.3613190968802586,0.3626204267938015,0.0013013299135429257,0.8107664069525274,0.81203310443953,0.0012666974870025882,0.8092666959860234,0.8073005165714949,-0.0019661794145284794,0.7121802423092174,0.7076623676505306,-0.004517874658686805,3.4144271867695845e-10,3.4123814818084577e-10,-2.045704961126858e-13,1.6262233805146177e-05,1.6252490521557322e-05,-9.743283588855271e-09
1,1e-07,ot_uot_starwarps_first5_beta_sweep/transport_weight_1e-07,27,2.6656696107723285e-08,0.0,2.5458467918935184e-08,0.0,1.1982281887880999e-09,0.3613190968802586,0.36261910927259156,0.001300012392332961,0.8107664069525274,0.8120449948769123,0.0012785879243848441,0.8092666959860234,0.807296230348302,-0.001970465637721408,0.7121802423092174,0.7076574850171652,-0.004522757292052204,3.4144271867695845e-10,3.4123830149191203e-10,-2.044171850464232e-13,1.6262233805146177e-05,1.6252497823456787e-05,-9.735981689390017e-09
2,1e-06,ot_uot_starwarps_first5_beta_sweep/transport_weight_1e-06,27,3.0076042482423146e-08,0.0,2.550799439110223e-08,0.0,4.568048091320913e-09,0.3613190968802586,0.3626140617415981,0.0012949648613395093,0.8107664069525274,0.8120740632782424,0.0013076563257149454,0.8092666959860234,0.8072777612876122,-0.0019889346984112155,0.7121802423092174,0.7076351592748661,-0.004545083034351305,3.4144271867695845e-10,3.4123829137452906e-10,-2.0442730242939374e-13,1.6262233805146177e-05,1.625249734158607e-05,-9.736463560108068e-09
3,1e-05,ot_uot_starwarps_first5_beta_sweep/transport_weight_1e-05,27,3.2457285461145375e-08,0.0,2.5688991054411606e-08,0.0,6.76829440673377e-09,0.3613190968802586,0.36261073912205044,0.001291642241791846,0.8107664069525274,0.8120833762874134,0.001316969334886009,0.8092666959860234,0.807245086739771,-0.002021609246252387,0.7121802423092174,0.707596700407941,-0.004583541901276411,3.4144271867695845e-10,3.4123795075098763e-10,-2.04767925970821e-13,1.6262233805146177e-05,1.625248111836804e-05,-9.75268677813867e-09
4,0.0001,ot_uot_starwarps_first5_beta_sweep/transport_weight_1e-04,27,4.067374316137713e-08,0.0,2.5942684387557693e-08,0.0,1.473105877381944e-08,0.3613190968802586,0.3626110088456408,0.0012919119653821975,0.8107664069525274,0.8120833110060774,0.0013169040535500054,0.8092666959860234,0.8072231053311902,-0.0020435906548331717,0.7121802423092174,0.7075707726214465,-0.004609469687770873,3.4144271867695845e-10,3.4123746572941974e-10,-2.0525294753871747e-13,1.6262233805146177e-05,1.6252458017760803e-05,-9.77578738537441e-09
5,0.001,ot_uot_starwarps_first5_beta_sweep/transport_weight_1e-03,27,1.2279131296290771e-07,0.0,2.6606110247082355e-08,0.0,9.618520271582535e-08,0.3613190968802586,0.36262144261427964,0.0013023457340210487,0.8107664069525274,0.8121075324646577,0.0013411255121302812,0.8092666959860234,0.8071939175838012,-0.0020727784022221973,0.7121802423092174,0.7075075260806712,-0.004672716228546148,3.4144271867695845e-10,3.4123402845757625e-10,-2.086902193822038e-13,1.6262233805146177e-05,1.6252294307377442e-05,-9.939497768735045e-09
