stage,delta_weight,seconds,mean_delta_norm_over_prior_norm,mean_pairwise_u_distance,mean_pairwise_delta_distance,prior_data_loss_mean,own_data_loss_mean,cross_data_loss_mean,cross_minus_own_data_loss_mean,cross_over_own_data_loss_ratio,relative_change_from_prior
prior_only,,0.0,0.0,0.0,0.0,53.457576674447644,53.457576674447644,53.457576674447644,0.0,1.0,
delta_weight_1em04,0.0001,8.871087535997503,0.7584031156171761,0.06996182694591142,0.06476169077893101,53.457576674447644,9.380734930650393,9.396794005503438,0.01605907485304492,1.00171192075789,0.6196070731551523
delta_weight_1em03,0.001,5.894756569003221,0.695929672034295,0.054884468937665166,0.06564087252376019,53.457576674447644,10.564808976279409,10.583038800207353,0.018229823927944366,1.0017255232884827,0.5531189731220016
delta_weight_1em02,0.01,4.116333731995837,0.5844158827041555,0.022309895989861328,0.04781095532205377,53.457576674447644,14.446349328759986,14.460676490005255,0.014327161245269338,1.0009917496052616,0.41896849252743606
delta_weight_5em02,0.05,2.5401747309952043,0.5067221991404541,0.010989051708731481,0.03451566901313253,53.457576674447644,18.503946591264548,18.51574846423375,0.0118018729692011,1.0006378030173182,0.3319543630588975
