frame_index,obs_name,gt_same_index,gt_same_name,adjoint_relerr_mean,adjoint_relerr_max,gradient_relerr_mean,gradient_relerr_max,unscaled_rel_residual,best_flux_scale,scaled_rel_residual,complex_corr,conj_unscaled_rel_residual,conj_best_flux_scale,conj_scaled_rel_residual,conj_complex_corr,conjugate_better_scaled,expected_noise_rel_1comp,expected_noise_rel_2comp,median_sigma_over_amp,mean_sigma_over_amp,best_same_frame_orientation,best_same_frame_scaled_residual,best_same_frame_corr,best_pair_gt_index,best_pair_gt_name,best_pair_orientation,best_pair_scaled_residual,best_pair_corr,verdict
0,frame_00.npz,0,frame_000.png,2.4101855252033297e-16,4.888663999462582e-16,2.7564038259016528e-08,1.470951265728927e-07,364.50657500367,0.002513459063695905,0.39546655279133147,0.9205286275841942,364.5850389601668,0.0022992557536032792,0.5422686379548904,0.8743604404600693,False,0.07619689121986155,0.10775867697379561,0.1584597251142329,0.157134703008777,flip_ud,0.36346779310624844,0.9318187950690457,7,frame_007.png,original,0.29810218286074,0.9546723292240146,"WARNING: internally correct, but GT frame pairing appears mismatched"
1,frame_01.npz,1,frame_001.png,7.88007621122829e-16,2.5906670209551122e-15,8.566537185577545e-09,2.6667176895459693e-08,285.2931632681392,0.0031404727685181363,0.4384062242211501,0.8997309874812918,285.384221757527,0.0028232478220982784,0.5891964435842785,0.8302539271054475,False,0.07373887096343792,0.10428251139057354,0.13585142851541762,0.13050287401682545,flip_ud,0.3749974025892195,0.9295948327337012,7,frame_007.png,original,0.31986062400106763,0.9478469031893059,"WARNING: internally correct, but GT frame pairing appears mismatched"
2,frame_02.npz,2,frame_002.png,6.225481808864649e-16,2.5788457035210716e-15,5.336811429084411e-09,1.109677232237965e-08,256.77672409076047,0.0032838327476314853,0.5332018069083929,0.8462522942299068,256.8530770282293,0.0029883857788397,0.6381954369463754,0.7815112942913579,False,0.07275477190322222,0.10289078515289787,0.11991459764975618,0.11298849998133394,flip_ud,0.43854919228035605,0.905286204791332,9,frame_009.png,original,0.3497860876883083,0.9394320614487705,"WARNING: internally correct, but GT frame pairing appears mismatched"
