iter,r_norm,s_norm,eps_pri,eps_dual,data_loss,u_mean,u_max,u_min
1,192.91157156991454,inf,1.2169770074188455,0.06773123356325353,107.20251640325007,0.03269895438405181,0.5068808734511893,0.0
2,23.964225520463025,1.9291157156949973e-18,0.38456469707682717,0.06773123356325353,34.5950253178003,0.017960559669978216,0.39646776469908274,0.0
3,12.104779433306275,2.39642255204119e-19,0.28227974019216295,0.06773123356325353,15.782936507282528,0.011884776161905879,0.3333652094099413,0.0
4,7.156258255558957,1.2104779433271367e-19,0.23095538920771078,0.06773123356325353,8.835877945417147,0.008831163138421297,0.2929119637905007,0.0
5,4.694410395975357,7.156258255540365e-20,0.20050689607869612,0.06773123356325353,5.594181675438945,0.007018497558639616,0.2638573940277141,0.0
6,3.2134556533728404,4.6944103959619734e-20,0.18065505892036454,0.06773123356325353,3.9031080642368536,0.0058755013206037935,0.24165413876281833,0.0
7,2.301773949172128,3.2134556533589815e-20,0.16692735037199466,0.06773123356325353,2.9416702168444293,0.005119980284426141,0.2238225015618071,0.0
8,1.735403108798686,2.30177394916566e-20,0.15688284599824967,0.06773123356325353,2.330300336241895,0.00457419757545072,0.20913394088346113,0.0
9,1.3403661088182905,1.7354031087942078e-20,0.14925398022638908,0.06773123356325353,1.918786868250573,0.004165633599872906,0.19691837163933393,0.0
10,1.0530252212326674,1.3403661088144795e-20,0.14333442085327333,0.06773123356325353,1.6312151539274482,0.0038535607621141546,0.18672975632536798,0.0
11,0.8407076392678454,1.0530252212296204e-20,0.138665734509971,0.06773123356325353,1.4233124122852012,0.0036103620692545853,0.17819828918649694,0.0
12,0.677577394257465,8.407076392655478e-21,0.13493716475382764,0.06773123356325353,1.2693267730253872,0.0034184109861996226,0.17105804571594235,0.0
13,0.5515438607835095,6.775773942549393e-21,0.1319315382608936,0.06773123356325353,1.1532355760379558,0.003265504111057577,0.16500552206654084,0.0
14,0.45465507226026536,5.5154386078222026e-21,0.12948760986381616,0.06773123356325353,1.063455984845816,0.0031415863035045262,0.15994674709040108,0.0
15,0.3780090727631972,4.5465507225908924e-21,0.12748866523136768,0.06773123356325353,0.9930748572470772,0.003040418450916948,0.15561517871793662,0.0
16,0.31645555842806034,3.780090727623177e-21,0.12584715451761425,0.06773123356325353,0.9372217289010851,0.002957243023834108,0.15195240602797935,0.0
17,0.265639254702059,3.164555584271194e-21,0.12449546590080218,0.06773123356325353,0.8926952417220627,0.002888851814864369,0.14884793316480166,0.0
18,0.22478200729146408,2.656392547013179e-21,0.1233798521902186,0.06773123356325353,0.8568457744617268,0.0028322549533573863,0.14620359839155433,0.0
19,0.1908958217706862,2.24782007290572e-21,0.12245710564774165,0.06773123356325353,0.8278796507587128,0.0027853672357663283,0.14395176807361842,0.0
20,0.16266694905349244,1.9089582176975974e-21,0.12169260868851442,0.06773123356325353,0.8044358176081372,0.002746533952771566,0.1420316310346589,0.0
21,0.13999701204539677,1.626669490528037e-21,0.12105789696621111,0.06773123356325353,0.7852856633734722,0.0027141398127044645,0.14039367006473485,0.0
22,0.12157122042885156,1.3999701204478038e-21,0.12052999563357909,0.06773123356325353,0.7695352842659448,0.002686985971092919,0.13900752653879928,0.0
23,0.10626005926053558,1.2157122042837109e-21,0.12009057468206547,0.06773123356325353,0.7565173635173822,0.002664159324692011,0.13781844391650153,0.0
24,0.0936059794618978,1.0626005925997475e-21,0.11972482180533794,0.06773123356325353,0.7457342817752596,0.0026449357254111423,0.1368159084847022,0.0
25,0.08307144113125793,9.360597946154514e-22,0.11942048758047887,0.06773123356325353,0.7367686874197257,0.0026286997222843425,0.13596260289911655,0.0
