sequence,lag,start,end,e_window,reference_e_window,absolute_gap_window,direct_mass_ratio,path_mass_ratio,path_to_direct_mass_ratio,direct_entropy_fraction,path_entropy_fraction,direct_effective_support,path_effective_support,direct_spread_rms,path_spread_rms,direct_displacement_rms,path_displacement_rms
starwarps,3,4,7,0.27632461955817433,0.7318245315331978,0.4554999119750235,0.7692395778125507,0.9107454151371734,1.18395548201903,0.9782044403285624,0.9604860683074327,58.49178937142488,54.32175904959628,0.11153200009430474,0.10840090270863455,0.15377397544542243,0.19710455990446105
starwarps,3,5,8,0.31821075061233667,0.6798824774328165,0.3616717268204798,0.7621304204880517,0.9587376404165586,1.257970571234519,0.9765782531777824,0.9633578855201026,58.0976820479605,54.959159850502346,0.11246651462194197,0.10353023280724583,0.15952826609677315,0.21029313399402882
starwarps,3,6,9,0.2673796801305897,0.6257417601344173,0.3583620800038276,0.6682511994391546,0.7119964641928442,1.0654623063758117,0.9707626828452998,0.9566495097914524,56.731074337520795,53.445378516618106,0.11110973909468862,0.10123351657434734,0.1571202934538703,0.20550047722159925
starwarps,3,7,10,0.25793538054936355,0.611743444106511,0.3538080635571475,0.7222589809420826,0.6564126396156101,0.9088327828882301,0.974360001866851,0.960916617627383,57.55609476942658,54.399552362491605,0.11244301727732246,0.10643885248066223,0.15019587621256786,0.1983508055951006
starwarps,3,8,11,0.24626530733843896,0.6284091699013973,0.3821438625629583,0.646888691691698,0.5146073693277156,0.7955114626937602,0.9688877946011271,0.9554433314111654,56.277211420708156,53.175612228839526,0.10825976931026161,0.09899879175803306,0.15145404824003852,0.19126133884324117
starwarps,3,9,12,0.2544789960318153,0.6351677637695728,0.38068876773775756,0.6074713392205445,0.4431386501560943,0.7294807533219462,0.9649801414521612,0.9552816210036768,55.37677227369089,53.139093512865486,0.10778032180135476,0.10009581885961459,0.15214197885645686,0.19114143599912636
starwarps,3,10,13,0.32633176530346913,0.6073335704584996,0.2810018051550304,0.5988320688164372,0.3707266769395383,0.6190828718847035,0.9677695789927876,0.9576011689565814,56.01557123710389,53.653941265566104,0.10855183940619696,0.10158402076794067,0.15373579770623294,0.19842734733390222
starwarps,3,11,14,0.3384876431761999,0.6050046217763635,0.2665169786001636,0.587231556845212,0.34736071689337206,0.5915225652372981,0.9692798262303497,0.9581324977000711,56.35314921847123,53.773402560935686,0.10806871459142628,0.10052787443862216,0.15457054019158384,0.19614857332315075
starwarps,4,0,4,0.4236729737410653,0.7971831149212362,0.3735101411801709,0.7445854015465441,0.43828424250375586,0.5886285731541551,0.9812685323003711,0.9754086425461962,59.2774614334227,57.77876575901145,0.11861706111295191,0.1162294865402767,0.1525426551509538,0.2228633910063364
starwarps,4,1,5,0.46682414343643297,0.8410577539854033,0.3742336105489703,0.858907884202059,0.5068740795869313,0.5901378819660348,0.9837908918353421,0.9817704746068501,59.87374155090727,59.328153234848315,0.12047842013856275,0.12992444989525537,0.14543981388823263,0.22256651414318232
starwarps,4,2,6,0.34761854291278843,0.8667462943551295,0.5191277514423411,1.0264855501732142,0.7561836986431266,0.7366725216107762,0.9822555518781111,0.9796133071255941,59.47138900542718,58.80359878270423,0.11252614021058183,0.12369025036769195,0.1390834109918127,0.1936565538822457
