sequence,lag,n_windows,G_l,G_ci_low,G_ci_high,G_ci_width,raw_E_l,raw_E_ci_low,raw_E_ci_high,reference_E_l,raw_minus_reference,direct_mass_ratio,path_mass_ratio,path_to_direct_mass_ratio,direct_entropy_fraction,path_entropy_fraction,direct_effective_support,path_effective_support,direct_support_saturation,path_support_saturation,direct_spread_rms,path_spread_rms,direct_displacement_rms,path_displacement_rms,usable,usability_reasons
starwarps,2,13,0.1950927242421144,0.16962735291281783,0.22633107584137568,0.056703722928557854,0.1982613901448877,0.18923491790530148,0.2075568953974038,0.39335411438700213,-0.19509272424211443,0.7206577659442129,0.645678967431524,0.886271156104099,0.9731727243370364,0.9642604971962776,57.31080789527737,55.20483945242791,0.8954813733637089,0.8625756164441861,0.11146184314231412,0.10910505029555503,0.15069628153223943,0.18189853931044908,True,
starwarps,3,12,0.3555630237846527,0.30928990533690975,0.40126243448072213,0.09197252914381238,0.29631235054615185,0.2706352967611403,0.32252557872218385,0.6518753743308047,-0.3555630237846528,0.7235272950430213,0.6156225818057425,0.8410948419563926,0.9741764171788474,0.963706089310425,57.54949859039035,55.077288755488155,0.8992109154748492,0.8605826368045024,0.11224377127845325,0.10820508194559421,0.15212830157384094,0.19914226685034253,True,
starwarps,4,11,0.460351401663413,0.4067214053435512,0.5097094756513152,0.10298807030776397,0.3509362295785819,0.3103554330861413,0.39949272830995375,0.8112876312419949,-0.460351401663413,0.724548441242613,0.6019109033929598,0.8297365258338837,0.9742852378248421,0.9634185782927974,57.57049069980414,55.015601658024046,0.8995389171844397,0.8596187759066257,0.1121405694514548,0.10758574109139435,0.15247791711516037,0.20788483362510604,True,
starwarps,5,10,0.5260613798401406,0.47270422632054876,0.5794185333597325,0.10671430703918372,0.3750927670163498,0.3248824448126047,0.42639579676519573,0.9011541468564903,-0.5260613798401406,0.7238641813280982,0.5925724254391214,0.8300273220689183,0.9730446698909521,0.961968799627367,57.26820208277188,54.68253179584856,0.8948156575433106,0.8544145593101338,0.11115148135447876,0.10646969340049509,0.15243311428190784,0.21124585703698343,False,reference_path_mass_collapse(0.0256<0.05);reference_path_vs_direct_mass_low(0.0645<0.1)
starwarps,6,9,0.5777741693175704,0.523092593651379,0.6274063875922695,0.10431379394089058,0.36989090980737566,0.3267562190105097,0.41946409007004076,0.947665079124946,-0.5777741693175704,0.7073042260839715,0.5782669139610499,0.8341169282225265,0.9715197378073152,0.9596014579801433,56.89999481042748,54.12817562161912,0.8890624189129294,0.8457527440877988,0.10980887752740195,0.1037104651916818,0.1535165034442056,0.2115377966774163,False,reference_path_mass_collapse(0.013<0.05);reference_path_vs_direct_mass_low(0.0326<0.1)
starwarps,7,8,0.6253634260085527,0.5892661372163895,0.6614607148007159,0.07219457758432635,0.34706350864828805,0.31521274010556677,0.37891427719100934,0.9724269346568408,-0.6253634260085528,0.6682406504363758,0.5523200438382523,0.8348806625316796,0.9701678944190435,0.9570215301754486,56.577889925547645,53.52676484334438,0.884029530086682,0.836355700677256,0.1094905273195608,0.10133749248633332,0.1554725390806347,0.21227681113658053,False,reference_path_mass_collapse(0.00666<0.05);reference_path_vs_direct_mass_low(0.0167<0.1)
starwarps,8,7,0.6530634253828138,0.6174669852338551,0.6860698516518833,0.06860286641802815,0.33280577731428534,0.3027668294819876,0.3651957491470469,0.9858692026970992,-0.6530634253828138,0.6420072650784828,0.5166787662530966,0.809022710356745,0.9691595727665332,0.9571092060924337,56.340155883667094,53.546577371223,0.8803149356822983,0.8366652714253594,0.10949907960474738,0.10079683582826593,0.1569099601762669,0.21449298459630348,False,reference_path_mass_collapse(0.00336<0.05);reference_path_vs_direct_mass_low(0.00846<0.1)
starwarps,9,6,0.6625313910963105,0.6401034235600097,0.6849593586326116,0.04485593507260188,0.33041791380478924,0.30883108228105227,0.3506507764699891,0.9929493049010998,-0.6625313910963105,0.6213061140309005,0.47003823038597764,0.7582599878100553,0.9679400413642248,0.9565660719677508,56.055170362774724,53.42522850072525,0.8758620369183551,0.834769195323832,0.10912182544538378,0.10081173219736785,0.15643145561349317,0.2147659721741523,False,reference_path_mass_collapse(0.00166<0.05);reference_path_vs_direct_mass_low(0.0042<0.1)
starwarps,10,5,0.6432355422812528,0.6145306879316939,0.6676727500849177,0.05314206215322381,0.3532536831677705,0.3290118494899506,0.38173069383960734,0.9964892254490232,-0.6432355422812527,0.6147248910249662,0.4100706164563192,0.6676687607889569,0.9671924079939516,0.9568560838694017,55.87983098825239,53.48986150067598,0.8731223591914435,0.8357790859480622,0.108419534501175,0.10088639199219547,0.15422325206455967,0.2115764738671692,False,reference_path_mass_collapse(0.000828<0.05);reference_path_vs_direct_mass_low(0.00207<0.1)
starwarps,11,4,0.6082799060109649,0.5846097661368026,0.6319500458851273,0.047340279748324665,0.3899147905569966,0.3662953349707979,0.41353424614319534,0.9981946965679617,-0.608279906010965,0.6101392480175467,0.3444773046604049,0.5639123763589488,0.9654141067151767,0.9560131570695822,55.466804015743264,53.30156223423161,0.8666688127459885,0.8328369099098689,0.10704129570699758,0.09964759892715655,0.1514316149262461,0.204144774036571,False,few_windows(4<5);reference_path_mass_collapse(0.00043<0.05);reference_path_vs_direct_mass_low(0.00104<0.1)
starwarps,12,3,0.5503865676192551,0.528495717742603,0.5880529476325149,0.05955722988991197,0.4486507060236892,0.41100517546597076,0.4705396222945127,0.9990372736429443,-0.550386567619255,0.6126176329596644,0.2821277526262911,0.4605060615432614,0.9650587382016722,0.9565848330076516,55.381732280568976,53.42816653872797,0.8653395668838902,0.8348151021676246,0.10650924844939164,0.10031966597543625,0.1488784606330996,0.19722839282221147,False,few_windows(3<5);reference_path_mass_collapse(0.00023<0.05);reference_path_vs_direct_mass_low(0.000547<0.1)
starwarps,13,2,0.4722150541927447,0.4535632735999259,0.4908668347855635,0.0373035611856376,0.5272646412149795,0.5086069949929908,0.5459222874369681,0.9994796954077241,-0.47221505419274457,0.6204742696647513,0.22571586203846603,0.36364834572468974,0.9664856139547615,0.9574654118708672,55.704913112792156,53.62347785014303,0.8703892673873774,0.8378668414084849,0.10642826797305135,0.10064588056390214,0.14702679952636716,0.19255086016765074,False,few_windows(2<5);reference_path_mass_collapse(0.000122<0.05);reference_path_vs_direct_mass_low(0.000292<0.1)
starwarps,14,1,0.41243863422762284,,,,0.5872851054001039,,,0.9997237396277268,-0.41243863422762284,0.6305482058758297,0.19000409517913355,0.30133159274510724,0.9679607011010609,0.9576477283321064,56.041768308649665,53.66413692588272,0.875652629822651,0.8385021394669175,0.10662855669560622,0.10016472839612409,0.14711347067214486,0.1904983987899,False,few_windows(1<5);reference_path_mass_collapse(6.48e-05<0.05);reference_path_vs_direct_mass_low(0.000154<0.1);G_CI_unavailable
static,2,13,0.22313697818011516,0.17367716357629245,0.2723642148471394,0.09868705127084695,0.17021713620688703,0.13453393010419873,0.20928463934939331,0.39335411438700213,-0.2231369781801151,0.7333795507062774,0.585893618807515,0.7861322336458205,0.9518956877724393,0.9469651202821243,52.60868468894762,51.49821891056188,0.8220106982648065,0.8046596704775294,0.09691241255681467,0.09590356250500368,0.13381268719103864,0.1483517272340787,True,
