block,updates,relative_iterate_change,relative_objective_change,mean_pairwise_frame_distance,cross_minus_own_data_loss_mean,data,prior,tv,wavelet,spatial_total
12,300,0.028462667475520446,0.00021428885275551592,0.005759818045287535,1.2684244332858419e-06,0.07421739308281802,2.1070691495988343,0.0007123241678920107,0.0,2.1819988668495442
13,325,0.021821632127593228,0.00012014770951905177,0.005711274486087079,1.22040214048727e-06,0.07153266810384339,2.109503665731769,0.0007003708479069001,0.0,2.181736704683519
14,350,0.017072552230585722,7.08052809301053e-05,0.005691035083923206,1.1900681714110961e-06,0.0697038665805686,2.111186629803309,0.0006917298193503637,0.0,2.1815822262032283
15,375,0.01363484807119939,4.39621813767582e-05,0.005685181967479715,1.1753600725264435e-06,0.06844536412496326,2.1123555207826414,0.0006854341821069592,0.0,2.1814863190897116
16,400,0.0111427154956222,2.8790922743481237e-05,0.0056880676645244795,1.1661215438968364e-06,0.06757138136590546,2.113171255821087,0.0006808748986402223,0.0,2.1814235120856327
17,425,0.009341760738280106,1.989929618789397e-05,0.005691380644487892,1.1582946976979036e-06,0.06695518981345448,2.113747358787462,0.0006775546921379941,0.0,2.1813801032930544
18,450,0.008013755938669587,1.447028538820092e-05,0.0056906297437868585,1.1503642629445698e-06,0.06651310663174143,2.114160333980269,0.000675097488409493,0.0,2.1813485381004196
19,475,0.007015661450858957,1.0984073701784376e-05,0.00568165211806726,1.139430060300567e-06,0.06619235844557972,2.1144589451198645,0.0006732744418634048,0.0,2.181324578007308
20,500,0.006253192721297612,8.661256876489983e-06,0.005680184169724804,1.1301901068662412e-06,0.06595687009480532,2.114676911502258,0.0006719033977432887,0.0,2.1813056849948067
21,525,0.005655546453327963,7.041672721311439e-06,0.005683483315723888,1.122032884354196e-06,0.06578191113069409,2.114837547095928,0.000670866727445645,0.0,2.181290324954068
22,550,0.0051744070968895795,5.864864137360169e-06,0.005690537867441542,1.1147267331319821e-06,0.06565074441556681,2.1149567085573198,0.000670079009781269,0.0,2.181277531982668
23,575,0.004777920324504597,4.979138298691357e-06,0.005702119120080461,1.1082479871513118e-06,0.06555086174217313,2.1150463295324435,0.0006694798255517297,0.0,2.1812666711001683
24,600,0.004442121069227349,4.288613574451601e-06,0.005717666207427988,1.1029152305400136e-06,0.06547391159134297,2.1151143809516135,0.0006690239473570084,0.0,2.181257316490313
25,625,0.004152879537421739,3.736866670231111e-06,0.005736358044041057,1.0981035992903287e-06,0.06541365784898509,2.1151668294427273,0.0006686781308354359,0.0,2.181249165422548
26,650,0.0038981218337714235,3.28395795218885e-06,0.005757649015733047,1.0939781136982962e-06,0.06536599538806523,2.1152075887810287,0.0006684181229113718,0.0,2.1812420022920054
27,675,0.003670375430508029,2.9046456157488145e-06,0.005780856704862082,1.090708314784028e-06,0.06532790560140248,2.1152395362229037,0.0006682247326803381,0.0,2.1812356665569865
28,700,0.003464447151989775,2.5823286268642177e-06,0.005805540558913258,1.0878255734154962e-06,0.0652970459138295,2.1152649074294403,0.0006680805464130687,0.0,2.181230033889683
29,725,0.003276194600920532,2.3050796250976e-06,0.005831204249804304,1.085318726397333e-06,0.06527182129608428,2.1152852124766013,0.0006679722080887336,0.0,2.181225005980774
30,750,0.0031016081173602943,2.063332878414739e-06,0.005852467328843997,1.0825270186434754e-06,0.06525113195042626,2.1153014781102195,0.0006678953268583979,0.0,2.181220505387504
31,775,0.002940639674805962,1.8516806934557325e-06,0.005869460950443595,1.0798827579754089e-06,0.06523385735990098,2.115314768621273,0.0006678404824322435,0.0,2.181216466463606
32,800,0.0027912226791809943,1.6660960295085922e-06,0.0058871101125251785,1.077363537729803e-06,0.06521926997334607,2.1153257630249858,0.000667799349179807,0.0,2.1812128323475117
33,825,0.0026518831935389755,1.5020035848338085e-06,0.005905464869851662,1.0752440733063917e-06,0.06520690668165083,2.1153348806843346,0.0006677687920328802,0.0,2.1812095561580183
34,850,0.0025218001403999025,1.3570774741441734e-06,0.005923844029414311,1.0730610833821486e-06,0.06519638414467682,2.1153424693866993,0.0006677425562870512,0.0,2.181206596087663
35,875,0.0023998097744485436,1.2274446851422406e-06,0.0059425617814539596,1.0709846359341357e-06,0.06518732094332672,2.11534887721569,0.0006677206182028692,0.0,2.1812039187772196
