label,i,j,relative_distance,stage,prior_weight
reconstruction,5,11,0.009111475426406007,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,5,12,0.010571081806066907,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,5,13,0.012014275360085532,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,5,14,0.01290894442610628,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,6,7,0.00152612994120387,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,6,8,0.00305992713676287,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,6,9,0.004586262434269571,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,6,10,0.006120201876073543,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,6,11,0.007648016801413392,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,6,12,0.009122839562344458,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,6,13,0.010581774484002961,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,6,14,0.011486208077131252,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,7,8,0.0015409200568956589,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,7,9,0.0030791379675783816,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,7,10,0.004627268565304865,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,7,11,0.006169943047465375,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,7,12,0.007659737112343382,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,7,13,0.009134229311421231,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,7,14,0.010048361734699347,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,8,9,0.0015463130125838132,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,8,10,0.00310691513699523,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,8,11,0.004663603143009915,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,8,12,0.006167940878889308,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,8,13,0.007657727952737451,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,8,14,0.008581441097133852,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,9,10,0.0015683012056665884,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,9,11,0.0031370117342459166,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,9,12,0.004655268341884695,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,9,13,0.006160021002108488,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,9,14,0.007093111756962059,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,10,11,0.0015763357921197815,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,10,12,0.0031069100397749863,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,10,13,0.004626033434547786,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,10,14,0.005568221330315136,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,11,12,0.0015385896675567572,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,11,13,0.003070353555700265,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,11,14,0.004021075481349534,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,12,13,0.0015394884228015183,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,12,14,0.002497047427057378,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,13,14,0.0009613530913573148,02_residual_signed_ot_from_spatial_init,0.05
delta,0,1,0.0005810748167494382,02_residual_signed_ot_from_spatial_init,0.05
delta,0,2,0.0015180726396259118,02_residual_signed_ot_from_spatial_init,0.05
delta,0,3,0.002438983960119443,02_residual_signed_ot_from_spatial_init,0.05
delta,0,4,0.0033747828117211263,02_residual_signed_ot_from_spatial_init,0.05
delta,0,5,0.004320161226615534,02_residual_signed_ot_from_spatial_init,0.05
delta,0,6,0.0052323034323756385,02_residual_signed_ot_from_spatial_init,0.05
delta,0,7,0.00613629885617499,02_residual_signed_ot_from_spatial_init,0.05
delta,0,8,0.0070395432906371685,02_residual_signed_ot_from_spatial_init,0.05
delta,0,9,0.007935478284197205,02_residual_signed_ot_from_spatial_init,0.05
delta,0,10,0.00883264026287089,02_residual_signed_ot_from_spatial_init,0.05
delta,0,11,0.009723747704965565,02_residual_signed_ot_from_spatial_init,0.05
delta,0,12,0.010582045574327119,02_residual_signed_ot_from_spatial_init,0.05
delta,0,13,0.011428823752592842,02_residual_signed_ot_from_spatial_init,0.05
delta,0,14,0.011953297338988686,02_residual_signed_ot_from_spatial_init,0.05
delta,1,2,0.0009396285074323341,02_residual_signed_ot_from_spatial_init,0.05
delta,1,3,0.0018646328246368356,02_residual_signed_ot_from_spatial_init,0.05
delta,1,4,0.0028055910876920993,02_residual_signed_ot_from_spatial_init,0.05
delta,1,5,0.0037569090699452598,02_residual_signed_ot_from_spatial_init,0.05
delta,1,6,0.004675126945262583,02_residual_signed_ot_from_spatial_init,0.05
delta,1,7,0.005585380733440517,02_residual_signed_ot_from_spatial_init,0.05
delta,1,8,0.00649503967444372,02_residual_signed_ot_from_spatial_init,0.05
delta,1,9,0.007397391385612401,02_residual_signed_ot_from_spatial_init,0.05
delta,1,10,0.00830112814499907,02_residual_signed_ot_from_spatial_init,0.05
delta,1,11,0.009198889491122358,02_residual_signed_ot_from_spatial_init,0.05
delta,1,12,0.010063655964164841,02_residual_signed_ot_from_spatial_init,0.05
delta,1,13,0.010916915748223498,02_residual_signed_ot_from_spatial_init,0.05
delta,1,14,0.011445328598521057,02_residual_signed_ot_from_spatial_init,0.05
delta,2,3,0.0009294038972906653,02_residual_signed_ot_from_spatial_init,0.05
delta,2,4,0.0018780577117059195,02_residual_signed_ot_from_spatial_init,0.05
delta,2,5,0.0028388202903148483,02_residual_signed_ot_from_spatial_init,0.05
delta,2,6,0.003766730343831489,02_residual_signed_ot_from_spatial_init,0.05
delta,2,7,0.004686846044173788,02_residual_signed_ot_from_spatial_init,0.05
delta,2,8,0.005606566467485823,02_residual_signed_ot_from_spatial_init,0.05
delta,2,9,0.006519010245875311,02_residual_signed_ot_from_spatial_init,0.05
delta,2,10,0.007433119729922161,02_residual_signed_ot_from_spatial_init,0.05
delta,2,11,0.008341408477793162,02_residual_signed_ot_from_spatial_init,0.05
delta,2,12,0.00921641110596124,02_residual_signed_ot_from_spatial_init,0.05
delta,2,13,0.010079941083940875,02_residual_signed_ot_from_spatial_init,0.05
delta,2,14,0.010614702135056211,02_residual_signed_ot_from_spatial_init,0.05
delta,3,4,0.0009536926404389258,02_residual_signed_ot_from_spatial_init,0.05
delta,3,5,0.0019227240462278388,02_residual_signed_ot_from_spatial_init,0.05
delta,3,6,0.002859669543602835,02_residual_signed_ot_from_spatial_init,0.05
delta,3,7,0.0037889537832904133,02_residual_signed_ot_from_spatial_init,0.05
