frame_index,radial_bin,radius_pixels,ground_truth_radial_profile,reconstruction_radial_profile,pixel_count
0,0,0.24609375,,,0
0,1,0.73828125,0.0,0.0058823529411764705,4
0,2,1.23046875,,,0
0,3,1.72265625,0.0,0.008333333333333333,8
0,4,2.21484375,0.0,0.00784313725490196,4
0,5,2.70703125,0.0,0.013480392156862746,16
0,6,3.19921875,,,0
0,7,3.69140625,0.002127659574468085,0.01823529411764706,20
0,8,4.18359375,0.016843971631205674,0.03284313725490196,8
0,9,4.67578125,0.02703900709219858,0.07377450980392157,16
0,10,5.16796875,0.057919621749408984,0.11209150326797383,12
0,11,5.66015625,0.12204491725768322,0.17271241830065362,24
0,12,6.15234375,0.21867612293144204,0.21437908496732025,12
0,13,6.64453125,0.3064420803782506,0.2473856209150327,24
0,14,7.13671875,0.3495862884160757,0.3008169934640523,24
0,15,7.62890625,0.41879432624113466,0.29431372549019613,20
0,16,8.12109375,0.3773640661938534,0.3379084967320261,24
0,17,8.61328125,0.35261524822695034,0.33884803921568624,32
0,18,9.10546875,0.35005065856129686,0.36904761904761907,28
0,19,9.59765625,0.30429964539007087,0.33259803921568626,32
0,20,10.08984375,0.3401300236406619,0.38120915032679736,24
0,21,10.58203125,0.31012250161186333,0.3413547237076648,44
0,22,11.07421875,0.30673758865248224,0.36029411764705876,16
0,23,11.56640625,0.2767434988179669,0.31723856209150325,48
0,24,12.05859375,0.23682877406281658,0.2903361344537815,28
0,25,12.55078125,0.22733029381965553,0.26435574229691877,56
0,26,13.04296875,0.19547872340425532,0.21740196078431373,32
0,27,13.53515625,0.20049099836333878,0.19841628959276017,52
0,28,14.02734375,0.17819148936170212,0.16593137254901963,32
0,29,14.51953125,0.18823877068557918,0.16176470588235295,48
0,30,15.01171875,0.15538362346872986,0.12887700534759358,44
0,31,15.50390625,0.15514184397163122,0.1288515406162465,56
0,32,15.99609375,0.1453900709219858,0.12193627450980392,32
0,33,16.48828125,0.1243498817966903,0.10045751633986927,60
0,34,16.98046875,0.10904255319148937,0.08991596638655462,56
0,35,17.47265625,0.08783415166393888,0.08763197586726998,52
0,36,17.96484375,0.07712765957446809,0.08312324929971988,56
0,37,18.45703125,0.05984042553191489,0.07653186274509804,64
0,38,18.94921875,0.055100927441352976,0.07202111613876319,52
0,39,19.44140625,0.04909131205673759,0.06568627450980391,64
0,40,19.93359375,0.0457193515704154,0.06561624649859943,56
0,41,20.42578125,0.03838130997079684,0.056805074971164944,68
0,42,20.91796875,0.03605200945626477,0.05228758169934641,48
0,43,21.41015625,0.030585106382978722,0.04191176470588236,80
0,44,21.90234375,0.027534418022528158,0.0342560553633218,68
0,45,22.39453125,0.022429078014184395,0.022745098039215685,80
0,46,22.88671875,0.02127659574468085,0.02030812324929972,56
0,47,23.37890625,0.020063456513624487,0.016357069143446847,76
0,48,23.87109375,0.017040977147360123,0.012908496732026145,72
0,49,24.36328125,0.016548463356973995,0.009531590413943355,72
0,50,24.85546875,0.013811123553564763,0.009391124871001032,76
0,51,25.34765625,0.011968085106382979,0.008921568627450981,80
0,52,25.83984375,0.010638297872340425,0.00904139433551198,72
0,53,26.33203125,0.009371833839918946,0.006722689075630252,84
0,54,26.82421875,0.008348108747044917,0.006617647058823529,96
0,55,27.31640625,0.00719070133963751,0.004956427015250545,72
0,56,27.80859375,0.006666666666666665,0.005019607843137255,100
0,57,28.30078125,0.005245271867612291,0.004697712418300653,96
0,58,28.79296875,0.005150287065180682,0.00522875816993464,84
0,59,29.28515625,0.004235618597320724,0.004030501089324619,72
0,60,29.77734375,0.0033415166393889794,0.0030920060331825036,104
0,61,30.26953125,0.0019419115163796016,0.002987861811391223,84
0,62,30.76171875,0.00204582651391162,0.0032051282051282055,104
0,63,31.25390625,0.0007880220646178092,0.0032135076252723313,72
1,0,0.24609375,,,0
1,1,0.73828125,0.0,0.004901960784313725,4
1,2,1.23046875,,,0
1,3,1.72265625,0.0,0.00784313725490196,8
1,4,2.21484375,0.0,0.00784313725490196,4
1,5,2.70703125,0.0,0.011764705882352941,16
1,6,3.19921875,,,0
1,7,3.69140625,0.0016759776536312849,0.015294117647058824,20
1,8,4.18359375,0.017458100558659217,0.026470588235294117,8
1,9,4.67578125,0.034217877094972066,0.061274509803921566,16
1,10,5.16796875,0.07216014897579143,0.09379084967320261,12
