frame_index,frc_bin,frc_source,normalized_spatial_frequency,uv_radius_midpoint,frc,sample_count
3,22,image,0.703125,,0.2372253661821528,136
3,23,image,0.734375,,-0.031727770715336286,140
3,24,image,0.765625,,-0.12208056132792731,152
3,25,image,0.796875,,0.11172077579867011,168
3,26,image,0.828125,,0.22301776118955693,176
3,27,image,0.859375,,0.06989609190590679,164
3,28,image,0.890625,,0.10040300132424033,168
3,29,image,0.921875,,0.16185844023015986,192
3,30,image,0.953125,,0.19449565637163543,188
3,31,image,0.984375,,0.10612230580376837,210
4,0,image,0.015625,,1.0,1
4,1,image,0.046875,,0.9999869591199594,8
4,2,image,0.078125,,0.9998643095719773,16
4,3,image,0.109375,,0.9994272758266388,20
4,4,image,0.140625,,0.9925886363637667,24
4,5,image,0.171875,,0.90014352610807,40
4,6,image,0.203125,,0.7174966219672348,36
4,7,image,0.234375,,0.7431560201907984,48
4,8,image,0.265625,,0.5859022423100051,56
4,9,image,0.296875,,0.3538885083137804,56
4,10,image,0.328125,,0.2571199843941377,68
4,11,image,0.359375,,0.10322126607972303,64
4,12,image,0.390625,,-0.011297483019843438,80
4,13,image,0.421875,,0.19100888264860863,92
4,14,image,0.453125,,0.34659653218712216,88
4,15,image,0.484375,,0.3500540193269493,96
4,16,image,0.515625,,0.2890890015737907,96
4,17,image,0.546875,,0.16039188607024882,116
4,18,image,0.578125,,0.15382714030439756,120
4,19,image,0.609375,,0.04720406022965728,120
4,20,image,0.640625,,0.17699090180043636,124
4,21,image,0.671875,,0.06996542392868373,144
4,22,image,0.703125,,0.14776759418512173,136
4,23,image,0.734375,,-0.1343256388400009,140
4,24,image,0.765625,,-0.30241571151955304,152
4,25,image,0.796875,,-0.20875559699321683,168
4,26,image,0.828125,,-0.10080301785642679,176
4,27,image,0.859375,,-0.03498733755661982,164
4,28,image,0.890625,,-0.2032976758715095,168
4,29,image,0.921875,,-0.0997065341341403,192
4,30,image,0.953125,,0.13687929160896134,188
4,31,image,0.984375,,0.020457314841593216,210
5,0,image,0.015625,,1.0,1
5,1,image,0.046875,,0.9999942316920907,8
5,2,image,0.078125,,0.9992128967669089,16
5,3,image,0.109375,,0.997822758355812,20
5,4,image,0.140625,,0.9795973962571893,24
5,5,image,0.171875,,0.8521894198753556,40
5,6,image,0.203125,,0.5498422467288739,36
5,7,image,0.234375,,0.7683967134551299,48
5,8,image,0.265625,,0.6067864605719298,56
5,9,image,0.296875,,0.39245498747481306,56
5,10,image,0.328125,,0.03748118349018553,68
5,11,image,0.359375,,0.05549000830893674,64
5,12,image,0.390625,,0.06233590092577101,80
5,13,image,0.421875,,0.363871881330241,92
5,14,image,0.453125,,0.4633135070959024,88
5,15,image,0.484375,,0.10584049966521478,96
5,16,image,0.515625,,0.20300766057633265,96
5,17,image,0.546875,,0.11871564712993196,116
5,18,image,0.578125,,-0.05606771524931993,120
5,19,image,0.609375,,-0.18586604822248273,120
5,20,image,0.640625,,0.020289585292618477,124
5,21,image,0.671875,,0.1745674265386097,144
5,22,image,0.703125,,0.15373935394714405,136
5,23,image,0.734375,,-0.08282087785219899,140
5,24,image,0.765625,,-0.3759245456775009,152
5,25,image,0.796875,,-0.18678388763148127,168
5,26,image,0.828125,,0.16789962285323418,176
5,27,image,0.859375,,0.18577444866436904,164
5,28,image,0.890625,,-0.18100883334347304,168
5,29,image,0.921875,,-0.07642076343260301,192
5,30,image,0.953125,,0.009261484818469043,188
5,31,image,0.984375,,-0.09653256265541575,210
6,0,image,0.015625,,1.0,1
6,1,image,0.046875,,0.9999729113818588,8
6,2,image,0.078125,,0.9993834059465224,16
6,3,image,0.109375,,0.9978720631431509,20
6,4,image,0.140625,,0.9771141252476119,24
6,5,image,0.171875,,0.8948764257745163,40
6,6,image,0.203125,,0.5846383763071052,36
6,7,image,0.234375,,0.8109401652096877,48
6,8,image,0.265625,,0.7010144432986025,56
6,9,image,0.296875,,0.4021481597232264,56
6,10,image,0.328125,,0.09386549677152113,68
6,11,image,0.359375,,0.45325803709210516,64
6,12,image,0.390625,,0.47848695002161196,80
6,13,image,0.421875,,0.5750911015240328,92
6,14,image,0.453125,,0.7062940407201288,88
6,15,image,0.484375,,0.6508112258376765,96
6,16,image,0.515625,,0.54077542351234,96
6,17,image,0.546875,,0.39272457147203055,116
6,18,image,0.578125,,0.3599034937897362,120
6,19,image,0.609375,,0.26499961884100787,120
6,20,image,0.640625,,0.2792440999744479,124
6,21,image,0.671875,,0.2944445358388502,144
6,22,image,0.703125,,0.31224384156724844,136
6,23,image,0.734375,,0.02529064650263478,140
6,24,image,0.765625,,-0.2667406871167289,152
6,25,image,0.796875,,-0.17795693283077263,168
6,26,image,0.828125,,-0.0010018941086993986,176
6,27,image,0.859375,,-0.2206786965125739,164
6,28,image,0.890625,,-0.34339801360800976,168
6,29,image,0.921875,,-0.4200050962496906,192
6,30,image,0.953125,,-0.34000522528175775,188
6,31,image,0.984375,,-0.45661322844606794,210
7,0,image,0.015625,,1.0,1
7,1,image,0.046875,,0.9999326926988163,8
7,2,image,0.078125,,0.9997431514193504,16
7,3,image,0.109375,,0.9975851487363576,20
7,4,image,0.140625,,0.9787335963844629,24
7,5,image,0.171875,,0.8605174664316495,40
7,6,image,0.203125,,0.5771058266943079,36
7,7,image,0.234375,,0.7255056160359526,48
7,8,image,0.265625,,0.6097536110697084,56
7,9,image,0.296875,,0.4793025946574552,56
7,10,image,0.328125,,0.5343751040749012,68
7,11,image,0.359375,,0.7247521798719877,64
7,12,image,0.390625,,0.5460576172938173,80
7,13,image,0.421875,,0.4524723857596999,92
7,14,image,0.453125,,0.7053109138286576,88
7,15,image,0.484375,,0.813661577684162,96
7,16,image,0.515625,,0.7250788151518444,96
7,17,image,0.546875,,0.5492069191623891,116
7,18,image,0.578125,,0.33944268838439756,120
7,19,image,0.609375,,0.2284379023968857,120
7,20,image,0.640625,,0.25518714567507333,124
7,21,image,0.671875,,0.2131608471791042,144
7,22,image,0.703125,,0.011633735639938124,136
7,23,image,0.734375,,-0.13012847274374229,140
7,24,image,0.765625,,-0.1903563060958894,152
7,25,image,0.796875,,-0.33592273870461586,168
7,26,image,0.828125,,-0.3800279411660418,176
7,27,image,0.859375,,-0.418537743377343,164
7,28,image,0.890625,,-0.5898776829771478,168
7,29,image,0.921875,,-0.5883508152731973,192
7,30,image,0.953125,,-0.5126383852214598,188
7,31,image,0.984375,,-0.657792397352266,210
8,0,image,0.015625,,1.0,1
8,1,image,0.046875,,0.9999848907163403,8
8,2,image,0.078125,,0.9998497165859276,16
8,3,image,0.109375,,0.9985651946343914,20
8,4,image,0.140625,,0.978445304791861,24
8,5,image,0.171875,,0.8563530722135484,40
8,6,image,0.203125,,0.6177812342385394,36
