,nrmse,ssim,frc_auc,frc_cutoff_frequency,fourier_chi2,radial_profile_error,azimuthal_profile_error
count,15.0,15.0,15.0,15.0,15.0,15.0,15.0
mean,0.37879384971058244,0.8325151481186656,0.28892212882126667,0.7197916666666667,0.17145210444243453,0.2558360398015384,0.302714040661933
std,0.11688292872986654,0.05025221495726145,0.0921861561198129,0.15529469872594154,0.10272740784215434,0.1352194673531415,0.12221334113905488
min,0.22547776495987767,0.7129668161616698,0.12487748889080344,0.328125,0.05940784916085953,0.1041273877879869,0.13961592053131403
25%,0.32920513039406063,0.817950179430925,0.22777871748808812,0.6875,0.1246897673661495,0.17734860100727265,0.21683942076625873
50%,0.34935016171630756,0.8438989044352135,0.29474870147546955,0.703125,0.13689349126165185,0.21970556516006945,0.28363183332382724
75%,0.38036567919135245,0.8635140936139167,0.3564155655320032,0.859375,0.16639115360684886,0.25808849048348426,0.3479464211565662
max,0.626150768062913,0.8983085421867536,0.4254587294057337,0.953125,0.41270577890121124,0.5554118951123924,0.5792724194423583
