,nrmse,ssim,frc_auc,frc_cutoff_frequency,fourier_chi2,radial_profile_error,azimuthal_profile_error
count,15.0,15.0,15.0,15.0,15.0,15.0,15.0
mean,0.350339387731293,0.8505366737370654,0.47054326786084216,0.8270833333333333,0.14460180371453596,0.22180657124747985,0.2871745117149003
std,0.06073281876187626,0.060395171786005473,0.09912156095278268,0.18520419875935654,0.04883333387499697,0.05139527228411284,0.07321512030729302
min,0.23595425825248803,0.7042775950535948,0.28908115254729466,0.46875,0.06588799061307003,0.14306032011166825,0.1680393223525266
25%,0.33075004777558115,0.8266039732775817,0.4249495485629956,0.75,0.124368539602463,0.19582202686456174,0.239565783153102
50%,0.36573268668057746,0.8683680775057189,0.44377843333657435,0.96875,0.14473909361062043,0.20708835181485982,0.2851165713288651
75%,0.37405831828192243,0.8941521995085597,0.5040567814010842,0.96875,0.16561766411872403,0.2801001974403735,0.31757015506765884
max,0.4658979400329829,0.938146442844823,0.6786230966009144,0.96875,0.25750345955067516,0.3038595342170833,0.45189394024379154
