iter,r_norm,s_norm,eps_pri,eps_dual,data_loss,u_mean,u_max,u_min,stage
1,5.3056581727608565,inf,1.2169770074188455,0.06773123356325353,5954.452713058674,0.2860754413483274,0.9803715780739061,0.0,1
2,5.175713433717982,0.0,1.1917112871397946,0.06773123356325353,5670.195998287566,0.27884971509614814,0.9686572514738623,0.0,1
3,5.048963524938903,0.0,1.1671187414392732,0.06773123356325353,5399.642593486851,0.27180334332883543,0.9572157512500139,0.0,1
4,4.9253298108909815,0.0,1.1431836604164123,0.06773123356325353,5142.129333145821,0.26493187296494636,0.9460521197922309,0.0,1
5,4.804721285131333,0.0,1.11989071674379,0.06773123356325353,4897.0270132286105,0.25823117727480194,0.9352740266193684,0.0,1
6,4.687072377389744,0.0,1.0972249514386978,0.06773123356325353,4663.735395021204,0.2516970885211574,0.9247457536562564,0.0,1
7,4.572324531839416,0.0,1.0751717616538,0.06773123356325353,4441.682502744424,0.24532542580558772,0.9144614014534338,0.0,1
8,4.460378275810478,0.0,1.0537168949205968,0.06773123356325353,4230.3268800841715,0.23911243592436796,0.9044152201446434,0.0,1
9,4.351182002003969,0.0,1.0328464366322727,0.06773123356325353,4029.1506897124946,0.23305417210409468,0.8946015919935845,0.0,1
10,4.244672574209535,0.0,1.012546798684002,0.06773123356325353,3837.6621814388013,0.22714690164529147,0.8850150304972074,0.0,1
11,4.140776133915516,0.0,0.9928047106398739,0.06773123356325353,3655.3927568415525,0.22138687573541993,0.8756501807412542,0.0,1
12,4.039428986640848,0.0,0.9736072155401264,0.06773123356325353,3481.897684629442,0.2157706004681409,0.866501814230473,0.0,1
1,3.9378980801992154,inf,0.9549416528204097,0.06773123356325353,3316.85597325095,0.2102984364198041,0.8574556446826452,0.0,2
2,3.8421905733466337,0.0,0.9367732789075646,0.06773123356325353,3159.7273077281357,0.20496226708425774,0.8486139772238006,0.0,2
3,3.748833805931571,0.0,0.9191074437931611,0.06773123356325353,3010.1297385189705,0.19975856354686183,0.8399720237284045,0.0,2
4,3.657730495278165,0.0,0.9019324948038258,0.06773123356325353,2867.7031905641775,0.19468438006473965,0.8315251249016434,0.0,2
5,3.568852702706457,0.0,0.885237038043171,0.06773123356325353,2732.103017559831,0.18973655954487542,0.8232687346898457,0.0,2
6,3.4821312948481493,0.0,0.8690099264536624,0.06773123356325353,2603.0017626015187,0.18491213289027122,0.8151984062660241,0.0,2
7,3.3975221749157725,0.0,0.853240256262883,0.06773123356325353,2480.0874304782787,0.18020813988391465,0.8073098095361768,0.0,2
8,3.314972473266969,0.0,0.8379173582930264,0.06773123356325353,2363.0630469719918,0.17562169235964772,0.7995987051168183,0.0,2
9,3.234433208416483,0.0,0.8230307909133664,0.06773123356325353,2251.645665208969,0.17114996723535428,0.7920609684176357,0.0,2
10,3.155843265972275,0.0,0.8085703309170672,0.06773123356325353,2145.567041209539,0.16679033627773343,0.7846925603492096,0.0,2
11,3.0791875514544906,0.0,0.7945259676841058,0.06773123356325353,2044.5700836205642,0.16254000440431404,0.7774895386254772,0.0,2
12,3.004359582578364,0.0,0.7808878956900711,0.06773123356325353,1948.4118358293097,0.15839650538713146,0.7704480612144172,0.0,2
13,2.9313881068540604,0.0,0.7676465116062382,0.06773123356325353,1856.8596350382147,0.15435722811239197,0.7635643753397825,0.0,2
14,2.8601717687563464,0.0,0.7547923965277817,0.06773123356325353,1769.692630954609,0.1504197294139189,0.7568348083361028,0.0,2
15,2.790672276858046,0.0,0.7423163264577367,0.06773123356325353,1686.7012663489672,0.14658168448211537,0.750255786072413,0.0,2
16,2.7228369028018466,0.0,0.730209248959953,0.06773123356325353,1607.687134993879,0.14284094058468716,0.7438238105146162,0.0,2
17,2.656668553203977,0.0,0.7184622788007663,0.06773123356325353,1532.4581777433173,0.13919509625937523,0.7375354743783028,0.0,2
18,2.5920676160238987,0.0,0.7070666964768966,0.06773123356325353,1460.8348815220909,0.13564208989673787,0.7313874512199119,0.0,2
19,2.5290462220924375,0.0,0.6960139428705088,0.06773123356325353,1392.6440299331828,0.13217975753060413,0.7253764910395195,0.0,2
20,2.4674990785490087,0.0,0.6852956093685395,0.06773123356325353,1327.7240521201938,0.12880629064703125,0.7194994431562539,0.0,2
21,2.407452055315605,0.0,0.6749034326018831,0.06773123356325353,1265.9180479456224,0.12551956479886783,0.7137532151564289,0.0,2
22,2.348793629732798,0.0,0.6648292840768242,0.06773123356325353,1207.079257167591,0.12231782555904004,0.7081348015205374,0.0,2
23,2.2915172371672385,0.0,0.6550651761062516,0.06773123356325353,1151.067558443118,0.11919938901062338,0.7026412609410516,0.0,2
24,2.235642381924106,0.0,0.6456032316686365,0.06773123356325353,1097.7468103612694,0.11616221228416175,0.6972697194453618,0.0,2
25,2.181056105664016,0.0,0.6364357069758845,0.06773123356325353,1046.9908243813531,0.11320477008417527,0.6920173772730841,0.0,2
