Frame,Dirty_NRMSE,ADMM_NRMSE,Dirty_SSIM,ADMM_SSIM
frame_000.png,0.4596124682605083,0.13291634667462704,0.03924718988273638,0.3268560429984947
frame_001.png,0.44660005180261836,0.14563805662743687,0.02605959606696929,0.28927766254902765
frame_002.png,0.4386055363048699,0.15378921736513207,0.016241352745066502,0.2726580962315857
frame_003.png,0.4361489085381815,0.1548653403220049,0.012562422049585926,0.2760603160484792
frame_004.png,0.468456084984903,0.15958976290564744,0.016247389818795283,0.2710804875788459
frame_005.png,0.5137038358135821,0.1592027066378586,0.03452869873953599,0.29432469679367274
frame_006.png,0.5676093243248391,0.18951353566284038,0.03369976722012542,0.23282590948214693
frame_007.png,0.5355255587789998,0.18804040661808566,0.0393813036470788,0.22453535138965502
frame_008.png,0.520432399992947,0.172698858795944,0.0436500427816088,0.24901122199390746
frame_009.png,0.511530094992324,0.1743157615037476,0.04232834732604941,0.2457113590642524
frame_010.png,0.4905610815459316,0.1396928717598269,0.04185118270384795,0.30930189394123275
frame_011.png,0.519903958637985,0.16603772738805228,0.04042419257304586,0.26913292121588384
frame_012.png,0.49832021149060407,0.15651239179733614,0.036968636257808864,0.27741104849577997
frame_013.png,0.46978897528802505,0.1403144667721771,0.035535770168513545,0.3046986586097459
frame_014.png,0.45764648130296876,0.13039299794611395,0.03439788229366697,0.3166998421630964
