frame,gt_name,initialization_nrmse,initialization_ssim,post_uot_nrmse,post_uot_ssim,delta_nrmse,delta_ssim,initialization_stge_spatial,post_uot_stge_spatial,delta_stge_spatial_frame,initialization_fourier_reduced_chi2,post_uot_fourier_reduced_chi2,delta_fourier_reduced_chi2
0,frame_000.png,0.27912616776490434,0.8488508192740858,0.27838349875076684,0.8502709413544187,-0.0007426690141374981,0.0014201220803329306,0.9022913268321432,0.9015496626770554,-0.0007416641550878067,3.223436604814212e-10,3.2206584019017335e-10,-2.7782029124784417e-13
1,frame_001.png,0.37486500947933604,0.8293785598878517,0.37548179909375984,0.8309656200246105,0.0006167896144237961,0.0015870601367588,0.9550700379270339,0.9550397904822667,-3.024744476720631e-05,3.4796825459089407e-10,3.4924403805539726e-10,1.275783464503192e-12
2,frame_002.png,0.3553442761915956,0.8612532307801782,0.3573003695584879,0.8618694010315259,0.0019560933668922864,0.0006161702513476364,0.8925788896983575,0.8927257457354937,0.00014685603713615603,3.5729928827541537e-10,3.572756969518566e-10,-2.359132355875558e-14
3,frame_003.png,0.4189439082385298,0.8076086681811456,0.42004284581752016,0.8085162366292676,0.0010989375789903777,0.0009075684481220092,0.8643456995274724,0.8641043602742614,-0.0002413392532110148,3.7187607733864923e-10,3.717408893288162e-10,-1.3518800983305784e-13
4,frame_004.png,0.3783161227269273,0.7067407566393764,0.3818465310076693,0.7087943559905641,0.0035304082807420256,0.0020535993511876516,0.8629013609603293,0.8637000896257973,0.0007987286654679293,3.10569304588845e-10,3.088231714997304e-10,-1.7461330891146272e-12
